d8630f94e8c597c92816e07c2f15a5abfe27790deb5406241b68b9c7e7dd71f5,0eed77b728b9fe9a678853720e2b600363c215975d0e53211a5836a9bbc93ebd,c7400e00e8b8049378566281d7ce88a12a9f2215e039e91d26a100c235f69501,79dd92a0ad5f309a43e6e9416f77496bf8d0486a30e72f1f6b57ab9d2597e003,696563b6a81efb4cada3ad693f49ecffa6becee1bdb0475531a867b7b4f17d0c,d498ba4aba6fa5c0d0c7c6458fe336fba3d6ba3d68321c4878f28a579b12e4be,fc9898f7911cf4adc3983b14dbb6beaa13cbdf7168bff12c40a9cff2712cd09c
"0","0","401021505","0","野豬雙胞胎 第1階段","401021506","401021507"
"401021908","0","401021905","0","大胃王 第1階段","401021906","401021907"
"0","0","401022105","0","人馬座 第1階段","401022106","401022107"
"0","0","401022305","0","水之里歐斯 第1階段","401022306","401022307"
"401025908","0","401025905","0","大胃王 第1階段 單人模式","401025906","401025907"
"0","0","401026105","0","人馬座 第1階段 單人模式","401026106","401026107"
"0","0","401026305","0","水之里歐斯 第1階段 單人模式","401026306","401026307"
"0","0","401031505","0","野豬雙胞胎 第2階段","401031506","401031507"
"401031908","0","401031905","0","大胃王 第2階段","401031906","401031907"
"0","0","401032105","0","人馬座 第2階段","401032106","401032107"
"0","0","401032305","0","水之里歐斯 第2階段","401032306","401032307"
"401035908","0","401035905","0","大胃王 第2階段 單人模式","401035906","401035907"
"0","0","401036105","0","人馬座 第2階段 單人模式","401036106","401036107"
"0","0","401036305","0","水之里歐斯 第2階段 單人模式","401036306","401036307"
"0","0","401041505","0","野豬雙胞胎 第3階段","401041506","401041507"
"401041908","0","401041905","0","大胃王 第3階段","401041906","401041907"
"0","0","401042105","0","人馬座 第3階段","401042106","401042107"
"0","0","401042305","0","水之里歐斯 第3階段","401042306","401042307"
"401045908","0","401045905","0","大胃王 第3階段 單人模式","401045906","401045907"
"0","0","401046105","0","人馬座 第3階段 單人模式","401046106","401046107"
"0","0","401046305","0","水之里歐斯 第3階段 單人模式","401046306","401046307"
"401304108","0","401304104","0","三重岩 第1階段","401304106","401304107"
"401304208","0","401304204","0","三重岩 第2階段","401304206","401304207"
"401304308","0","401304304","0","三重岩 第3階段","401304306","401304307"
"401304408","0","401304404","0","三重岩 第4階段","401304406","401304407"
"401304508","0","401304504","0","三重岩 第1階段 單人模式","401304506","401304507"
"401304608","0","401304604","0","三重岩 第2階段 單人模式","401304606","401304607"
"401304708","0","401304704","0","三重岩 第3階段 單人模式","401304706","401304707"
"0","0","401305105","0","野豬雙胞胎 第1階段","401305106","401305107"
"0","0","401305205","0","野豬雙胞胎 第2階段","401305206","401305207"
"0","0","401305305","0","野豬雙胞胎 第3階段","401305306","401305307"
"0","0","401305405","0","野豬雙胞胎 第4階段","401305406","401305407"
"0","0","401305505","0","野豬雙胞胎 第1階段 單人模式","401305506","401305507"
"0","0","401305605","0","野豬雙胞胎 第2階段 單人模式","401305606","401305607"
"0","0","401305705","0","野豬雙胞胎 第3階段 單人模式","401305706","401305707"
"0","0","401307104","0","泰坦龍龜 第1階段","401307106","401307107"
"0","0","401307204","0","泰坦龍龜 第2階段","401307206","401307207"
"0","0","401307304","0","泰坦龍龜 第3階段","401307306","401307307"
"0","0","401307404","0","泰坦龍龜 第4階段","401307406","401307407"
"0","0","401307504","0","泰坦龍龜 第1階段 單人模式","401307506","401307507"
"0","0","401307604","0","泰坦龍龜 第2階段 單人模式","401307606","401307607"
"0","0","401307704","0","泰坦龍龜 第3階段 單人模式","401307706","401307707"
"401309108","0","401309105","0","大胃王 第1階段","401309106","401309107"
"401309208","0","401309205","0","大胃王 第2階段","401309206","401309207"
"401309308","0","401309305","0","大胃王 第3階段","401309306","401309307"
"401309408","0","401309405","0","大胃王 第4階段","401309406","401309407"
"401309508","0","401309505","0","大胃王 第1階段 單人模式","401309506","401309507"
"401309608","0","401309605","0","大胃王 第2階段 單人模式","401309606","401309607"
"401309708","0","401309705","0","大胃王 第3階段 單人模式","401309706","401309707"
"401310107","0","401310104","0","黑曜飛龍 第1階段","401310105","401310106"
"401310207","0","401310204","0","黑曜飛龍 第2階段","401310205","401310206"
"401310307","0","401310304","0","黑曜飛龍 第3階段","401310305","401310306"
"401310407","0","401310404","0","黑曜飛龍 第4階段","401310405","401310406"
"401310507","0","401310504","0","黑曜飛龍 第1階段 單人模式","401310505","401310506"
"401310607","0","401310604","0","黑曜飛龍 第2階段 單人模式","401310605","401310606"
"401310707","0","401310704","0","黑曜飛龍 第3階段 單人模式","401310705","401310706"
"0","0","401311105","0","人馬座 第1階段","401311106","401311107"
"0","0","401311205","0","人馬座 第2階段","401311206","401311207"
"0","0","401311305","0","人馬座 第3階段","401311306","401311307"
"0","0","401311405","0","人馬座 第4階段","401311406","401311407"
"0","0","401311505","0","人馬座 第1階段 單人模式","401311506","401311507"
"0","0","401311605","0","人馬座 第2階段 單人模式","401311606","401311607"
"0","0","401311705","0","人馬座 第3階段 單人模式","401311706","401311707"
"401312107","0","401312104","0","三重岩 第1階段","401312105","401312106"
"401312207","0","401312204","0","三重岩 第2階段","401312205","401312206"
"401312307","0","401312304","0","三重岩 第3階段","401312305","401312306"
