068d63fec0070b959a2cec5fe508ace7fd6fdc2ce46ebe4e17a82884c4e9bb11,58f8bcdcb173b2afb4bd06688f4e30fab34f33bcb4b1332a017a230e13b428b1,da0a148510816ed4825a304e431f2b4e125ffdce2c21936f81d646e3e66e3188,4a4b13953bb93d27e94b082badd4c41c451bcf5c5dbf645e732c66a13a533b0e,c259d33ab2c868da4785556640792d240eaa6739ed2fe11d18c50f1ea51ba5b0,7704279bce607235ef49880d54589926923fee843ce526c1027f068567de7710,e4f2f3767509ac304e1e44c98adb4453b2715e8fd4a31fcd22fc3243166c6acc,a8879ea31b18009a3f4bf9773bbc44690c782177f4142ddcc9a97d5becae3330
"2030/12/17 14:59:59","101","1.朱諾平原","2015/12/17 15:00:00","11001","bgm_M61","1.朱諾平原","bgm_M61"
"2030/12/17 14:59:59","101","2.帕拉斯高原","2015/12/17 15:00:00","11002","bgm_M61","2.帕拉斯高原","bgm_M61_02"
"2030/12/17 14:59:59","101","3.赫柏丘陵","2015/12/17 15:00:00","11003","bgm_M61","3.赫柏丘陵","bgm_M61_03"
"2030/12/17 14:59:59","101","4.維斯塔溪谷","2015/12/17 15:00:00","11004","bgm_M61","4.維斯塔溪谷","bgm_M61_04"
"2030/12/17 14:59:59","101","5.刻瑞斯森林","2015/12/17 15:00:00","11005","bgm_M62","5.刻瑞斯森林","bgm_M62_01"
"2030/12/17 14:59:59","101","6.佛洛拉湖畔","2015/12/17 15:00:00","11006","bgm_M62","6.佛洛拉湖畔","bgm_M62_02"
"2030/12/17 14:59:59","101","7.墨提斯大瀑布","2015/12/17 15:00:00","11007","bgm_M62","7.墨提斯大瀑布","bgm_M62_03"
"2030/12/17 14:59:59","101","8.伊麗絲樹海","2015/12/17 15:00:00","11008","bgm_M42","8.伊麗絲樹海","bgm_M42_02"
"2030/12/17 14:59:59","101","9.弗麗嘉雪原","2015/12/17 15:00:00","11009","bgm_M58","9.弗麗嘉雪原","bgm_M58"
"2030/12/17 14:59:59","101","10.洛麗泰海岸","2018/10/05 16:00:00","11010","bgm_M101","10.洛麗泰海岸","bgm_M101"
"2030/12/17 14:59:59","101","11.蓋奴亞荒漠","2018/11/07 16:00:00","11011","bgm_M93","11.蓋奴亞荒漠","bgm_M93"
"2030/12/17 14:59:59","101","12.波諾尼亞砂丘","2018/12/07 16:00:00","11012","bgm_M94","12.波諾尼亞砂丘","bgm_M94"
