58173dcc5c517374a4829844a4d1b2792e47f954b6f6fe582bd20861b25332e0,a6df07ae70282f2f2318c7fb52511b5caa97e0fd986fd3ef08668b8664ca0c5b,a09ff326cce8785f42691f222a56f8f484adc8a2ceb4e2a8ef4fbbd242868177,053f65598cf504d6ba6fb8023b4e9bc2563421670ba34353f3b0191c15fa985e,21cd4f43a4f81f982bd34e81025eb25b3ea667d6a2559370753dbdb643f4ee8b,4530ddbf5e6c3689c47a474aedb14fea942b24c08b672b95922f5e220cf4020f,146a7c7b015ba36f82b2d1ed495f6a30e1e4cad90b5f9538fe663cbe0ef78eae,fe3fd4840a06d9d2e88c396714fda29a90f9d7534b625c3b379d71dd114c4021,12a7f1458706b6dd8a9d70c4942bb3cdc9d037c0f6bdc7cd5413215728115ad9,505cba7940ed213fbc64e16974392df20027b60dd25b5b1484f6501689cb0b3a
"萊拉耶爾","10001","1","126501","0","1","","","1001","出現必有折扣的商店，最大折扣50%（1樣商品免費）"
"莫妮卡","10001","2","105301","0","2","","","1002","取得最大1000里程"
"克蘿茜","1","3","126401","0","1","","","1003","取得{0}個料理"
"茉莉","1","4","100501","0","3","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","1004","重新擲{0}次骰子"
"七七香","2","4","101301","0","2","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","1005","重新擲{0}次骰子"
"真琴","4","5","104301","0","2","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1006","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇"
"惠理子","3","5","102701","0","3","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1007","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇"
"杏奈","7","6","100901","0","1","","追加投擲骰子\n直到數字合計為{0}以上","1008","追加投擲骰子\n直到數字合計為{0}以上"
"深月","10001","1","105101","0","1","","","1009","出現必有折扣的商店，最大折扣50%（1樣商品免費）"
"伊緒","10001","2","101801","0","2","","","1010","取得最大1000里程"
"涅妃‧涅羅","0","8","129701","0","2","","可以選擇使用骰子的\n正面或背面","1011","可以選擇使用骰子的\n正面或背面"
"鈴奈","1","4","101601","0","3","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","1012","重新擲{0}次骰子"
"流夏","2","4","105601","0","2","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","1013","重新擲{0}次骰子"
"美美","3","5","102001","0","3","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","1014","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇"
"安涅默涅","7","6","129601","0","1","","追加投擲骰子\n直到數字合計為{0}以上","1015","追加投擲骰子\n直到數字合計為{0}以上"
"禊","1","10","100401","1","2","","骰子擲出{0}時，可以讓對手休息{1}個回合","1016","骰子擲出{0}時，\n可以讓對手休息{1}個回合"
"琳德","2","13","127701","1","3","","骰子擲出{0}時，\n前進+{1}","1017","骰子擲出{0}時，\n前進+{1}"
"烏爾姆","1","10","127801","1","2","","骰子擲出{0}時，\n可以讓對手休息{1}個回合","1018","骰子擲出{0}時，\n可以讓對手休息{1}個回合"
"美冬","10001","1","104801","0","1","","","1019","出現必有折扣的商店，最大折扣50%（1樣商品免費）"
"純","2","4","104701","0","2","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","1020","重新擲{0}次骰子"
"美咲","7","6","105001","0","1","","追加投擲骰子\n直到數字合計為{0}以上","1021","追加投擲骰子\n直到數字合計為{0}以上"
"秋乃","10002","2","103201","0","1","","","1022","取得最大2000里程"
"庫露露","1","12","130901","0","1","","","1023","取得{0}張抽獎券"
"鈴莓","1","3","102501","0","1","","","1024","取得{0}個料理"
"雪","0","8","100801","0","2","","可以選擇使用骰子的\n正面或背面","1025","可以選擇使用骰子的\n正面或背面"
