2f874ca22dac7f00778009c847b281031b82b3eee170b9bc2429266432f138ff,17be9396cae335d8e02c0f77516324291ff06fed15dfe5057142e86a0f7d1eba,b39a770573a6124f1597e4bbcdb66b7e2142fdbb14e0b14bb9d6b136bcc3d837,203eed00ab76c5a62f72b28421ae96efa7a71c62ee279f11ce632b2c52be2f4a,05c9cbe702c87475c93c0922695bfb97c8733beb86547221bfc27cf1316deddb,ab9640ccff85c6dbc0930e3b3955fc8550cd94c38684d062fbabf3e0d48520a0,7e87f2d4527ce851baba01b4ad4b8622d8e523d9b0338921e1507982f6fa3740,9bcf9682afa50f15a142ad3a5eb59a05f946eb3690c428845befb71aeeb1898a,c6fe7d9584e3ff35c5cf8baa680b9a73aec5d92dfb87a41b08a61c610abfdf20,6f3eadbf991d00d04b21533e1f740122a9b0b692532cda7d7d3ddc7479d4bfc8,a45b449db50daa56274046d41508ece9de777e916437feb2891a7d842e5d68b8,c1c751d8ff93fc1be8c97c66550ee8696bb22579c8eed5e1fc78e590809a1045,ea069271bded81bb23882974d802c8733a921a2d83ac250c1052964b012d9b9a,b05cb24be632fdacb3d6a8cb9a8d65824e294cb214889c0d8a270df175a5e317,19a7c76789381c2bb726f9fcb9ac8fea3f9e7f64b881c5ebe956ab8f67e48335
"bgm_MC043","96001","-1","100","16","-1","-1","2024/01/16 15:59:59","2024/01/23 15:59:59","1","2023/11/01 16:00:00","1","10010001","8","bgm_MC043"
"bgm_MC043","96002","-1","100","16","-1","-1","2024/04/16 15:59:59","2024/04/23 15:59:59","1","2024/01/16 16:00:00","2","10020001","8","bgm_MC043"
"bgm_MC103","96003","-1","100","16","-1","-1","2024/07/16 15:59:59","2024/07/23 15:59:59","2","2024/04/16 16:00:00","3","10030001","8","bgm_MC103"
"bgm_MC103","96004","-1","100","16","-1","-1","2024/10/16 15:59:59","2024/10/23 15:59:59","2","2024/07/16 16:00:00","4","10040363","8","bgm_MC103"
"bgm_MC103","96005","-1","500","16","-1","-1","2025/01/16 15:59:59","2025/01/23 15:59:59","2","2024/10/16 16:00:00","5","10050001","10","bgm_MC103"
"bgm_MC103","96006","-1","500","16","-1","-1","2025/04/17 15:59:59","2025/04/24 15:59:59","2","2025/01/16 16:00:00","6","10060001","10","bgm_MC103"
"bgm_MC211","96007","15","1000","16","15","5","2025/07/16 15:59:59","2025/07/23 15:59:59","3","2025/04/17 16:00:00","7","10070363","10","bgm_MC211"
"bgm_MC211","96008","15","1000","16","15","5","2025/10/10 15:59:59","2025/10/17 15:59:59","3","2025/07/16 16:00:00","8","10080001","10","bgm_MC211"
"bgm_MC211","96009","15","1000","16","15","5","2026/01/10 15:59:59","2026/01/17 15:59:59","3","2025/10/10 16:00:00","9","10090001","10","bgm_MC211"
"bgm_MC043","96010","15","1000","16","15","5","2026/04/10 15:59:59","2026/04/17 15:59:59","1","2026/01/10 16:00:00","10","10100363","10","bgm_MC043"
"bgm_MC043","96011","15","1000","16","15","5","2026/07/10 15:59:59","2026/07/17 15:59:59","1","2026/04/10 16:00:00","11","10110001","10","bgm_MC043"
