12d73c57a39d9d27c7a4af0d0314fcf085f310b156db89ce2c50573d6854ff71,bb66cebd6236536435a1a8e4658ed0096d14b1e4ee7e90bd52b14def775e3ecf,2d09359ad0638bd7e130bef872086208519ec360d728fb10010125f9c3c3878d,20dbfe9ee8946c34eaad90a47ba6764a5eae545c5d621afb7d168203975dd70b,786d2e2bf652a199eae0b454ab0507c91c1f8cf6845837a52fd2d6e0aeef385f,ef17207a8ae1429f1b0685d94b8d073f56468ea0474ab8bbfc6b24d600ca53e8,f8f4db9794a199fcf82aad0b410fd7ef9dae7939756283d5a1ecb3ab033d000e,cfccb04af93e9015e9e974b68549a85629f999bf2205ce0941d15518ea9be039
"100101","1","101101","101101","101281","101431","101071","101581"
"100101","2","102101","102071","102341","102431","101101","101581"
"100101","3","103071","102101","102342","102432","102071","102581"
"100101","4","103101","103071","103341","103431","102101","102582"
"100101","5","103072","103101","103342","103432","103071","103581"
"100101","6","104101","103072","103343","103432","103552","103582"
"100101","7","104102","104101","104341","103583","103072","103552"
"100101","8","104103","104102","104342","104101","104551","103553"
"100101","9","104104","104103","104343","104102","104552","104551"
"100101","10","105101","104104","104284","104103","104553","104552"
"100101","11","105102","105101","105341","104344","105551","104554"
"100101","12","105103","105102","105282","105341","105552","105551"
"100101","13","105104","105103","105343","105342","105553","105552"
"100101","14","105105","105104","105344","105343","105554","105553"
"100101","15","105106","105105","105285","105344","105555","105554"
"100101","16","105107","105106","105286","105285","105556","105555"
"100101","17","106101","105107","105287","105286","105557","105556"
"100101","18","106102","106101","106281","105287","106551","105557"
"100101","19","106103","106102","106282","106281","106552","106551"
"100101","20","107101","106103","106283","106282","106553","106552"
"100101","21","107102","107101","107281","106283","107551","106553"
"100101","22","107103","107102","107282","107281","107552","107551"
"100101","23","108101","107103","107283","107282","107553","107552"
"100101","24","108102","108101","108401","107283","108551","107553"
"100101","25","108103","108102","108312","108401","108552","108551"
"100101","26","108104","108103","108403","108312","108553","108552"
"100101","27","109101","108104","108494","108403","108554","108553"
"100101","28","109102","109101","109401","108494","109551","108554"
"100101","29","109103","109102","109282","109401","109552","109551"
"100101","30","109104","109103","109493","109282","109553","109552"
"100101","31","999999","109104","109494","109493","109554","109553"
"100201","1","101251","101251","101371","101521","101611","101581"
