c064eac559946303b8ef6a383351a3bf8b39a4e0939dabdfc3cd139052b78384,4d6af75720907432a3202707b5373de4b5bbb537ff703ed1bfef58bccb411f3c,3059f41f06c0d1b267b20618387b137c4d0980477d147b7f48e6b86388d301b9,2b2261aad2d747f36be9d7abf422b23b36b526bea8489cd125fe27f30ae2c859,8ecda945c71432aff272802d3b9125a10a965171c270e07ec3854f79585cc9e8,8fa6b507f26f3a55ab3c24d5eb520e01a512f71f335b269c8a658ce8c6b375c5,a7f65f07f377bb7fd4e307cdb8440e5e092c4dd980834b69c0f25fce6b3e0552,6bb2ce9ed49896f8d5e670b748093ad6f29dedd8592e27b24b04f82538d22194,a6a5788234b6a33dd03252d625139e4f63e870670e9a09391399597f4ddfa768,6a52558c205d56a595409413c4b39fa98bcb7c9f48b026cf49fc9fb804db4a07,d71fe27b96502c08979132c72bcad7fe9853d753cbeb87fdd19ade2bcdaa2852,171008cca2825830a508ad32de104cbfaaf0e4e7effbbdbad95a1daf9465c7e0,14319540d6a0ac6ac283caeb25fc98a4a011f97388140c94c98644e5e943cb5c,7ce716c38bb40b744b9aefa6ed6635b27cb5debdc251db886f0ef3b0aef97c99,d7872410d8860bf191e8c095674d9d9335f9e2fa691b50104bd2c245f7601e46,3a71f02e9f4212cc206978fac66273cf47a800e94a2da82f66f84db94f0172ba,2162d6d78ea95e9e1a57d2e2afe734ee9a2d0b6b3fe529b54d0d905605d6c4b7,4b61edf0c77a0d8d478a0b9aa7f6f8a0e80d9bd2b6275738c97df79fc358040a,18027fbc578e4b44c19a25309f5939fc069eb6cc14d88032a5eae63760c6bc85,1df5c329662c5879f0c9b125dc94c5270f0c38a94c4d65debb1c5db5a39e3a5b,f23095c154f6bac578b7ec86e97c894887b9be610af10d0f75f9db4326b8c0c8,dbfea180738a4db2a7207d79bdae2d7f941c78b1b54970d40d25a9a02f65fb36,5095a153ec627a1bddbc0a352002b2420af22f8dda0313062e1b0e664f4426f3,a6dea88447fd3d428280b48339390555982cc1ffd66f42e8f209d23679a43dcf,0a34d0e20b2c2763d0196efcfb8251f62980bb17d1ef637bf325d49e0557e97a
"初音的禮物大作戰 序章","2018/08/28 16:00:00","5001","0","1","91002","20","0","31012","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","0","5001000","禮物大作戰開幕！"
"初音的禮物大作戰 第1話","2018/08/28 16:00:00","5001","0","1","91002","20","0","31038","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5001000","5001001","回憶的歸途"
"初音的禮物大作戰 第2話","2018/08/28 16:00:00","5001","0","1","91002","20","0","31012","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5001001","5001002","與不可思議之書的相遇"
"初音的禮物大作戰 第3話","2018/08/28 16:00:00","5001","0","1","91002","20","0","31038","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5001002","5001003","Dear‧Sister"
"初音的禮物大作戰 第4話","2018/08/28 16:00:00","5001","0","1","91002","20","0","31012","0","0","55001004","0","8","0","1","1","0","0","2","0","2030/12/31 23:59:59","5001003","5001004","被解放的魔物們"
"初音的禮物大作戰 第5話","2018/08/28 16:00:00","5001","0","1","91002","20","0","31038","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5001004","5001005","共鳴之心"
"初音的禮物大作戰 第6話","2018/08/28 16:00:00","5001","0","1","91002","20","0","31012","0","0","55001006","0","8","0","1","1","0","0","2","0","2030/12/31 23:59:59","5001005","5001006","三隻箭"
"初音的禮物大作戰 尾聲","2018/08/28 16:00:00","5001","0","1","91002","20","0","31038","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5001006","5001007","最棒的禮物"
"小小甜心大冒險 序章","2018/10/03 16:00:00","5002","0","1","91002","20","0","31020","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","0","5002000","鏡華老師的讀書會"
"小小甜心大冒險 第1話","2018/10/03 16:00:00","5002","0","1","91002","20","0","31004","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5002000","5002001","一起探險的邀請"
"小小甜心大冒險 第2話","2018/10/03 16:00:00","5002","0","1","91002","20","0","31020","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5002001","5002002","重修舊好的食譜"
"小小甜心大冒險 第3話","2018/10/03 16:00:00","5002","0","1","91002","20","0","31004","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5002002","5002003","禊探險隊出發！"
"小小甜心大冒險 第4話","2018/10/03 16:00:00","5002","0","1","91002","20","0","31020","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5002003","5002004","迷宮陷阱千鈞一髮！"
"小小甜心大冒險 第5話","2018/10/03 16:00:00","5002","0","1","91002","20","0","31004","0","0","55002005","0","8","0","1","1","0","0","2","0","2030/12/31 23:59:59","5002004","5002005","想傳達的情感"
"小小甜心大冒險 第6話","2018/10/03 16:00:00","5002","0","1","91002","20","0","31020","0","0","55002006","0","8","0","1","1","0","0","2","0","2030/12/31 23:59:59","5002005","5002006","小小甜心大作戰！"
"小小甜心大冒險 尾聲","2018/10/03 16:00:00","5002","0","1","91002","20","0","31004","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5002006","5002007","以滿分的笑容"
"吸血鬼獵人 with伊莉亞 序章","2018/11/01 15:59:59","5003","0","1","91002","20","0","31017","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","0","5003000","甦醒的傳說"
"吸血鬼獵人 with伊莉亞 第1話","2018/11/01 15:59:59","5003","0","1","91002","20","0","31010","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5003000","5003001","尋求超越傳說之物"
"吸血鬼獵人 with伊莉亞 第2話","2018/11/01 15:59:59","5003","0","1","91002","20","0","31017","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5003001","5003002","旅途的同伴是吸血鬼"
"吸血鬼獵人 with伊莉亞 第3話","2018/11/01 15:59:59","5003","0","1","91002","20","0","31010","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5003002","5003003","找尋密林中的蔬菜"
"吸血鬼獵人 with伊莉亞 第4話","2018/11/01 15:59:59","5003","0","1","91002","20","0","31017","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5003003","5003004","尋求魔物之角"
"吸血鬼獵人 with伊莉亞 第5話","2018/11/01 15:59:59","5003","0","1","91002","20","0","31010","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5003004","5003005","與傳說的相遇"
"吸血鬼獵人 with伊莉亞 第6話","2018/11/01 15:59:59","5003","0","1","91002","20","0","31017","0","0","55003006","0","8","0","1","1","0","0","2","0","2030/12/31 23:59:59","5003005","5003006","Dear‧吸血鬼"
"吸血鬼獵人 with伊莉亞 尾聲","2018/11/01 15:59:59","5003","0","1","91002","20","0","31010","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","5003006","5003007","大家一起開烏龍麵派對"
"危險的假期！海岸邊的美食公主 序章","2018/12/01 16:00:00","5004","0","1","91002","20","0","31028","0","0","0","0","8","0","1","0","0","0","2","0","2030/12/31 23:59:59","0","5004000","前往「迷人的南國之旅」！"
