f66012df86d0bae90ff15470b26ce0e20332a9b595813d6e48b384f9e3e74b1c,f9d4569945cc52049ae4e8b0d3590d149c450f99e73cb1c8d86898e46a16783d,ead39b4f72aacca3d371b951dbf0737aa750665bcf65919bb4f81adcf80f9026,f2bf904b9706e0110415e9b4cbc8ddeff9c7fd23b66e4b4e61e31b2097e84b8b,790c6473ba46ac6dc16ec77f79b6e9c026c4b94e0bc9b7aa34e2a8dd6829f7ef,22af5bb22a82880b27ddfcfc3493d3e5a6cd23dc271decfe79d0980da6ec18c0,c0c14c14005f702bc5bc4de268d7e7ff4aab60924c61b84dc574850450263e05
"300900","0","-10","0.8","0.8","100721","31001"
"302300","0","-40","0.7","0.7","100722","31002"
"302400","0","-40","0.8","0.8","100261","31003"
"302500","0","-20","0.9","0.9","100283","31004"
"301700","0","-10","0.9","0.9","101611","31005"
"310100","0","-40","0.7","0.7","102174","31006"
"399800","-80","-60","0.3","0.3","102751","31007"
"314901","-20","20","0.9","0.9","103001","31008"
"318405","30","-110","0.7","0.7","103232","31009"
"320100","0","-10","1","1","103371","31010"
