cbf865bf1c8e35b8df563a9064845024b2140bbf82b7e49b289bfebc41930a63,ce2443d8c33352fee550fdd8574e151f412ee9eba84952b8d80c57a069117ba9,c150b5d8406a78941416948d8dca4c720449f671708cdfe8c7451236a3342fed,74932d52166b35b06f43a9ec51306e5098f263a800ba0bab3e77ecb9203ea18d,32aad44666d525502f8108b70164538975a0a8ed6cb0fd8594ab77a0e1b62ab5,f709bb82664a07f446acff537cde7d169dacb2afd234e4fc1f8715ceafe76d5c,9581faaa806035cbd17ae97f28409c9d9c4e482b5e480a70c98e85f6d9e60fed,9a930f9f80f5daa6b5792d3bec88ea50c8e18f60d40118d5e93063365e78d04c,41b2ab825c03c4164bce2ee752a83758b6efb3d66e14ada261c71227f4a8c015,fd612961311375c1cedd15cbb72054782152d7ca4b94f12f3cf5da60ed1829cf,57bff0e24c2dea1501bfdcfd7a931aa1136ca7fc7f921829b929062d7dd9702b
"101","-421","0","nyx_idle_normal","-209.3","1.35","110931","1","110","11010001","1"
"101","121.8","0","nyx_idle_normal","-182.5","1.35","104831","1","110","11010002","1"
"101","227.7","0","nyx_idle_normal","-182.5","1.35","104631","1","110","11010003","1"
"101","340.3","1","nyx_talk_normal","-182.5","1.35","103231","1","110","11010004","1"
"101","449.6","1","nyx_idle_normal","-182.5","1.35","103431","1","110","11010005","1"
"101","-421","0","NoItem","-209.3","1.35","2","5","120","11010006","2"
"101","0","","","1","1","1","31","0","11010007","1"
"101","0","","","1","0","3","31","-300","11010008","15"
"101","0","","","1.5","0","4","31","-300","11010009","15"
"101","","","","","","bgm_M347","25","","11010010","bgm_M347"
"101","","","","","","","93","","11010011","2"
"101","nyx_101_chieru_loop","","","1","0.2","nyx_101_chieru_01","3","0","11010012","2"
"101","nyx_101_chieru_loop","","","1","0.2","nyx_101_chieru_01","3","0","11010013","110931"
"101","","","","","","切嚕～♪\n一開始總而言之\n要有衝擊性！","11","10","11010014","110931"
"101","","","","","","","93","","11010015","0.4"
"101","","","","","","0","32","","11010016","3"
"101","","","","","","1","32","","11010017","3"
"101","","","","","","","91","","11010018","11010014"
"101","","","","","","我要當個用強而有力\n的第一聲切嚕緊抓住\n評審員的心的孩子","11","10","11010019","110931"
"101","","","","","","","93","","11010020","1"
"101","","","","","0.2","nyx_idle_joy1","3","1","11010021","103231"
"101","","","","","0.2","nyx_cmn_05","3","1","11010022","104631"
"101","","","","","","","91","","11010023","11010019"
"101","nyx_101_chieru_loop","","","1","0.2","nyx_101_chieru_01","3","0","11010024","2"
"101","nyx_101_chieru_loop","","","1","0.2","nyx_101_chieru_01","3","0","11010025","110931"
"101","","","","","","切嚕～♪\n不對，還可以更好……\n切～☆嚕～！","11","7","11010026","110931"
"101","","","","","","","93","","11010027","0.4"
