1fe6e9adf010460035e775508842d22cbb8976665d4c176ad249ba2240aac17a,6aadb4be4d619b4badcdc713a3a7aa8ae148596b03d2767000354e86111993f0,dc08dda0aa3cd61f5ec398d87ff988afc8c9743131f353b97e1167b0ecddad24,809283d1354dc981e141ae742e1dec152c7342f071bb7b0f20e02e77b49445d6
"1004601","1004601","5046601","1"
"1004801","1004801","5048007","1"
"1004802","1004802","1004801","2"
"1005601","1005601","5056601","1"
"1006101","1006101","5061601","1"
"1006102","1006102","5061602","3"
"1006103","1006103","5061601","1"
"1006601","1006601","5027704","4"
"1007001","1007001","0","5"
"1007301","1007301","5046601","1"
"1007501","1007501","5048007","1"
"1007502","1007502","1004801","2"
"1008201","1008201","0","6"
"1008301","1008301","5056601","1"
"1008901","1008901","5061601","1"
"1008902","1008902","5061602","3"
"1008903","1008903","5061601","1"
"1009201","1009201","5092601","3"
"1010001","1010001","5100601","3"
"1010201","1010201","5100601","3"
"1010901","1010901","0","6"
"1011901","1011901","5092601","3"
"1012701","1012701","5100601","3"
"2003201","2003201","5056601","1"
