4582d7da6034650c63737a1266920b380ba22d950fc03bd85210dad9cb563e90,80f3cb2ad79f1e7b058ae484364dd5aab9e72bfdb2f141ee0b391c7e03fca030,6c13dfdb115298b271e6adabbf88c2a904bfce7b7148003bc4e672f7b73ad20f,208b8a7513db22c20804b4a5846b00f09b1415475883b9bf5bc026981761c438,6526ed1a679b441ee5b7ac7b2f05e15b494499e8b4e30726c9a8d425b05ca03b,71b93a509448a94b66361fd6811a4ced8ab755b95a1fdb6bc9bc2855a469e5e3,7eb389a3776b5240ed35f3935dcbcf57be5f76f721f03a0dc74d897691ca4503,cc9bfbf10e472910cd56dd3ba75b6b77e7d0ade781abdd8817a294373002b916
"ㄨㄛ","ㄧㄥ","10001","1000100","紅色又酸酸甜甜的水果。","1","蘋果","1"
"ㄕ","ㄧㄣ","10001","1000101","據說會長成智慧之樹的水果。也有人說其實那不是蘋果之類的。","2","禁忌的果實","1"
"ㄨㄛ","ㄓ","10001","1000102","吃了可以增強記憶力，提高智能的水果。","2","智慧之果","1"
"ㄧㄥ","ㄟ","10002","1000200","又強又黑還很強壯。最愛香蕉的生物。","1","黑猩猩","1"
"ㄟ","ㄧㄥ","10002","1000201","動物分類中的一種。","2","靈長類","1"
"ㄡ","ㄨ","10002","1000202","形容大猩猩兇猛叫聲的擬聲語。","2","嗚吼嗚吼","1"
"ㄧㄢ","ㄓ","10002","1000203","坐鎮於「露娜之塔」的強大仙猿。雖然不是猩猩是猴子，但也算是親戚，算你勉強通過。","3","擲岩猴仙","1"
"ㄚ","ㄚ","10003","1000300","統稱特定的銅管樂器的說法。","1","喇叭","1"
"ㄠ","ㄧㄠ","10003","1000301","銅管樂器中的一種。","2","小號","1"
"ㄧ","ㄨㄢ","10003","1000302","以管狀造型為主，多以吹奏等空氣流動方式產生樂音的樂器。","2","管樂器","1"
"ㄧ","ㄥ","10004","1000400","生長在溫暖地區，黃色且味道酸甜的水果。","1","鳳梨","1"
"ㄨㄛ","ㄛ","10004","1000401","在某些地區就是這樣叫這種水果的。","1","菠蘿","1"
"ㄞ","ㄨㄤ","10004","1000402","「鳳梨」的台語讀音。","1","旺來","1"
"ㄕ","ㄨㄥ","10005","1000500","也有人稱其為寶石女王，鮮艷的紅色寶石。","1","紅寶石","1"
"ㄕ","ㄠ","10005","1000501","用在裝飾品中，既美麗又珍貴的礦物。","1","寶石","1"
"ㄕ","ㄛ","10005","1000502","帶有魔法的石頭，可以鑲嵌在武器上，也可以做施法的媒介。","2","魔法石","1"
"ㄣ","ㄧㄡ","10005","1000503","「紫藤家」的大小姐「秋乃」戴在身上的美麗胸針。","3","秋乃的胸針","1"
"ㄕ","ㄗ","10005","1000504","「秋乃」的專用裝備。紫藤家代代相傳的輝石。","3","紫藤紅輝石","1"
"ㄧㄡ","ㄧ","10006","1000600","用穀物釀成的酒類。","1","啤酒","1"
"ㄟ","ㄧㄡ","10006","1000601","用單手拿著，裝飲料用的容器。","1","酒杯","1"
"ㄧㄡ","ㄞ","10006","1000602","「優花梨」會稱呼它「像啤酒的東西」。不能讓她喝太多。","2","麥酒","1"
"ㄨㄟ","ㄥ","10006","1000603","「優花梨」專用裝備的內容物。不管怎麼喝都會不斷地湧出來。","3","生命之水","1"
"ㄧㄢ","ㄨㄥ","10007","1000700","用弓與箭組成的武器。","1","弓箭","1"
"ㄕ","ㄧㄢ","10007","1000701","「箭」的別種說法。","1","箭矢","1"
