079068b55ab181ec1344b8491c54be29cb9b416d941570d4d37b7d78df5a53b2,bde5366c74407a65caaba4806486bf2ad3aef082ae723327316e2e0b0f04a56c,65d24287f47dba0bdf014f20b9c5472e2d611e42220e73c52a3ae761211d0c94,5302acdb8544dd0b8b756380b7ff6934bc134ef111b3bfc15a53e8b22cd00a84,39a69f2d2b1892094da57245f81219577bdec9ee884f49d1612ae3e470af9cba,f5c113d43f586e1ebd22ec6e8de3734aef1f91963cb51ba44639eda4a02d0147,a99f174eaf9c3b58d3585bdf34c1f929c0b890bddfc2edab5b3a47d65bde0364,50caba4784b1fdab811757101b86a3178131d904a6a91a0beda32420a842e4a6,1240877c2ae88e5c86fad16c4d951acfba50ca6f478d8f4e0691cb4c4a99ca10,5b5701c7244bced51da4a882796c2ff7e7c15a6bef5a4f6d86217311f80c9984,70b5d23ec26855ea0bf888c09dfc214754acfaf71d42c8dce6eb4f9de18b43d0,028bec3597ec798fc1a0f7f9fce99c97b1afca61c3169813179c0163d68921fd,19b37814e23f784674894bebeafe36d681ca337334f8709144a7c6ffd596933f,b7737f2131851c03cf709f30d80b3977f6357d551a6ef5c939843fd012f2a11e,0f547b0ed234849bb65e45eb5ada33eb12f8fa867ed55c750b1e2d38c9f301c3,251cf4538d679df8fae4e9b96ebce3198a3e9a41db3fcb17ff6842f5e53f0a9f,892b6568671bfbc75654a8d1f0706aa2044923572a6e9cc30cbb37e72a3afe84,83557250a20247ebd8bdef12aa098a800dc0c4ba663d054fe0031bd8c164bb41,2bac9979e771cbb5f72b39fc1c127e8b248e992b9fc44d7026e64e3f52c4c4eb,990ce3e5636c4e5118e1b0677615c89713a05d172e33d86f5b847bdda99acfd3,de4fd97eb4b2982def8d3f455db6f28b11e90bc5162877f0afca2068396fcff0,65f0c1ab0899dbe46f0dc177631bf6e3350ab6804640d87384c38c8705eddf3e
"bgm_M64","-30","1","0.6","0","1","0","1001","101001","1","250","-480","0.8","1","210","-120","0.7","10","101001","-30","10010101","1"
"bgm_M64","-30","2","0.75","0","2","0","1001","101001","1","0","-260","1.2","1","200","-120","1","10","101001","0","10010102","1"
"bgm_M64","-30","3","0.75","-50","3","0","1001","101001","1","100","-40","1.1","1","200","0","1","0","101001","-10","10010103","1"
"bgm_M64","-30","4","0.7","0","4","0","1001","101001","1","0","240","1","1","200","-50","1","0","101001","0","10010104","1"
"bgm_M55","-30","5","1.2","0","5","0","1001","101011","1","200","480","1.3","1","250","-40","1","0","101011","0","10010105","1"
"bgm_M64","-30","1","0.6","0","1","0","1002","101001","1","250","-480","0.8","1","210","-155","0.7","10","101021","-30","10020101","1"
"bgm_M64","-30","2","0.75","0","2","0","1002","101001","1","250","-265","1.2","1","200","-120","1","10","101021","0","10020102","1"
"bgm_M64","-30","3","0.9","-30","3","-15","1002","101001","1","100","-30","1.4","1","200","30","1","0","101021","-10","10020103","1"
"bgm_M64","-30","4","1","-30","4","0","1002","101001","1","100","220","1.5","1","200","-90","1.25","0","101021","0","10020104","1"
"bgm_M55","-30","5","1.4","0","5","0","1002","101011","1","200","440","1.8","1","250","0","1.6","0","101031","0","10020105","1"
"bgm_M64","-30","1","0.6","0","1","0","1003","101041","1","250","-470","0.8","1","210","-155","0.7","10","101041","-30","10030101","1"
"bgm_M64","-30","2","0.75","0","2","0","1003","101041","1","250","-210","1.2","1","200","-95","1","10","101041","0","10030102","1"
"bgm_M64","-30","3","0.75","-50","3","0","1003","101041","1","100","50","1.1","1","200","-120","1","0","101041","-10","10030103","1"
"bgm_M64","-30","4","0.8","-30","4","0","1003","101041","1","100","195","1.5","1","200","35","1.2","0","101041","0","10030104","1"
"bgm_M55","-30","5","1.1","-50","5","0","1003","101042","1","150","450","1.8","1","210","-55","1.35","0","101042","0","10030105","1"
"bgm_M64","-30","1","0.6","0","1","0","1004","101161","1","250","-480","0.8","1","210","-120","0.7","10","101161","-30","10040101","1"
"bgm_M64","-30","2","0.75","0","2","0","1004","101161","1","0","-260","1.2","1","200","-120","1","10","101161","0","10040102","1"
"bgm_M64","-30","3","0.9","-30","3","-15","1004","101161","1","100","-20","1.4","1","200","55","1","0","101161","-10","10040103","1"
"bgm_M64","-30","4","0.9","-30","4","0","1004","101161","1","0","180","1.3","1","200","-30","1","0","101161","0","10040104","1"
"bgm_M55","-30","5","0.9","-50","5","-40","1004","101162","1","200","470","1.2","1","250","-60","0.9","0","101162","-30","10040105","1"
"bgm_M64","-30","1","0.6","0","1","0","1005","101161","1","250","-480","0.8","1","210","-120","0.7","10","101171","-30","10050101","1"
"bgm_M64","-30","2","0.75","0","2","0","1005","101161","1","0","-260","1.2","1","200","-120","1","10","101171","0","10050102","1"
"bgm_M64","-30","3","0.9","-30","3","-15","1005","101161","1","100","-20","1.4","1","200","45","1","0","101171","-10","10050103","1"
"bgm_M64","-30","4","0.7","0","4","0","1005","101161","1","0","190","1","1","200","-70","1","0","101171","0","10050104","1"
"bgm_M55","-30","5","1","-30","5","-40","1005","101162","1","200","445","1.3","1","240","-25","1","0","101172","0","10050105","1"
"bgm_M64","-30","1","0.6","0","1","0","1006","101161","1","250","-480","0.8","1","210","-120","0.7","10","101191","-30","10060101","1"
"bgm_M64","-30","2","0.75","0","2","0","1006","101161","1","0","-260","1.2","1","200","-100","1","10","101191","0","10060102","1"
"bgm_M64","-30","3","0.8","0","3","-15","1006","101161","1","100","-10","1.1","1","200","65","1","0","101191","-10","10060103","1"
"bgm_M64","-30","4","0.8","0","4","0","1006","101161","1","0","190","1.2","1","200","-110","1","0","101191","0","10060104","1"
