50f4b5fd6f203d27d8cf39d2bb4f11c9033a6b73659ad281578ec9f223d2d28d,7a9319dbc787589181c6eaa7b29e47766f5ef91c78f10d4c1df81b7e57313fb1,ff0f29c5d0807b1c3509be1c01dd66e0c5134fe10026a2c7e0e4f926fd356ed8
"icon_unit_sort_physics","1","物理"
"icon_unit_sort_magic","2","魔法"
"icon_unit_role_001","100","攻擊者"
"icon_unit_role_002","101","破防者"
"icon_unit_role_003","102","增益者"
"icon_unit_role_004","103","減益者"
"icon_unit_role_005","104","增幅者"
"icon_unit_role_006","105","治療者"
"icon_unit_role_007","106","掩護者"
"icon_unit_role_008","107","妨礙者"
"icon_unit_sort_single_attack","200","單體"
"icon_unit_sort_range_attack","201","範圍"
"icon_unit_sort_slip_attack","203","持續傷害"
"icon_status_13","301","物攻下降"
"icon_status_15","302","魔攻下降"
"icon_status_14","311","物防下降"
"icon_status_16","312","魔防下降"
"icon_status_22","321","速度降低"
"icon_status_19","331","減少ＴＰ上升"
"icon_status_19","332","降低ＴＰ"
"icon_status_24","401","物理無效"
"icon_status_25","402","魔法無效"
"icon_status_26","403","物理吸收"
"icon_status_27","404","魔法吸收"
"icon_status_28","405","物理魔法無效"
"icon_status_29","406","物理魔法吸收"
"icon_status_01","501","物攻上升"
"icon_status_03","502","魔攻上升"
"icon_status_02","511","物防上升"
"icon_status_04","512","魔防上升"
"icon_status_09","521","速度上升"
"icon_status_152","522","累加速度上升"
"icon_status_06","531","物理暴擊提升"
"icon_status_06","532","魔法暴擊提升"
"icon_status_67","533","物理暴擊傷害提升"
"icon_status_69","534","魔法暴擊傷害提升"
"icon_status_07","541","提升ＴＰ上升"
"common_unit_icon_front","700","前衛"
"common_unit_icon_middle","701","中衛"
"common_unit_icon_back","702","後衛"
"icon_status_08","800","ＨＰ恢復"
"icon_status_07","801","ＴＰ恢復"
"icon_status_08","802","持續恢復ＨＰ"
"icon_status_07","803","持續恢復ＴＰ"
"icon_status_43","901","無法行動"
"icon_status_36","902","魅惑、混亂"
"icon_status_37","903","挑釁"
"icon_status_132","904","飛行"
"icon_status_203","905","調和"
"icon_status_75","906","傷害降低"
"icon_status_129","907","無法行動無效"
"","10001","掩護者"
"","10002","前衛"
"","10003","中衛"
"","10004","後衛"
"","10005","物理攻擊"
"","10006","魔法攻擊"
"","10007","範圍攻擊"
"","10008","持續傷害"
"","10009","物防下降"
"","10010","魔防下降"
"","10011","物攻下降"
"","10012","魔攻下降"
"","10013","物防上升"
"","10014","魔防上升"
"","10015","降低TP"
"","10016","恢復"
"","10017","護盾"
"","10018","挑釁"
"","10019","無法行動"
