158fa950ac73bd4c65b3d41af6112df32c8aca4674bfd383449b4b70b758f7e5,beb1a5101b2a3cf48879900018f0d047dd4958b16d8d044524500707a3c98c42,b11653b9f2df89b82f505df60f6789f83eb12f004c154a0ba817d0e695bf409d,45dc99b36a7227af585fe049f81f0ea55f54eab4d41a7d6b9511524f628c6c49,9c6280d6716051788ca45878ee537be408d925f493a5a5dae046a3fe1c7cb55c,dfc7f26d18063bd63518d0935d4ca464b74d4d4fb91c10ccb277414aa1541939,fc97ac6545b033206fe0979c2d0d560e69c2251d680d2357b14c036d5ad4d9b0,d4498047f4d9c15df18f76a61976fb014f41a5967ce1b99fc2fe7d612909ead6,0579626edf7938001d8be91869ca78aa054e3de1b79a821fa2f9b9bfc22e9193,63aaf189e2e44464bb40c9b44eeccb736a3673b05d26d7a1ac85afa24cc44327,e7bf5321d59f9df126f9cdda7f37e83c0faa24f328d07f3213a6b36296129dee,d281f7ef82e6a82b74067f8a163a8f1b57b280f0f5758fe0ceb2c3fd82921222,690b8710de4d016a493adc05470d78fb63c8e14da25b013a18ac0eec5ea2a3a2,69018e392196015b6945926a38fee238b84a7f00616c758efe820fdc557e102a,fbc778c3f2034baa86b9926f3c8c8ef04d2ac6ed943ae9517b70c23afac536e2,ebb379c167b8d8b076249bb4ace73a0ed699f85c0cea00c20121193b591ab99c,32667c0a1d418a4a25198c29fe87ef4b788abe2ac5589b6336f957c8b65506ee,5cf6887f872dc068c755c4eda99756098a0ef25e6c150eaf0f94694bc27765b1
"1","91002","1","0","0","0","0","0","0","0","10","8","0","50","0","0","0","0"
"2","91002","11","0","0","0","0","0","0","0","100","8","0","10","0","0","0","0"
"3","91002","101","0","0","0","0","0","0","0","200","8","0","5","0","0","0","0"
"4","91002","201","0","0","0","0","0","0","0","500","8","0","3","0","0","0","0"
"5","91002","501","0","0","0","0","0","0","0","1000","8","0","2","0","0","0","0"
"6","91002","1001","0","0","0","0","0","0","0","2000","8","0","2","0","0","0","0"
"7","91002","2001","0","0","0","0","0","0","0","3999","8","0","1","0","0","0","0"
"8","91002","4000","0","0","0","0","0","0","0","4000","8","0","50","0","0","0","0"
"9","91002","4100","0","0","0","0","0","0","0","4100","8","0","50","0","0","0","0"
"10","91002","4200","0","0","0","0","0","0","0","4200","8","0","50","0","0","0","0"
"11","91002","4300","0","0","0","0","0","0","0","4300","8","0","50","0","0","0","0"
"12","91002","4400","0","0","0","0","0","0","0","4400","8","0","50","0","0","0","0"
"13","91002","4500","0","0","0","0","0","0","0","4500","8","0","50","0","0","0","0"
"14","91002","4600","0","0","0","0","0","0","0","4600","8","0","50","0","0","0","0"
"15","91002","4700","0","0","0","0","0","0","0","4700","8","0","50","0","0","0","0"
"16","91002","4800","0","0","0","0","0","0","0","4800","8","0","50","0","0","0","0"
"17","91002","4900","0","0","0","0","0","0","0","4900","8","0","50","0","0","0","0"
"18","91002","5000","0","0","0","0","0","0","0","5000","8","0","50","0","0","0","0"
"19","91002","5100","0","0","0","0","0","0","0","5100","8","0","50","0","0","0","0"
"20","91002","5200","0","0","0","0","0","0","0","5200","8","0","50","0","0","0","0"
"21","91002","5300","0","0","0","0","0","0","0","5300","8","0","50","0","0","0","0"
"22","91002","5400","0","0","0","0","0","0","0","5400","8","0","50","0","0","0","0"
"23","91002","5500","0","0","0","0","0","0","0","5500","8","0","50","0","0","0","0"
"24","91002","5600","0","0","0","0","0","0","0","5600","8","0","50","0","0","0","0"
"25","91002","5700","0","0","0","0","0","0","0","5700","8","0","50","0","0","0","0"
"26","91002","5800","0","0","0","0","0","0","0","5800","8","0","50","0","0","0","0"
"27","91002","5900","0","0","0","0","0","0","0","5900","8","0","50","0","0","0","0"
"28","91002","6000","0","0","0","0","0","0","0","6000","8","0","50","0","0","0","0"
"29","91002","6100","0","0","0","0","0","0","0","6100","8","0","50","0","0","0","0"
"30","91002","6200","0","0","0","0","0","0","0","6200","8","0","50","0","0","0","0"
"31","91002","6300","0","0","0","0","0","0","0","6300","8","0","50","0","0","0","0"
"32","91002","6400","0","0","0","0","0","0","0","6400","8","0","50","0","0","0","0"
"33","91002","6500","0","0","0","0","0","0","0","6500","8","0","50","0","0","0","0"
"34","91002","6600","0","0","0","0","0","0","0","6600","8","0","50","0","0","0","0"
"35","91002","6700","0","0","0","0","0","0","0","6700","8","0","50","0","0","0","0"
"36","91002","6800","0","0","0","0","0","0","0","6800","8","0","50","0","0","0","0"
"37","91002","6900","0","0","0","0","0","0","0","6900","8","0","50","0","0","0","0"
