bb114762d7f6b40d6d1320d0671ddd3ad4aeba2365547ebec58ff686e440d28b,fb036e7f013581656d2ea78f89331220a5d90f387b0c4d92e72e5f67f2153699,214f7acccea887e5233b5305ea76cd9e17eb13ecd9061bba1490323e6340a0c9
"9000169","2816","421"
"9000170","2816","751"
"9000210","2816","1061"
"9000211","2816","1361"
"9000212","2816","1671"
"9000213","2816","1801"
"9000214","2816","1981"
"9000217","2816","2281"
"9000218","2816","2591"
"9000219","2816","2891"
"9000220","2816","3201"
"9000221","2816","3511"
"9000224","2816","3791"
"9000226","2816","4091"
"9000228","2816","4092"
