9e002cf6c4b6f2a40193e2132e7746e91dc2741ef37c80bd23d581736395cf28,b5250ab8438dd280e6a3929fff8c6db9671f59256dce920d022e0defcd0fe598
"強化HP","1"
"強化物理攻擊力","2"
"強化物理防禦力","3"
"強化魔法攻擊力","4"
"強化魔法防禦力","5"
"強化物理暴擊率","6"
"強化魔法暴擊率","7"
"強化迴避","8"
"強化HP吸收","9"
"強化HP自動回復效果","10"
"強化TP自動回復效果","11"
"強化物理貫通傷害","12"
"強化魔法貫通傷害","13"
"強化TP上升效果","14"
"強化回復量上升效果","15"
"強化TP消耗減輕效果","16"
"強化命中","17"
"強化物理、魔法攻擊力","50"
"強化物理、魔法防禦力","51"
"強化物理、魔法暴擊率","52"
"強化物理暴擊傷害","100"
"強化魔法暴擊傷害","101"
"強化物理造成的傷害","102"
"強化魔法造成的傷害","103"
"強化屬性獎勵","104"
