c456190f9c96a6178fffff274d45fe7b307e07ff62516a3fdce14d9902f00f34,d2c6813df1a0f85c6e1b660a5c319d6f199d928024213ec80cf745e5e5155134,4bf30dade31563ae14271b66d4678adf239aaa6a85758709a04f80206bb308ac,96e5a974bbec676bab7ba62684df35e6f419227aaf6ec665717076aef93b5a17,37df537868b6f0a83911b67363107ece59328b66cba0d88dcd9b025d43a63c72,8ddfcde41747c0eebdbde0eb08c175d185613bec2fb401431b8a7673c0965361
"10","10","1","500","2","1"
"10","20","1","500","3","1"
"10","30","1","500","4","1"
"10","40","1","500","5","1"
"10","50","1","500","6","1"
"10","60","1","500","7","1"
"10","70","1","500","8","1"
"10","80","1","500","9","1"
"10","90","1","500","10","1"
"15","105","1","500","11","1"
"15","120","1","500","12","1"
"15","135","1","500","13","1"
"15","150","1","500","14","1"
"15","165","1","500","15","1"
"15","180","1","500","16","1"
"15","195","1","500","17","1"
"15","210","1","500","18","1"
"15","225","1","500","19","1"
"15","240","1","500","20","1"
"25","265","1","500","21","1"
"25","290","1","500","22","1"
"25","315","1","500","23","1"
"25","340","1","500","24","1"
"25","365","1","500","25","1"
"25","390","1","500","26","1"
"25","415","1","500","27","1"
"25","440","1","500","28","1"
"25","465","1","500","29","1"
"25","490","1","500","30","1"
"40","530","1","500","31","2"
"40","570","1","500","32","2"
"40","610","1","500","33","2"
"40","650","1","500","34","2"
"40","690","1","500","35","2"
"40","730","1","500","36","2"
"40","770","1","500","37","2"
"40","810","1","500","38","2"
"40","850","1","500","39","2"
"40","890","1","500","40","2"
"50","940","1","500","41","2"
"50","990","1","500","42","2"
"50","1040","1","500","43","2"
"50","1090","1","500","44","2"
"50","1140","1","500","45","2"
"50","1190","1","500","46","2"
"50","1240","1","500","47","2"
"50","1290","1","500","48","2"
"50","1340","1","500","49","2"
"50","1390","1","500","50","2"
"60","1450","1","500","51","3"
"60","1510","1","500","52","3"
"60","1570","1","500","53","3"
"60","1630","1","500","54","3"
"60","1690","1","500","55","3"
"60","1750","1","500","56","3"
"60","1810","1","500","57","3"
"60","1870","1","500","58","3"
"60","1930","1","500","59","3"
"60","1990","1","500","60","3"
"75","2065","1","600","61","3"
"75","2140","1","600","62","3"
"75","2215","1","600","63","3"
"75","2290","1","600","64","3"
"75","2365","1","600","65","3"
"75","2440","1","600","66","3"
"75","2515","1","600","67","3"
"75","2590","1","600","68","3"
"75","2665","1","600","69","3"
"75","2740","1","600","70","3"
"100","2840","1","600","71","4"
"100","2940","1","600","72","4"
"100","3040","1","600","73","4"
"100","3140","1","600","74","4"
"100","3240","1","600","75","4"
"100","3340","1","600","76","4"
"100","3440","1","600","77","4"
"100","3540","1","600","78","4"
"100","3640","1","600","79","4"
"100","3740","1","600","80","4"
"125","3865","1","600","81","4"
"125","3990","1","600","82","4"
"125","4115","1","600","83","4"
"125","4240","1","600","84","4"
"125","4365","1","600","85","4"
"125","4490","1","600","86","4"
"125","4615","1","600","87","4"
"125","4740","1","600","88","4"
"125","4865","1","600","89","4"
"125","4990","1","600","90","4"
"150","5140","1","600","91","5"
"150","5290","1","600","92","5"
"150","5440","1","600","93","5"
"150","5590","1","600","94","5"
"150","5740","1","600","95","5"
"150","5890","1","600","96","5"
"150","6040","1","600","97","5"
"150","6190","1","600","98","5"
"150","6340","1","600","99","5"
"150","6490","1","600","100","5"
"175","6665","1","600","101","5"
"175","6840","1","600","102","5"
"175","7015","1","600","103","5"
"175","7190","1","600","104","5"
"175","7365","1","600","105","5"
"175","7540","1","600","106","5"
"175","7715","1","600","107","5"
"175","7890","1","600","108","5"
"175","8065","1","600","109","5"
"175","8240","1","600","110","5"
"200","8440","1","600","111","6"
"200","8640","1","600","112","6"
"200","8840","1","600","113","6"
"200","9040","1","600","114","6"
"200","9240","1","600","115","6"
"200","9440","1","600","116","6"
"200","9640","1","600","117","6"
"200","9840","1","600","118","6"
"200","10040","1","600","119","6"
"200","10240","1","600","120","6"
"225","10465","1","600","121","6"
"225","10690","1","600","122","6"
"225","10915","1","600","123","6"
"225","11140","1","600","124","6"
"225","11365","1","600","125","6"
"225","11590","1","600","126","6"
"225","11815","1","600","127","6"
"225","12040","1","600","128","6"
"225","12265","1","600","129","6"
"225","12490","1","600","130","6"
"250","12740","1","600","131","7"
"250","12990","1","600","132","7"
"250","13240","1","600","133","7"
"250","13490","1","600","134","7"
"250","13740","1","600","135","7"
"250","13990","1","600","136","7"
"250","14240","1","600","137","7"
"250","14490","1","600","138","7"
"250","14740","1","600","139","7"
"250","14990","1","600","140","7"
"250","15240","1","600","141","8"
"250","15490","1","600","142","8"
"250","15740","1","600","143","8"
"250","15990","1","600","144","8"
"250","16240","1","600","145","8"
"250","16490","1","600","146","8"
"250","16740","1","600","147","8"
"250","16990","1","600","148","8"
"250","17240","1","600","149","8"
"250","17490","1","600","150","8"
"250","17740","1","600","151","9"
"250","17990","1","600","152","9"
"250","18240","1","600","153","9"
"250","18490","1","600","154","9"
"250","18740","1","600","155","9"
"250","18990","1","600","156","9"
"250","19240","1","600","157","9"
"250","19490","1","600","158","9"
"250","19740","1","600","159","9"
"250","19990","1","600","160","9"
"250","20240","1","600","161","10"
"250","20490","1","600","162","10"
"250","20740","1","600","163","10"
"250","20990","1","600","164","10"
"250","21240","1","600","165","10"
"250","21490","1","600","166","10"
"250","21740","1","600","167","10"
"250","21990","1","600","168","10"
"250","22240","1","600","169","10"
"250","22490","1","600","170","10"
"250","22740","1","600","171","11"
"250","22990","1","600","172","11"
"250","23240","1","600","173","11"
"250","23490","1","600","174","11"
"250","23740","1","600","175","11"
"250","23990","1","600","176","11"
"250","24240","1","600","177","11"
"250","24490","1","600","178","11"
"250","24740","1","600","179","11"
"250","24990","1","600","180","11"
"250","25240","1","600","181","12"
"250","25490","1","600","182","12"
"250","25740","1","600","183","12"
"250","25990","1","600","184","12"
"250","26240","1","600","185","12"
"250","26490","1","600","186","12"
"250","26740","1","600","187","12"
"250","26990","1","600","188","12"
"250","27240","1","600","189","12"
"250","27490","1","600","190","12"
"250","27740","1","600","191","13"
"250","27990","1","600","192","13"
"250","28240","1","600","193","13"
"250","28490","1","600","194","13"
"250","28740","1","600","195","13"
"250","28990","1","600","196","13"
"250","29240","1","600","197","13"
"250","29490","1","600","198","13"
"250","29740","1","600","199","13"
"250","29990","1","600","200","13"
"250","30240","1","600","201","14"
"250","30490","1","600","202","14"
"250","30740","1","600","203","14"
"250","30990","1","600","204","14"
"250","31240","1","600","205","14"
"250","31490","1","600","206","14"
"250","31740","1","600","207","14"
"250","31990","1","600","208","14"
"250","32240","1","600","209","14"
"250","32490","1","600","210","14"
"250","32740","1","680","211","15"
"250","32990","1","680","212","15"
"250","33240","1","680","213","15"
"250","33490","1","680","214","15"
"250","33740","1","680","215","15"
"250","33990","1","680","216","15"
"250","34240","1","680","217","15"
"250","34490","1","680","218","15"
"250","34740","1","680","219","15"
"250","34990","1","680","220","15"
"250","35240","1","680","221","16"
"250","35490","1","680","222","16"
"250","35740","1","680","223","16"
"250","35990","1","680","224","16"
"250","36240","1","680","225","16"
"250","36490","1","680","226","16"
"250","36740","1","680","227","16"
"250","36990","1","680","228","16"
"250","37240","1","680","229","16"
"250","37490","1","680","230","16"
"250","37740","1","680","231","17"
"250","37990","1","680","232","17"
"250","38240","1","680","233","17"
"250","38490","1","680","234","17"
"250","38740","1","680","235","17"
"250","38990","1","680","236","17"
"250","39240","1","680","237","17"
"250","39490","1","680","238","17"
"250","39740","1","680","239","17"
"250","39990","1","680","240","17"
"250","40240","1","680","241","18"
"250","40490","1","680","242","18"
"250","40740","1","680","243","18"
"250","40990","1","680","244","18"
"250","41240","1","680","245","18"
"250","41490","1","680","246","18"
"250","41740","1","680","247","18"
"250","41990","1","680","248","18"
"250","42240","1","680","249","18"
"250","42490","1","680","250","18"
"250","42740","1","680","251","19"
"250","42990","1","680","252","19"
"250","43240","1","680","253","19"
"250","43490","1","680","254","19"
"250","43740","1","680","255","19"
"250","43990","1","680","256","19"
