d941f9066c4e19be98cda6b20787a89e72d049bbb19859fb1b49349d02391f5f,967ebdc6d4711c2387c069e2aaf79b563ea580ac10f614d3dc5c0592bf5d04e5,01c8e5d20f3a88130c33c10c89a90937f7551f87f2731e69ea2aefb17f2b1393,0ae5ef8f6b29cf253e32ff626b0289214b49e9e4c752c9b0f235d1583d52472c,b025f7ab3d5b64ee4ad829229335d084cd6c00cf41eb88440e193d534710a6fa,53249b5910597e7c9b214d8ca21e2251e4f4542f836454a5e22c5d60806a2ed9,99691f0bd8877411eadf501d6b7fac985e5900d5c3beef387dc71b31328b6b9f,081f5f3ef4c45a4527f8863ff438e11c07c2118d9ba0688b36277f66b28661fd,3905fa48983c144427877ad03a96429b06fc11c42bb959e4fc2c085742af8039,306a24d412fe8390d4af4647456b7c0407d7cf18434c467657ceddf0fa8df4f4,504e4aa5bee2fa14473972a064b34e93d7d888620b57512eb996cfc41da771f9,fece88e4f96ec5c942acf8496a88e7a1730b42c038e752d0bed9dc6dfdf03b04,ad55e4d0b2ea3ad06003acc4911604b6f321454f027b4a10aeb740ea25e164a8,144b80c8a5a4c529c8b89c96c4cc61302455eef17f88ef9542ed204e45b6a02a
"122601","1","160","101","在海邊與夥伴享受夏日的夏海魔法師。以想改變自己的堅定決心，將障礙物無效化並持續奔跑。","0","105","1.5","1","110","0","0.029","1","1"
"122401","0","120","102","比太陽還耀眼的夏海活力女孩。能以與生俱來的身體能力，靈活地應對、跑過各種路線。","0","111","2.5","3","105","1","0.014","2","2"
"122501","0","350","103","在海灘上閃耀的夏海劍士。有著日復一日鍛鍊出來的雙腿，即使長距離也能速度不減地跑到最後。","1","105","2.5","2","110","0","0.017","3","3"
"107501","0","130","104","最喜歡美味海產的海岸公主。能解放「皇家裝備」的力量，不把障礙物放在眼裡地往前邁進。","0","105","1.5","3","110","1","0.016","4","4"
"107601","1","160","105","在海邊也要照顧主人的白色沙灘巫女。以精靈之力使自身加速，用比任何人都快的速度朝終點前進。","0","105","2.5","1","110","0","0.014","5","5"
"107801","0","255","106","對穿泳裝感到害羞的傲嬌貓女。以擅長的魔法妨礙對戰對手跑步，使自己處在有利的情況。","1","103","3.5","2","120","0","0.029","6","6"
"110601","1","160","107","優雅地在沙灘上奔馳，盛夏的真步公主。優雅優雅地以高雅的身姿跳過障礙物。","0","103","3.5","1","120","0","0.013","7","7"
"110401","0","350","108","守護沙灘和平的盛夏狼女。以獸人強健的體力在競賽後半進行衝刺。","1","103","2.5","2","110","0","0.014","8","8"
"110501","0","130","109","在海灘上賣力舞動的盛夏南國少女。即使在競賽的喧囂中精神也不會受擾亂，能展現驚人的中後段加速。","0","100","1.5","3","105","1","0.012","9","9"
"115701","1","200","110","察覺海灘事件徵兆的盛夏名偵探。以高度的推理力與魔法，確實地擾亂對戰對手奔跑。","0","103","2.5","1","105","0","0.014","10","10"
