57efcc13bc5768dc37c1e737fcb3422613b0e5a083df83990edc197b0689aaed,f14aff53e1ee946207aa4d23b281fc1fa1965fade49594cdf085558e6ebd19cd,d517c34498d4559155969aa2b4a51c69e65210fb0eda27147166335bf1600b67,c58de7acdd551123d43f0847966dd47172cab35788ce6f70aa54c4774c207357,8ceaa1d8ae0e9b31b19524d0a7cd26566542a7e4353f2955837d47fb961beeb9,318fead7e45b56d1a1dddfc8891a1cc628c9eb9153269de7ce14ca5963dbb67e,c91dcf18d2fb30afd01a66e1719c0793c0b329bf7fee03afffebf4fddfcc863c,9a67f413f5078f5620f7593e2efbc88e3030f25035c1f2b5b79a223fda756d54,15e785dc64e72bdd518f5f4aa48cfebad0961e5bf8e8c353f4fd1d1a1354c259,5b5a387f7a4e3328b406228b1562a9991323d9a5e1ebaafed8bc7fa3ed698e04,26fac0fa62606a06bbd6d75c02549624b2b24bf4125e9ae61a8670df01355f39,6dee23894c0cb1fdfb8f7eb3110be714c7ce443157c0d6f37b06e5f2ffa5d267,f987c51eeb02b78121c026ec5875c5768de761558632b422593efd982cc37bf9
"","1","","Lost Princess","20","2018-10-18 15:00:00","","Lost Princess","-1","","-1","1",""
"","2","","Connecting Happy!!","17","2018-10-18 15:00:00","","Connecting Happy!!","-1","","-1","2",""
"","3","","踏上旅程","20","2018-10-18 15:00:00","","踏上旅程","1000","","-1","3",""
"","4","","穿過森林的風","20","2018-10-18 15:00:00","","穿過森林的風","1000","","-1","4",""
"","5","","梅莎路提姆","20","2018-10-18 15:00:00","","梅莎路提姆","1000","","-1","5",""
"","6","","初音的禮物大作戰","20","2018-10-18 15:00:00","","初音的禮物大作戰","1000","","-1","6",""
"","7","","席茲","20","2018-10-18 15:00:00","","席茲","1000","","-1","7",""
"","8","","Smiley Contrast","20","2018-10-18 15:00:00","","Smiley Contrast","1500","","-1","8",""
"","9","","牛頭怪","20","2018-10-18 15:00:00","","牛頭怪","1000","","-1","9",""
"","10","","小小甜心大冒險","20","2018-10-18 15:00:00","","小小甜心大冒險","1000","","-1","10",""
"","11","","阿爾瑪","20","2018-10-18 15:00:00","","阿爾瑪","1000","","-1","11",""
"","12","","小小冒險","18","2018-10-18 15:00:00","","小小冒險","1500","","-1","12",""
"","13","","大胃王","20","2018-10-18 15:00:00","","大胃王","1000","","-1","13",""
"","14","","不給布丁就搗蛋！約定的萬聖節派對","20","2018-10-18 15:00:00","","不給布丁就搗蛋！約定的萬聖節派對","1000","","-1","14",""
"","15","","傑克南瓜布丁","17","2018-10-18 15:00:00","","傑克南瓜布丁","1000","","-1","15",""
"","16","","還要！兩人的派～對～夜～","20","2018-10-18 15:00:00","","還要！兩人的派～對～夜～","1500","","-1","16",""
"","17","","閃耀的冰晶","20","2018-10-18 15:00:00","","閃耀的冰晶","1000","","-1","17",""
"","18","","Shining Future","20","2018-11-19 15:00:00","","Shining Future","1500","","3010003","18",""
"","19","","向風起誓","20","2018-11-19 15:00:00","","向風起誓","1500","","3010003","19",""
"","20","","因為想看到你的笑容","18","2018-11-19 15:00:00","","因為想看到你的笑容","1500","","3010003","20",""
"","21","","無法坦率的心！","18","2018-11-19 15:00:00","","無法坦率的心！","1500","","1054007","21",""
"","22","","向詭譎氣氛挺身而出的鬥志","20","2018-11-19 15:00:00","","向詭譎氣氛挺身而出的鬥志","1000","","-1","22",""
"","23","","野豬雙胞胎","20","2018-11-19 15:00:00","","野豬雙胞胎","1000","","-1","23",""
