0096504951f6e2ad199f0e7fdbd8d81306521a7364842f515c9940163ab333e3,e4081961a719ea1f33f1f569d2cd07a422c8b8a3b182ebed73ff47e8a993fb0c,ae7eca1ff22535ce5dc5fb27443902028ea42b7d36ae9d9bf259aa41e2bfb112,74497d34ca586e8686a9dff6ae68e8846f25ee5a3fbcc8f19caf87ff4ba5dec8
"1","1000","170","1"
"2","3000","175","1"
"3","5000","180","1"
"4","7000","185","1"
"5","9000","190","1"
"6","11000","195","1"
"7","13000","200","1"
"8","15000","205","1"
"9","17000","210","1"
"10","19000","215","1"
"11","21000","220","1"
"12","23000","225","1"
"13","25000","230","1"
"14","27000","232","1"
"15","29000","234","1"
"16","31000","236","1"
"17","33000","238","1"
"18","35000","240","1"
"19","37000","242","1"
"20","39000","244","1"
"21","41000","246","1"
"22","43000","248","1"
"23","9999999","250","1"
"24","1000","170","2"
"25","3000","175","2"
"26","5000","180","2"
"27","7000","185","2"
"28","9000","190","2"
"29","11000","195","2"
"30","13000","200","2"
"31","15000","205","2"
"32","17000","210","2"
"33","19000","215","2"
"34","21000","220","2"
"35","23000","225","2"
"36","25000","230","2"
"37","27000","232","2"
"38","29000","234","2"
"39","31000","236","2"
"40","33000","238","2"
"41","35000","240","2"
"42","37000","242","2"
"43","39000","244","2"
"44","41000","246","2"
"45","43000","248","2"
"46","9999999","250","2"
"47","1000","170","3"
"48","3000","175","3"
"49","5000","180","3"
"50","7000","185","3"
"51","9000","190","3"
"52","11000","195","3"
"53","13000","200","3"
"54","15000","205","3"
"55","17000","210","3"
"56","19000","215","3"
"57","21000","220","3"
"58","23000","225","3"
"59","25000","230","3"
"60","27000","232","3"
"61","29000","234","3"
"62","31000","236","3"
"63","33000","238","3"
"64","35000","240","3"
"65","37000","242","3"
"66","39000","244","3"
"67","41000","246","3"
"68","43000","248","3"
"69","9999999","250","3"
