55223aadf77a30a47d1cae6f8ab6fa1781d9d4446e033075262884092c6fd48f,a4cf61e79ee3bd1672935f3942c940f118bfe6c66cecf3a299bb3b71f9ddd355,7d34950438af09ee3c683a0dfc384117450d97786d130123843cd997be96fdc7,4b8d0cca14190f7319047740af360de5fd8198b397111ca196999afba1318cd0,ac19c1f5b39660cdc5846c543c3b5332c40a7ca855f5403345ac8c9815cafb4b
"25011","1000","32000101","2","320001011"
"25012","1000","32000101","2","320001012"
"25013","1000","32000102","2","320001021"
"25014","1000","32000102","2","320001022"
"91002","1000","32000103","8","320001031"
"94002","3000000","32000103","12","320001032"
"25015","1000","32000103","2","320001033"
"25021","1000","32000103","2","320001034"
"25013","1000","32000104","2","320001041"
"25014","1000","32000104","2","320001042"
"25012","1000","32000105","2","320001051"
"25015","1000","32000105","2","320001052"
"91002","1000","32000106","8","320001061"
"94002","3000000","32000106","12","320001062"
"25011","1000","32000106","2","320001063"
"25021","1000","32000106","2","320001064"
"25014","1000","32000107","2","320001071"
"25015","1000","32000107","2","320001072"
"25011","1000","32000108","2","320001081"
"25013","1000","32000108","2","320001082"
"91002","1000","32000109","8","320001091"
"94002","3000000","32000109","12","320001092"
"25012","1000","32000109","2","320001093"
"25021","1000","32000109","2","320001094"
"25011","3000","32000110","2","320001101"
"25012","3000","32000110","2","320001102"
"25013","3000","32000110","2","320001103"
"25014","3000","32000110","2","320001104"
"25015","3000","32000110","2","320001105"
"25011","3000","32000111","2","320001111"
"25012","3000","32000111","2","320001112"
"25013","3000","32000111","2","320001113"
"25014","3000","32000111","2","320001114"
"25015","3000","32000111","2","320001115"
"25011","3000","32000112","2","320001121"
"25012","3000","32000112","2","320001122"
"25013","3000","32000112","2","320001123"
"25014","3000","32000112","2","320001124"
"25015","3000","32000112","2","320001125"
"21953","1","32000113","2","320001131"
"25021","2000","32000113","2","320001132"
