070d77ca86485dd694cda34059726204d13ef7af304d9cffcbf3e9f4391933e1,f4a0e320fe895092eb91212bf7fcc5982a494bb42d49b17613a1718d9ea499fe,4d813cb2358737179ef07e8d8ae6b12cea8a50dac561f81fbd24c2a1012b6828,3ca2601b0d24cd730a6bea78bb97ad87d9f3a35b5a80a2ed14db7537925a6518,c379705ad07592b69346cabc27334a9621202b45994a8712eb5be9c37e51052f,6b792eb310b1503c6ba1a9a5751ccb48fe8e708ae6bbfbe06caf6b0bc430b5af,ed2b1370d68724d48e161b66fcdf91a18b1d8d821afc4291f1f2c69e78cbb2a4,e57ecf3cb011b65688eec0dbc7762b7453c5c7e6907f847948dbad131fe0279e,6a99ad25aee3efc6ac678f624e5a13b443189fa256d02422af85bfc499698d9a,f3a345fbd5dc7a4baad79ea7fa217dca8153979d52391f3b62b9dfad55e7d0e8,a39fe223bcdc8c711111d4cb874a2d9fefcac7ceed5056806b1bf4f65f81a47d,a0b8ee8e69da4683c6058377c5820d1c7f5f720a771114dbe3c1de6080eda2e2,b8be76cb85ddc0b5815f5741b6477c5aa7aa35640393531c3af2034db26d476f,dfbb162a641e84419336d58f672a287c83bf87b4c6eb77dc2a156ea510d39d4b,0dbfa62069df9b112c5e3459665d3c162febf9257116c18d95e7531968525070,09d60833c22d957a37c1f1b6ccd64e42073f2c9114d0bbddceb0ae7e16f00978,114761951ffbb55e3de4dfb2a16cc113c037705258e238b345a8b09d7cf027a2,e47e1546085dc98ce00edab8a33199c682acff57be088f84953a553dcb654ca8
"0","0","0","0","94002","2000","0","0","0","0","5000","12","0","0","0","0","用空花大旋轉飛行共2000ｍ吧","1"
"0","0","0","0","94002","4000","0","0","0","0","10000","12","0","0","0","0","用空花大旋轉飛行共4000ｍ吧","2"
"0","0","0","0","94002","6000","0","0","0","0","15000","12","0","0","0","0","用空花大旋轉飛行共6000ｍ吧","3"
"0","0","0","0","94002","8000","0","0","0","0","20000","12","0","0","0","0","用空花大旋轉飛行共8000ｍ吧","4"
"0","0","0","23001","91002","10000","0","0","0","0","50","8","0","2","0","5","用空花大旋轉飛行共10000ｍ吧","5"
"0","0","0","0","94002","12000","0","0","0","0","25000","12","0","0","0","0","用空花大旋轉飛行共12000ｍ吧","6"
"0","0","0","0","94002","14000","0","0","0","0","30000","12","0","0","0","0","用空花大旋轉飛行共14000ｍ吧","7"
"0","0","0","0","94002","16000","0","0","0","0","35000","12","0","0","0","0","用空花大旋轉飛行共16000ｍ吧","8"
"0","0","0","0","94002","18000","0","0","0","0","40000","12","0","0","0","0","用空花大旋轉飛行共18000ｍ吧","9"
"0","0","0","23001","91002","20000","0","0","0","0","50","8","0","2","0","5","用空花大旋轉飛行共20000ｍ吧","10"
"0","0","0","0","94002","22000","0","0","0","0","55000","12","0","0","0","0","用空花大旋轉飛行共22000ｍ吧","11"
"0","0","0","0","94002","24000","0","0","0","0","35000","12","0","0","0","0","用空花大旋轉飛行共24000ｍ吧","12"
"0","0","0","0","94002","26000","0","0","0","0","40000","12","0","0","0","0","用空花大旋轉飛行共26000ｍ吧","13"
"0","0","0","0","94002","28000","0","0","0","0","45000","12","0","0","0","0","用空花大旋轉飛行共28000ｍ吧","14"
"0","0","0","91002","1405","30000","23001","0","0","10","1","7","0","8","2","150","用空花大旋轉飛行共30000ｍ吧","15"
