c46cdea8af9497ccbe13211132b7a6ca312f16e5c02d6a8c146b137b3f4cfff1,138555edd733b95a0eccdb59fed030393e87fb638f5ed0499203ca681b7deb82,7ace43fe4b6abed8a79ed0e14fbe15d07ec153a52e2cf0586ee6a5a08a51c9fd,74796f67612697fdf4163a422f53c16dd869c3e8c8cea8d4b24a9c4fe8170e95,d014ad678510b41081b59368af92e0388aec4f6ba5657e6037699110615d2bf2,2ef95b12aafe39daa1c0389b9d027161b9c2ec8418d5fc35bc4ca6b491a539e8,af99043b00181dc03fd0e30db14c48da169af566421e40fd4192aa4b149415cc,16e0605f087fd371edb853b8dd6e3c3c7b30d8ddc91032944e6cc71f1b59de17,2a1b8149966eef769aa08c53fe25de10229e0bb9bcae966be69def1c4578d9fb,d1d324c7ed304b0a3cbb8a9e4e3e3cfd08255a959d77899c7ffe3dd811b2c40a,819994e3d696ccd6a59403bd2851d91cbf31af12f2109cd173d8c622ee9c67c2,6288983093000f2fce6250cd45d7d3c245371eecba9eff16e8dce3787a2da9dc,83b6ba257dce9837eebb9547c0ed9c2842e2680dfb86401d52f913602e49bbca,81860d37207f1a62086f7a103122bb13e2b44aa906b54b174ef48a88980a2ab8,6d75d7318d81f92f198dd7e4a8e2380dea07dda20793a9ae2c58e29d92b447ff,48515f761b61490b41882ba82244b00a7115b24ad803c9a892f3adc920c70eb1,e5ffd6fafc0ebf300ec82489fa6a7fd898b5cbc6054608392c4be616c93ec162,683c008c0b5504016049ba9e7700a3ae7c8b3d546c1b3d8873f6fffa059f254d
"2","1","150003","8","12","91002","30","20004","90005","300000","94002","3","8","3","2","100","4","1001"
"4","2","150004","8","12","91002","30","140001","90005","400000","94002","3","60","3","2","150","4","1001"
"2","3","150005","8","12","91002","30","20004","90005","500000","94002","3","10","3","2","150","4","1001"
"4","4","150006","8","12","91002","30","140001","90005","750000","94002","3","90","3","2","200","4","1001"
"2","5","150007","8","12","91002","30","21951","90005","1000000","94002","3","1","3","2","200","4","1001"
"2","1","150003","8","12","91002","30","20004","90005","300000","94002","3","8","3","2","100","4","1002"
"4","2","150004","8","12","91002","30","140001","90005","400000","94002","3","60","3","2","150","4","1002"
"2","3","150005","8","12","91002","30","20004","90005","500000","94002","3","10","3","2","150","4","1002"
"4","4","150006","8","12","91002","30","140001","90005","750000","94002","3","90","3","2","200","4","1002"
"2","5","150007","8","12","91002","30","21951","90005","1000000","94002","3","1","3","2","200","4","1002"
"2","1","150003","8","12","91002","100","20004","150004","300000","94002","100","8","3","4","50","4","1003"
"4","2","150005","8","12","91002","50","140001","90005","400000","94002","5","60","3","2","100","4","1003"
"2","3","150006","8","0","91002","50","20004","94002","0","0","500000","10","3","12","100","4","1003"
"4","4","150007","8","12","91002","50","140001","90005","750000","94002","10","90","3","2","150","4","1003"
"2","5","150008","8","0","91002","50","21951","94002","0","0","1000000","1","3","12","150","4","1003"
"2","1","150003","8","12","91002","100","20004","150004","300000","94002","100","8","3","4","50","4","1004"
"4","2","150005","8","12","91002","50","140001","90005","400000","94002","5","60","3","2","100","4","1004"
"2","3","150006","8","0","91002","50","20004","94002","0","0","500000","10","3","12","100","4","1004"
"4","4","150007","8","12","91002","50","140001","90005","750000","94002","10","90","3","2","150","4","1004"
"2","5","150008","8","0","91002","50","21951","94002","0","0","1000000","1","3","12","150","4","1004"
"2","1","150003","8","12","91002","100","20004","150004","300000","94002","100","8","3","4","50","4","1005"
"4","2","150005","8","12","91002","50","140001","90005","400000","94002","5","60","3","2","100","4","1005"
"2","3","150006","8","0","91002","50","20004","94002","0","0","500000","10","3","12","100","4","1005"
"4","4","150007","8","12","91002","50","140001","90005","750000","94002","10","90","3","2","150","4","1005"
"2","5","150008","8","0","91002","50","21951","94002","0","0","1000000","1","3","12","150","4","1005"
"2","1","150004","8","12","91002","100","20004","150005","300000","94002","100","8","3","4","50","4","1006"
"4","2","150006","8","12","91002","50","140001","90005","400000","94002","5","60","3","2","100","4","1006"
"2","3","150007","8","0","91002","50","20004","94002","0","0","500000","10","3","12","100","4","1006"
"4","4","150008","8","12","91002","50","140001","90005","750000","94002","10","90","3","2","150","4","1006"
"2","5","150009","8","0","91002","50","21951","94002","0","0","1000000","1","3","12","150","4","1006"
"4","1","150005","8","12","91002","100","150004","25015","300000","94002","5000","100","3","2","50","4","1007"
"2","2","150006","8","12","91002","50","20004","25013","400000","94002","5000","15","3","2","100","4","1007"
"4","3","150007","8","12","91002","50","140001","25014","500000","94002","5000","150","3","2","100","4","1007"
"2","4","150008","8","12","91002","50","90005","25012","750000","94002","5000","15","3","2","150","4","1007"
"2","5","150009","8","12","91002","50","21953","25011","1000000","94002","5000","1","3","2","150","4","1007"
"4","1","150006","8","12","91002","100","150005","25015","300000","94002","5000","100","3","2","50","4","1008"
"2","2","150007","8","12","91002","50","20004","25013","400000","94002","5000","15","3","2","100","4","1008"
"4","3","150008","8","12","91002","50","140001","25014","500000","94002","5000","150","3","2","100","4","1008"
"2","4","150009","8","12","91002","50","90005","25012","750000","94002","5000","15","3","2","150","4","1008"
"2","5","150010","8","12","91002","50","21953","25011","1000000","94002","5000","1","3","2","150","4","1008"
