a5923585095f5487b08eb5f495e8ff3946733f3606255cea055036b95f4b604b,b032ae6f880940de2205f36782950c4616d7d2b3d83d45661cc033f2b17ed7fd,012815ba62a67f309ffdaecbc73b7ea901ab6269ac0248e9cd6808e98edccddf,7761172c4f8f6206b72c304c46d7b995c4535cf270622a5ad1befe425fd1f68f,542956fb1202f86292abf8bd3a45473b00dfe5dcfaf8ce1d4912a1e483c26e92,e50f9f9a9d3cf7d45b9c2f478eb00fe7670136ae31ad9d6f8e10bca52af73596,15ab128832a826294bdd74cefe2a0dae6b502c8f4d8ef9d31f8d2fe893331c7c,86d42b9c2aad1b23ced4c111f77e3a1bc69a43e938e7bc53c1a4c32e684f8f77,be0ec74603175de4fa41a007ebf3ab9353e28168d1ee571be51ea51a1b0d53eb,39c3365dc5d2de3a8d72d2d591f7f8b2b1123f5890595398c9b9fe657e89f903,032cf0379339ff0cc499e0a2dcbb241702d30bd1bf3b84a9100636bfd3c40812
"0","100","1","0","1.7","mhp_sit_idle","1002011","1","100211","0","1002011001"
"","1","100211","","0.2","","1002011","3","mhp_sit_talk_memory","","1002011002"
"","0","vo_mhp","","","","1002011","21","vo_mhp_0401","0","1002011003"
"0","5","100211","0","0","0","1002011","11","好久沒見到\n深月小姐了，\n我有點期待♪","0","1002011004"
"","","0","","","","1002011","91","","","1002011005"
"","1","100211","","0.2","","1002011","3","mhp_sit_idle_memory","","1002011006"
"0","100","1","0","1.7","mhp_sit_idle","1002012","1","100211","0","1002012001"
"","1","100211","","0.2","","1002012","3","mhp_sit_talk_sad","","1002012002"
"","0","vo_mhp","","","","1002012","21","vo_mhp_0402","0","1002012003"
"0","5","100211","0","0","0","1002012","11","唉……如果是什麼\n不好的病，\n我該怎麼辦……","0","1002012004"
"","","0","","","","1002012","91","","","1002012005"
"","1","100211","","0.2","","1002012","3","mhp_sit_idle_sad","","1002012006"
"0","100","1","0","1.7","mhp_sit_idle","1002013","1","100211","0","1002013001"
"","1","100211","","0.2","","1002013","3","mhp_yui_sit_talk_wish","","1002013002"
"","0","vo_mhp","","","","1002013","21","vo_mhp_0403","0","1002013003"
"0","4","100211","0","0","0","1002013","11","診察結果終於……\n我、我緊張到\n心跳加快了……！","0","1002013004"
"","","0","","","","1002013","91","","","1002013005"
"","1","100211","","0.2","","1002013","3","mhp_sit_idle_sad","","1002013006"
"0","100","1","-240","1.7","mhp_idle_normal","1007401","1","100211","-1000","1007401001"
"1","100","1","-220","1.7","mhp_sit_idle","1007401","1","117531","185","1007401002"
"1","100","1","-200","1.7","mhp_sit_idle","1007401","1","117631","365","1007401003"
"","-240","1","0.85","1","","1007401","31","1","-154","1007401004"
"","-230","23","0.85","0","","1007401","31","123","-18","1007401005"
"0","110","1","-220","1.7","NoItem","1007401","5","11","-200","1007401006"
"0","105","1","-220","1.7","NoItem","1007401","5","12","-200","1007401007"
"1","110","1","-220","1.7","NoItem","1007401","5","21","185","1007401008"
"1","105","1","-220","1.7","NoItem","1007401","5","22","185","1007401009"
"0","1","11","0","0","","1007401","6","1","1","1007401010"
"0","1","12","0","0","","1007401","6","1","1","1007401011"
"0","1","21","0","0","","1007401","6","1","1","1007401012"
"0","1","22","0","0","","1007401","6","1","1","1007401013"
"0","110","1","-220","1.7","NoItem","1007401","5","31","-1000","1007401014"
"","","0","","","","1007401","91","","","1007401015"
"","1","117531","","0.2","","1007401","3","mhp_sit_talk_normal","","1007401016"
"","0","vo_mhp_1007401","","","","1007401","21","vo_mhp_4001","0","1007401017"
"0","7","117531","0","0","0.5","1007401","11","下一位請進～","0","1007401018"
"","","0","","","","1007401","91","","","1007401019"
"","1","117531","","0.2","","1007401","3","mhp_sit_idle","","1007401020"
"","1","100211","","0.2","","1007401","3","mhp_anna_walk_sad","","1007401021"
"","-220","100211","0","","","1007401","2","-200","4","1007401022"
"","1","31","","0.2","","1007401","3","NoItem","","1007401023"
"","-220","31","0","","","1007401","2","-200","4","1007401024"
"","","0","","","","1007401","91","","","1007401025"
"0.2","0","100211","1","0.2","","1007401","3","mhp_sit_in_sad","mhp_sit_idle_sad","1007401026"
"","","1","","","","1007401","93","","","1007401027"
"","1","100211","","0.2","","1007401","3","mhp_sit_talk_sad","","1007401028"
"","0","vo_mhp_1007401","","","","1007401","21","vo_mhp_4002","0","1007401029"
"0","7","100211","0","0","0.5","1007401","11","那、那個……久疏問候，好久不見。","1","1007401030"
"","","0","","","","1007401","91","","","1007401031"
"","1","100211","","0.2","","1007401","3","mhp_sit_idle_sad","","1007401032"
"","1","117531","","0.2","","1007401","3","mhp_sit_talk_normal","","1007401033"
"","0","vo_mhp_1007401","","","","1007401","21","vo_mhp_4003","0","1007401034"
"0","6","117531","0","0","0.5","1007401","11","好久不見，優衣。\n上次見面是在大家\n一起去大江戶町的那時候呢。","1","1007401035"
"","","0","","","","1007401","91","","","1007401036"
"","1","117531","","0.2","","1007401","3","mhp_sit_idle","","1007401037"
"","1","100211","","0.2","","1007401","3","mhp_sit_talk_memory","","1007401038"
"","1","31","","0","","1007401","3","mhp_yui_sit_talk_memory","","1007401039"
"","0","vo_mhp_1007401","","","","1007401","21","vo_mhp_4004","0","1007401040"
"0","3","100211","0","0","1.5","1007401","11","是啊，那時候雖然很辛苦，\n卻過得很開心呢，\n真想再去泡溫泉──\n溫、泉……啊，啊……","1","1007401041"
"","","14","","","","1007401","93","1","","1007401042"
"","1","100211","","0.2","","1007401","3","mhp_yui_hot","","1007401043"
