aedb238d629f64baa0112271ae6789debf1af8bea530f16e56b17fd1290efc4d,9d249e19dcc8bc88fa0ec750fcaee4f60123affabf3e903903ba4ae3fa5fd92e,c45814c0d523fc8b6bb01785cc5379dda1f7ce15f8f579b38d544f7283c79da4,91b9b3130cef46bca4c57149c2962e180bc4d853bf9c1555c6031aba6c31bdfe,a2795a150435a54f5b49030a21d9c7b93556a79826a7d13f59db253be487a6dd
"9105801","31058","10","2","1"
"9102001","31020","10","2","2"
"9100201","31002","10","2","3"
"9105501","31055","10","2","4"
"9101601","31016","10","2","5"
"9112401","31124","10","2","6"
"9104401","31044","10","2","7"
"9102301","31023","10","2","8"
"9105901","31059","10","2","9"
"9104201","31042","10","2","10"
"9104001","31040","10","2","11"
"9102101","31021","10","2","12"
"9106301","31063","10","2","13"
"9106501","31065","10","2","14"
"9100901","31009","10","2","15"
"9101701","31017","10","2","16"
"9105601","31056","10","2","17"
"9105301","31053","10","2","18"
"9102701","31027","10","2","19"
"9110801","31108","10","2","20"
"9104301","31043","10","2","21"
"9112501","31125","10","2","22"
"9100401","31004","10","2","23"
"9103701","31037","10","2","24"
"9106101","31061","10","2","25"
"9101801","31018","10","2","26"
"9101301","31013","10","2","27"
"9101101","31011","10","2","28"
"9100101","31001","10","2","29"
"9103001","31030","10","2","30"
"9106001","31060","10","2","31"
"9101501","31015","10","2","32"
"9105401","31054","10","2","33"
"9110901","31109","10","2","34"
"9101001","31010","10","2","35"
"9106601","31066","10","2","36"
"9102801","31028","10","2","37"
"9100801","31008","10","2","38"
"9104901","31049","10","2","39"
"9104701","31047","10","2","40"
"9101401","31014","10","2","41"
"9109401","31094","10","2","42"
"9103801","31038","10","2","43"
"9104801","31048","10","2","44"
"9104501","31045","10","2","45"
"9100601","31022","10","2","46"
"9100601","31006","10","2","47"
"9100501","31005","10","2","48"
"9112601","31126","10","2","49"
"9109201","31092","10","2","50"
"9102501","31025","10","2","51"
"9103101","31031","10","2","52"
"9101201","31012","10","2","53"
"9102601","31026","10","2","54"
"9105001","31050","10","2","55"
"9100301","31003","10","2","56"
"9100701","31007","10","2","57"
"9102901","31029","10","2","58"
"9103601","31036","10","2","59"
"9109301","31093","10","2","60"
"9107101","31071","10","2","61"
"9111001","31110","10","2","62"
"9104601","31046","10","2","63"
"9103301","31033","10","2","64"
"9105101","31051","10","2","65"
"9105701","31057","10","2","66"
"9103201","31032","10","2","67"
"9105201","31052","10","2","68"
"9103401","31034","10","2","69"
"9107001","31070","10","2","70"
"9105802","31058","10","2","71"
"9102002","31020","10","2","72"
"9100202","31002","10","2","73"
"9105502","31055","10","2","74"
"9101602","31016","10","2","75"
"9104402","31044","10","2","77"
"9102302","31023","10","2","78"
"9105902","31059","10","2","79"
"9104202","31042","10","2","80"
"9104002","31040","10","2","81"
"9102102","31021","10","2","82"
"9106302","31063","10","2","83"
"9106502","31065","10","2","84"
"9100902","31009","10","2","85"
"9101702","31017","10","2","86"
"9105602","31056","10","2","87"
"9106802","31068","10","2","88"
"9105302","31053","10","2","89"
"9102702","31027","10","2","90"
"9110802","31108","10","2","91"
"9104302","31043","10","2","92"
"9100402","31004","10","2","94"
"9103702","31037","10","2","95"
"9106102","31061","10","2","96"
"9101802","31018","10","2","97"
"9101302","31013","10","2","98"
"9101102","31011","10","2","99"
"9100102","31001","10","2","100"
"9103002","31030","10","2","101"
"9106002","31060","10","2","102"
"9101502","31015","10","2","103"
"9105402","31054","10","2","104"
"9110902","31109","10","2","105"
"9118002","31180","10","2","106"
"9101002","31010","10","2","107"
"9106602","31066","10","2","108"
"9102802","31028","10","2","109"
"9100802","31008","10","2","110"
"9104902","31049","10","2","111"
"9104702","31047","10","2","112"
"9101402","31014","10","2","113"
"9109402","31094","10","2","114"
"9103802","31038","10","2","115"
"9104802","31048","10","2","116"
"9104502","31045","10","2","117"
"9100602","31022","10","2","118"
"9100602","31006","10","2","119"
"9100502","31005","10","2","120"
"9109202","31092","10","2","122"
"9102502","31025","10","2","123"
"9103102","31031","10","2","124"
"9101202","31012","10","2","125"
"9102602","31026","10","2","126"
"9105002","31050","10","2","127"
"9100302","31003","10","2","128"
"9100702","31007","10","2","129"
"9102902","31029","10","2","130"
"9103602","31036","10","2","131"
"9109302","31093","10","2","132"
"9107102","31071","10","2","133"
"9111002","31110","10","2","134"
"9104602","31046","10","2","135"
"9103302","31033","10","2","136"
"9105102","31051","10","2","137"
"9105702","31057","10","2","138"
"9103202","31032","10","2","139"
"9105202","31052","10","2","140"
"9103402","31034","10","2","141"
"9107002","31070","10","2","142"
"9105803","31058","10","2","143"
"9102003","31020","10","2","144"
"9100203","31002","10","2","145"
"9105503","31055","10","2","146"
"9101603","31016","10","2","147"
"9106703","31067","10","2","148"
"9104403","31044","10","2","149"
"9102303","31023","10","2","150"
"9105903","31059","10","2","151"
"9104203","31042","10","2","152"
"9104003","31040","10","2","153"
"9102103","31021","10","2","154"
"9106303","31063","10","2","155"
"9106503","31065","10","2","156"
"9100903","31009","10","2","157"
"9101703","31017","10","2","158"
"9105603","31056","10","2","159"
"9106803","31068","10","2","160"
"9105303","31053","10","2","161"
"9102703","31027","10","2","162"
"9110803","31108","10","2","163"
"9104303","31043","10","2","164"
"9100403","31004","10","2","165"
"9103703","31037","10","2","166"
"9106103","31061","10","2","167"
"9101803","31018","10","2","168"
"9101303","31013","10","2","169"
"9101103","31011","10","2","170"
"9100103","31001","10","2","171"
"9103003","31030","10","2","172"
"9106003","31060","10","2","173"
"9101503","31015","10","2","174"
"9105403","31054","10","2","175"
"9118503","31185","10","2","176"
"9110903","31109","10","2","177"
"9118003","31180","10","2","178"
"9101003","31010","10","2","179"
"9106603","31066","10","2","180"
"9102803","31028","10","2","181"
