caaebf773dff5dfb2ba97ae1ddbd6d4072ce9af5cb14ab5798f9db290e3028bd,8050b2c91e53ed47fa0c82678824515224abd0dba878716a81de95ae6a506fa2,a08fe362c67ce6babca6072b06fc5ff06493b9c639d4e33a56ab0bb5733f0b4a
"1","10101","81101"
"2","10101","81102"
"3","10101","81103"
"4","10101","81104"
"5","10101","81105"
"6","10101","81106"
"7","10101","81107"
"8","10101","81108"
"9","10101","81109"
"10","10101","81110"
"1","10102","81201"
"2","10102","81202"
"3","10102","81203"
"4","10102","81204"
"5","10102","81205"
"6","10102","81206"
"7","10102","81207"
"8","10102","81208"
"9","10102","81209"
"10","10102","81210"
"1","10103","81301"
"2","10103","81302"
"3","10103","81303"
"4","10103","81304"
"5","10103","81305"
"6","10103","81306"
"7","10103","81307"
"8","10103","81308"
"9","10103","81309"
"10","10103","81310"
"1","10104","81401"
"2","10104","81402"
"3","10104","81403"
"4","10104","81404"
"5","10104","81405"
"6","10104","81406"
"7","10104","81407"
"8","10104","81408"
"9","10104","81409"
"10","10104","81410"
"1","10201","82101"
"2","10201","82102"
"3","10201","82103"
"4","10201","82104"
"5","10201","82105"
"6","10201","82106"
"7","10201","82107"
"8","10201","82108"
"9","10201","82109"
"10","10201","82110"
"1","10202","82201"
"2","10202","82202"
"3","10202","82203"
"4","10202","82204"
"5","10202","82205"
"6","10202","82206"
"7","10202","82207"
"8","10202","82208"
"9","10202","82209"
"10","10202","82210"
"1","10203","82301"
"2","10203","82302"
"3","10203","82303"
"4","10203","82304"
"5","10203","82305"
"6","10203","82306"
"7","10203","82307"
"8","10203","82308"
"9","10203","82309"
"10","10203","82310"
"1","10204","82401"
"2","10204","82402"
"3","10204","82403"
"4","10204","82404"
"5","10204","82405"
"6","10204","82406"
"7","10204","82407"
"8","10204","82408"
"9","10204","82409"
"10","10204","82410"
"1","10301","83101"
"2","10301","83102"
"3","10301","83103"
"4","10301","83104"
"5","10301","83105"
"6","10301","83106"
"7","10301","83107"
"8","10301","83108"
"9","10301","83109"
"10","10301","83110"
"1","10302","83201"
"2","10302","83202"
"3","10302","83203"
"4","10302","83204"
"5","10302","83205"
"6","10302","83206"
"7","10302","83207"
"8","10302","83208"
"9","10302","83209"
"10","10302","83210"
"1","10303","83301"
"2","10303","83302"
"3","10303","83303"
"4","10303","83304"
"5","10303","83305"
"6","10303","83306"
"7","10303","83307"
"8","10303","83308"
"9","10303","83309"
"10","10303","83310"
"1","10304","83401"
"2","10304","83402"
"3","10304","83403"
"4","10304","83404"
"5","10304","83405"
"6","10304","83406"
"7","10304","83407"
"8","10304","83408"
"9","10304","83409"
"10","10304","83410"
"1","10401","84101"
"2","10401","84102"
"3","10401","84103"
"4","10401","84104"
"5","10401","84105"
"6","10401","84106"
"7","10401","84107"
"8","10401","84108"
"9","10401","84109"
"10","10401","84110"
"1","10402","84201"
"2","10402","84202"
"3","10402","84203"
"4","10402","84204"
"5","10402","84205"
"6","10402","84206"
"7","10402","84207"
"8","10402","84208"
"9","10402","84209"
"10","10402","84210"
"1","10403","84301"
"2","10403","84302"
"3","10403","84303"
"4","10403","84304"
"5","10403","84305"
"6","10403","84306"
"7","10403","84307"
"8","10403","84308"
"9","10403","84309"
"10","10403","84310"
"1","10404","84401"
"2","10404","84402"
"3","10404","84403"
"4","10404","84404"
"5","10404","84405"
"6","10404","84406"
"7","10404","84407"
"8","10404","84408"
"9","10404","84409"
"10","10404","84410"
"1","10501","85101"
"2","10501","85102"
"3","10501","85103"
"4","10501","85104"
"5","10501","85105"
"6","10501","85106"
"7","10501","85107"
"8","10501","85108"
"9","10501","85109"
"10","10501","85110"
"1","10502","85201"
"2","10502","85202"
"3","10502","85203"
"4","10502","85204"
"5","10502","85205"
"6","10502","85206"
"7","10502","85207"
"8","10502","85208"
"9","10502","85209"
"10","10502","85210"
"1","10503","85301"
"2","10503","85302"
"3","10503","85303"
"4","10503","85304"
"5","10503","85305"
"6","10503","85306"
"7","10503","85307"
"8","10503","85308"
"9","10503","85309"
"10","10503","85310"
"1","10504","85401"
"2","10504","85402"
"3","10504","85403"
"4","10504","85404"
"5","10504","85405"
"6","10504","85406"
"7","10504","85407"
"8","10504","85408"
"9","10504","85409"
"10","10504","85410"
"1","10601","86101"
"2","10601","86102"
"3","10601","86103"
"4","10601","86104"
"5","10601","86105"
"6","10601","86106"
"7","10601","86107"
"8","10601","86108"
"9","10601","86109"
"10","10601","86110"
"1","10602","86201"
"2","10602","86202"
"3","10602","86203"
"4","10602","86204"
"5","10602","86205"
"6","10602","86206"
"7","10602","86207"
"8","10602","86208"
"9","10602","86209"
"10","10602","86210"
"1","10603","86301"
"2","10603","86302"
"3","10603","86303"
"4","10603","86304"
"5","10603","86305"
"6","10603","86306"
"7","10603","86307"
"8","10603","86308"
"9","10603","86309"
"10","10603","86310"
"1","10604","86401"
"2","10604","86402"
"3","10604","86403"
"4","10604","86404"
"5","10604","86405"
"6","10604","86406"
"7","10604","86407"
"8","10604","86408"
"9","10604","86409"
"10","10604","86410"
"1","10701","87101"
"2","10701","87102"
"3","10701","87103"
"4","10701","87104"
"5","10701","87105"
"6","10701","87106"
"7","10701","87107"
"8","10701","87108"
"9","10701","87109"
"10","10701","87110"
"1","10702","87201"
"2","10702","87202"
"3","10702","87203"
"4","10702","87204"
"5","10702","87205"
"6","10702","87206"
"7","10702","87207"
"8","10702","87208"
"9","10702","87209"
"10","10702","87210"
"1","10703","87301"
"2","10703","87302"
"3","10703","87303"
"4","10703","87304"
"5","10703","87305"
"6","10703","87306"
"7","10703","87307"
"8","10703","87308"
"9","10703","87309"
"10","10703","87310"
"1","10704","87401"
"2","10704","87402"
"3","10704","87403"
"4","10704","87404"
"5","10704","87405"
"6","10704","87406"
"7","10704","87407"
"8","10704","87408"
"9","10704","87409"
"10","10704","87410"
"1","10801","88101"
"2","10801","88102"
"3","10801","88103"
"4","10801","88104"
"5","10801","88105"
"6","10801","88106"
"7","10801","88107"
"8","10801","88108"
"9","10801","88109"
"10","10801","88110"
"1","10802","88201"
"2","10802","88202"
"3","10802","88203"
"4","10802","88204"
"5","10802","88205"
"6","10802","88206"
"7","10802","88207"
"8","10802","88208"
"9","10802","88209"
"10","10802","88210"
"1","10803","88301"
"2","10803","88302"
"3","10803","88303"
"4","10803","88304"
"5","10803","88305"
"6","10803","88306"
"7","10803","88307"
"8","10803","88308"
"9","10803","88309"
"10","10803","88310"
"1","10804","88401"
"2","10804","88402"
"3","10804","88403"
"4","10804","88404"
"5","10804","88405"
"6","10804","88406"
"7","10804","88407"
"8","10804","88408"
"9","10804","88409"
"10","10804","88410"
"1","99999","80001"
"2","99999","80002"
"3","99999","80003"
"4","99999","80004"
"5","99999","80005"
"6","99999","80006"
"7","99999","80007"
"8","99999","80008"
"9","99999","80009"
"10","99999","80010"
