fa5783f0af79df614f387514f6efcbe139acd129c5a61bf8c655538ac483cf99,7f2d06d403eada7d6f9a544d01e53981beb141e584956469d5711f83873cc001,df936c920bb5bc7f09a5315d762819e4afc99c0b00731e41bc705c2afe29ee1d,05189bd73d8a1126a3a77f85c0b49cddc7ac994354326136600ae8239211ea29,081c078c83fbfeb53002e3974fdd33e98ca78d0079ebc665a83b7d585a4fd448,7cc1b2beb2a08299a1b9109f85bbc79b5c802da7ff6e051ba25adce8da33d08b,c33f22500ba6e66c9b84f54405dc1190542b0da7df111983e154aff0299612ac,8132ba35061fc2333bc1039368c5d4ad1d805a6c0eda88985f8a4c3c20a71506,29c8ea95628f861cce9ae4a556988775789e489d5e3274c97d7a8f1d2dca5ea7,d6968cfcf27a5ce78caac9e84acb271b403e1aef758d94bfbbfd583b9eed0081
"1","0","1","10000","90043","30000","0","10","90001","12000"
"2","0","2","10000","90047","30000","0","20","90002","24000"
"3","0","3","10000","90047","30000","0","20","90002","24000"
"4","0","4","10000","90047","30000","0","20","90002","24000"
"5","0","5","10000","90047","30000","0","20","90002","24000"
"6","0","6","10000","90047","30000","0","20","90002","24000"
"7","0","7","10000","90047","30000","0","20","90002","24000"
"8","0","8","10000","90047","30000","0","20","90002","24000"
"9","0","9","10000","90047","30000","0","20","90002","24000"
"10","0","10","10000","90047","30000","1","20","90002","24000"
"11","90011","11","10000","90051","30000","2","40","90003","48000"
"12","90011","12","10000","90051","30000","3","40","90003","48000"
"13","90011","13","10000","90051","30000","4","40","90003","48000"
"14","90011","14","10000","90051","30000","5","40","90003","48000"
"15","90011","15","10000","90051","30000","6","40","90003","48000"
"16","90011","16","10000","90051","30000","7","40","90003","48000"
"17","90011","17","10000","90051","30000","8","40","90003","48000"
"18","90011","18","10000","90051","30000","9","40","90003","48000"
"19","90011","19","10000","90051","30000","10","40","90003","48000"
"20","90011","20","10000","90051","30000","11","40","90003","48000"
"21","90015","21","10000","90055","30000","12","60","90004","72000"
"22","90015","22","10000","90055","30000","13","60","90004","72000"
"23","90015","23","10000","90055","30000","14","60","90004","72000"
"24","90015","24","10000","90055","30000","15","60","90004","72000"
"25","90015","25","10000","90055","30000","16","60","90004","72000"
"26","90015","26","10000","90055","30000","17","60","90004","72000"
"27","90015","27","10000","90055","30000","18","60","90004","72000"
"28","90015","28","10000","90055","30000","19","60","90004","72000"
"29","90015","29","10000","90055","30000","20","60","90004","72000"
"30","90015","30","10000","90055","30000","21","60","90004","72000"
"31","90015","31","10000","90059","30000","22","80","90005","96000"
"32","90015","32","10000","90059","30000","23","80","90005","96000"
"33","90015","33","10000","90059","30000","24","80","90005","96000"
"34","90015","34","10000","90059","30000","25","80","90005","96000"
"35","90015","35","10000","90059","30000","26","80","90005","96000"
"36","90015","36","10000","90059","30000","27","80","90005","96000"
"37","90015","37","10000","90059","30000","28","80","90005","96000"
"38","90015","38","10000","90059","30000","29","80","90005","96000"
"39","90015","39","10000","90059","30000","30","80","90005","96000"
"40","90015","40","10000","90059","30000","31","80","90005","96000"
"41","90017","41","10000","90063","30000","33","120","90005","144000"
"42","90017","42","10000","90063","30000","35","120","90005","144000"
"43","90017","43","10000","90063","30000","37","120","90005","144000"
"44","90017","44","10000","90063","30000","39","120","90005","144000"
"45","90017","45","10000","90063","30000","41","120","90005","144000"
"46","90017","46","10000","90063","30000","43","120","90005","144000"
"47","90017","47","10000","90063","30000","45","120","90005","144000"
"48","90017","48","10000","90063","30000","47","120","90005","144000"
"49","90017","49","10000","90063","30000","49","120","90005","144000"
"50","90017","50","10000","90063","30000","51","120","90005","144000"
"51","90019","51","10000","90067","30000","53","150","90006","180000"
"52","90019","52","10000","90067","30000","55","150","90006","180000"
"53","90019","53","10000","90067","30000","57","150","90006","180000"
"54","90019","54","10000","90067","30000","59","150","90006","180000"
"55","90019","55","10000","90067","30000","61","150","90006","180000"
"56","90019","56","10000","90067","30000","63","150","90006","180000"
"57","90019","57","10000","90067","30000","65","150","90006","180000"
"58","90019","58","10000","90067","30000","67","150","90006","180000"
"59","90019","59","10000","90067","30000","69","150","90006","180000"
"60","90019","60","10000","90067","30000","71","150","90006","180000"
"61","90021","61","10000","90071","30000","74","180","90007","216000"
"62","90021","62","10000","90071","30000","77","180","90007","216000"
"63","90021","63","10000","90071","30000","80","180","90007","216000"
"64","90021","64","10000","90071","30000","83","180","90007","216000"
"65","90021","65","10000","90071","30000","86","180","90007","216000"
"66","90021","66","10000","90071","30000","89","180","90007","216000"
"67","90021","67","10000","90071","30000","92","180","90007","216000"
"68","90021","68","10000","90071","30000","95","180","90007","216000"
"69","90021","69","10000","90071","30000","98","180","90007","216000"
"70","90021","70","10000","90071","30000","101","180","90007","216000"
