630a8187ec2a397e885c3958acb1042698441ce5676a1814c5b0b2730360ed0c,235c280cbdce64629c7029dc9a6c71216c74d7cd717aa62f840c9fde766e40d5,ab47d6e5a962ffe8370529622347fb0a6a2cd94c03afef3fa9f3aa2918149246,6eebab596afb4d6345410c3538951410a80ba34161ae1cb20ccffb87a9a00b36,cc062fa79b519e61da789223f9c9caca252dc9d403464c340197d7771c495451,88045f53fe84908a616950355a0edade98c8f725819891f93cc52461440a7b2e,5f3743b65adde7defbe1f7f7e6dfb39b471533cff29d936a9b79eb337a41dc58,ee05b3b79279e419c124ab759000359255699a0dc7f3854bc4c2a22305d05d7b,82cb165f7ab552a03275e8c8d75edb465c7454f87ebaee7802025ebe40d2539e,ca0164767276731ea727f8010a82648db7c2542b10dcdf7246a268a6eca250db,ffb37de677958a4b6474ab1332dd13b2dc7b1d673f459e7e0a3369b3c2b98ab8
"","0","111","101110001","","","se_travel","","se_travel_start_1pt","","23"
"1","0","111","101110002","1","0","10010","","10010","","31"
"1","0","111","101110003","1","0","10011","","10011","","31"
"1","0","111","101110004","0","0","10020","","10020","","31"
"-150","62","111","101110005","0.68","-150","2","<weapon>_idle","1001001","0","1"
"-75","61","111","101110006","0.68","-250","2","<weapon>_idle","1001002","0","1"
"-180","63","111","101110007","0.68","-350","2","<weapon>_idle","1001003","0","1"
"-75","61","111","101110008","0.68","-450","2","<weapon>_idle","1001004","0","1"
"-150","62","111","101110009","0.68","-550","2","<weapon>_idle","1001005","0","1"
"0.68","-150","111","101110010","1","-150","10012","","1001001","0","31"
"0.68","-250","111","101110011","1","-75","10012","","1001002","0","31"
"0.68","-350","111","101110012","1","-180","10012","","1001003","0","31"
"0.68","-450","111","101110013","1","-75","10012","","1001004","0","31"
"0.68","-550","111","101110014","1","-150","10012","","1001005","0","31"
"1","0","111","101110015","0","0","10030","","10030","","31"
"1","0","111","101110016","0","0","10031","","10031","","31"
"","","111","101110017","","","","","0","","91"
"","","111","101110018","","","10030","","1","","32"
"","","111","101110019","","","0","","0","","91"
"0","1","111","101110020","0","","1001001","","<weapon>_run","","3"
"0","1","111","101110021","0","","1001002","","<weapon>_run","","3"
"0","1","111","101110022","0","","1001003","","<weapon>_run","","3"
"0","1","111","101110023","0","","1001004","","<weapon>_run","","3"
"0","1","111","101110024","0","","1001005","","<weapon>_run","","3"
"0","-150","111","101110025","","3","1001001","","800","","2"
"0","-75","111","101110026","","3","1001002","","700","","2"
"0","-180","111","101110027","","3","1001003","","600","","2"
"0","-75","111","101110028","","3","1001004","","500","","2"
"0","-150","111","101110029","","3","1001005","","400","","2"
"0","-150","111","101110030","","3","1001001","","800","","33"
"0","-75","111","101110031","","3","1001002","","700","","33"
"0","-180","111","101110032","","3","1001003","","600","","33"
"0","-75","111","101110033","","3","1001004","","500","","33"
"0","-150","111","101110034","","3","1001005","","400","","33"
"","","111","101110035","","","10020","","1","","32"
"","","111","101110036","","","2.5","","0","","93"
"","","111","101110037","","","10031","","1","","32"
"","","111","101110038","","","0.4","","0","","93"
"","","111","101110039","","","0","","0","","91"
"","0","211","102110001","","","se_travel","","se_travel_start_2pt","","23"
"1","0","211","102110002","1","0","10010","","10010","","31"
"1","0","211","102110003","1","0","10011","","10011","","31"
"1","0","211","102110004","0","0","10020","","10020","","31"
"-90","62","211","102110005","0.68","-100","2","<weapon>_idle","1001001","0","1"
"-15","61","211","102110006","0.68","-170","2","<weapon>_idle","1001002","0","1"
"-105","63","211","102110007","0.68","-240","2","<weapon>_idle","1001003","0","1"
"-15","61","211","102110008","0.68","-310","2","<weapon>_idle","1001004","0","1"
"-90","62","211","102110009","0.68","-380","2","<weapon>_idle","1001005","0","1"
"0.68","-100","211","102110010","1","-90","10012","","1001001","0","31"
"0.68","-170","211","102110011","1","-15","10012","","1001002","0","31"
"0.68","-240","211","102110012","1","-105","10012","","1001003","0","31"
"0.68","-310","211","102110013","1","-15","10012","","1001004","0","31"
"0.68","-380","211","102110014","1","-90","10012","","1001005","0","31"
"-240","52","211","102110015","0.68","-500","2","<weapon>_idle","1002001","0","1"
"-165","51","211","102110016","0.68","-570","2","<weapon>_idle","1002002","0","1"
"-255","53","211","102110017","0.68","-640","2","<weapon>_idle","1002003","0","1"
"-165","51","211","102110018","0.68","-710","2","<weapon>_idle","1002004","0","1"
"-240","52","211","102110019","0.68","-780","2","<weapon>_idle","1002005","0","1"
"0.68","-500","211","102110020","1","-240","10012","","1002001","0","31"
"0.68","-570","211","102110021","1","-165","10012","","1002002","0","31"
"0.68","-640","211","102110022","1","-255","10012","","1002003","0","31"
"0.68","-710","211","102110023","1","-165","10012","","1002004","0","31"
"0.68","-780","211","102110024","1","-240","10012","","1002005","0","31"
"1","0","211","102110025","0","0","10030","","10030","","31"
"1","0","211","102110026","0","0","10031","","10031","","31"
"","","211","102110027","","","","","0","","91"
"","","211","102110028","","","10030","","1","","32"
"","","211","102110029","","","0","","0","","91"
"0","1","211","102110030","0","","1001001","","<weapon>_run","","3"
"0","1","211","102110031","0","","1001002","","<weapon>_run","","3"
"0","1","211","102110032","0","","1001003","","<weapon>_run","","3"
"0","1","211","102110033","0","","1001004","","<weapon>_run","","3"
"0","1","211","102110034","0","","1001005","","<weapon>_run","","3"
"0","-90","211","102110035","","3","1001001","","850","","2"
"0","-15","211","102110036","","3","1001002","","780","","2"
"0","-105","211","102110037","","3","1001003","","710","","2"
"0","-15","211","102110038","","3","1001004","","640","","2"
"0","-90","211","102110039","","3","1001005","","570","","2"
"0","-90","211","102110040","","3","1001001","","850","","33"
"0","-15","211","102110041","","3","1001002","","780","","33"
"0","-105","211","102110042","","3","1001003","","710","","33"
"0","-15","211","102110043","","3","1001004","","640","","33"
"0","-90","211","102110044","","3","1001005","","570","","33"
"0","1","211","102110045","0","","1002001","","<weapon>_run","","3"
"0","1","211","102110046","0","","1002002","","<weapon>_run","","3"
"0","1","211","102110047","0","","1002003","","<weapon>_run","","3"
"0","1","211","102110048","0","","1002004","","<weapon>_run","","3"
"0","1","211","102110049","0","","1002005","","<weapon>_run","","3"
"0","-240","211","102110050","","3","1002001","","450","","2"
"0","-165","211","102110051","","3","1002002","","380","","2"
"0","-255","211","102110052","","3","1002003","","310","","2"
"0","-165","211","102110053","","3","1002004","","240","","2"
"0","-240","211","102110054","","3","1002005","","170","","2"
"0","-240","211","102110055","","3","1002001","","450","","33"
"0","-165","211","102110056","","3","1002002","","380","","33"
"0","-255","211","102110057","","3","1002003","","310","","33"
"0","-165","211","102110058","","3","1002004","","240","","33"
"0","-240","211","102110059","","3","1002005","","170","","33"
"","","211","102110060","","","10020","","1","","32"
"","","211","102110061","","","2.5","","0","","93"
"","","211","102110062","","","10031","","1","","32"
"","","211","102110063","","","0.4","","0","","93"
"","","211","102110064","","","0","","0","","91"
"","0","311","103110001","","","se_travel","","se_travel_start_3pt","","23"
"1","0","311","103110002","1","0","10010","","10010","","31"
"1","0","311","103110003","1","0","10011","","10011","","31"
"1","0","311","103110004","0","0","10020","","10020","","31"
"-240","62","311","103110005","0.68","0","2","<weapon>_idle","1001001","0","1"
"-165","61","311","103110006","0.68","-70","2","<weapon>_idle","1001002","0","1"
"-255","63","311","103110007","0.68","-140","2","<weapon>_idle","1001003","0","1"
"-165","61","311","103110008","0.68","-210","2","<weapon>_idle","1001004","0","1"
"-240","62","311","103110009","0.68","-280","2","<weapon>_idle","1001005","0","1"
"0.68","0","311","103110010","1","-240","10012","","1001001","0","31"
"0.68","-70","311","103110011","1","-165","10012","","1001002","0","31"
"0.68","-140","311","103110012","1","-255","10012","","1001003","0","31"
"0.68","-210","311","103110013","1","-165","10012","","1001004","0","31"
"0.68","-280","311","103110014","1","-240","10012","","1001005","0","31"
"-60","52","311","103110015","0.68","-250","2","<weapon>_idle","1002001","0","1"
"15","51","311","103110016","0.68","-320","2","<weapon>_idle","1002002","0","1"
"-75","53","311","103110017","0.68","-390","2","<weapon>_idle","1002003","0","1"
"15","51","311","103110018","0.68","-460","2","<weapon>_idle","1002004","0","1"
"-60","52","311","103110019","0.68","-530","2","<weapon>_idle","1002005","0","1"
"0.68","-250","311","103110020","1","-60","10012","","1002001","0","31"
"0.68","-320","311","103110021","1","15","10012","","1002002","0","31"
"0.68","-390","311","103110022","1","-75","10012","","1002003","0","31"
"0.68","-460","311","103110023","1","15","10012","","1002004","0","31"
"0.68","-530","311","103110024","1","-60","10012","","1002005","0","31"
"-250","62","311","103110025","0.68","-500","2","<weapon>_idle","1003001","0","1"
"-175","61","311","103110026","0.68","-570","2","<weapon>_idle","1003002","0","1"
"-265","63","311","103110027","0.68","-640","2","<weapon>_idle","1003003","0","1"
"-175","61","311","103110028","0.68","-710","2","<weapon>_idle","1003004","0","1"
"-250","62","311","103110029","0.68","-780","2","<weapon>_idle","1003005","0","1"
"0.68","-500","311","103110030","1","-250","10012","","1003001","0","31"
"0.68","-570","311","103110031","1","-175","10012","","1003002","0","31"
"0.68","-640","311","103110032","1","-265","10012","","1003003","0","31"
"0.68","-710","311","103110033","1","-175","10012","","1003004","0","31"
"0.68","-780","311","103110034","1","-250","10012","","1003005","0","31"
"1","0","311","103110035","0","0","10030","","10030","","31"
"1","0","311","103110036","0","0","10031","","10031","","31"
"","","311","103110037","","","","","0","","91"
"","","311","103110038","","","10030","","1","","32"
"","","311","103110039","","","0","","0","","91"
"0","1","311","103110040","0","","1001001","","<weapon>_run","","3"
"0","1","311","103110041","0","","1001002","","<weapon>_run","","3"
"0","1","311","103110042","0","","1001003","","<weapon>_run","","3"
"0","1","311","103110043","0","","1001004","","<weapon>_run","","3"
"0","1","311","103110044","0","","1001005","","<weapon>_run","","3"
"0","-240","311","103110045","","3","1001001","","950","","2"
"0","-165","311","103110046","","3","1001002","","880","","2"
"0","-255","311","103110047","","3","1001003","","810","","2"
"0","-165","311","103110048","","3","1001004","","740","","2"
"0","-240","311","103110049","","3","1001005","","670","","2"
"0","-240","311","103110050","","3","1001001","","950","","33"
"0","-165","311","103110051","","3","1001002","","880","","33"
"0","-255","311","103110052","","3","1001003","","810","","33"
"0","-165","311","103110053","","3","1001004","","740","","33"
"0","-240","311","103110054","","3","1001005","","670","","33"
"0","1","311","103110055","0","","1002001","","<weapon>_run","","3"
"0","1","311","103110056","0","","1002002","","<weapon>_run","","3"
"0","1","311","103110057","0","","1002003","","<weapon>_run","","3"
"0","1","311","103110058","0","","1002004","","<weapon>_run","","3"
"0","1","311","103110059","0","","1002005","","<weapon>_run","","3"
"0","-60","311","103110060","","3","1002001","","700","","2"
"0","15","311","103110061","","3","1002002","","630","","2"
"0","-75","311","103110062","","3","1002003","","560","","2"
"0","15","311","103110063","","3","1002004","","490","","2"
"0","-60","311","103110064","","3","1002005","","420","","2"
"0","-60","311","103110065","","3","1002001","","700","","33"
"0","15","311","103110066","","3","1002002","","630","","33"
"0","-75","311","103110067","","3","1002003","","560","","33"
"0","15","311","103110068","","3","1002004","","490","","33"
"0","-60","311","103110069","","3","1002005","","420","","33"
"0","1","311","103110070","0","","1003001","","<weapon>_run","","3"
"0","1","311","103110071","0","","1003002","","<weapon>_run","","3"
"0","1","311","103110072","0","","1003003","","<weapon>_run","","3"
"0","1","311","103110073","0","","1003004","","<weapon>_run","","3"
"0","1","311","103110074","0","","1003005","","<weapon>_run","","3"
"0","-250","311","103110075","","3","1003001","","450","","2"
"0","-175","311","103110076","","3","1003002","","380","","2"
"0","-265","311","103110077","","3","1003003","","310","","2"
"0","-175","311","103110078","","3","1003004","","240","","2"
"0","-250","311","103110079","","3","1003005","","170","","2"
"0","-250","311","103110080","","3","1003001","","450","","33"
"0","-175","311","103110081","","3","1003002","","380","","33"
"0","-265","311","103110082","","3","1003003","","310","","33"
"0","-175","311","103110083","","3","1003004","","240","","33"
"0","-250","311","103110084","","3","1003005","","170","","33"
"","","311","103110085","","","10020","","1","","32"
"","","311","103110086","","","2.5","","0","","93"
"","","311","103110087","","","10031","","1","","32"
"","","311","103110088","","","0.4","","0","","93"
"","","311","103110089","","","0","","0","","91"
