712c4e8e38b6e373b4426269d35c58ea56bbd1c468d169b6e06c96a76c07660b,4e723f7d6a84a1d4d01a60f17d9fd47f71965bf122fcf34b9dd0175d219fb0fe,558de368a53e30765b0d5795a9d78de37ac6e916c06ecacf1bb88fb9803e1966,519c6b165c197bb2fcc1ef03bc55dad14264fd3939ee4ba42374ef85e11b5f7f,749978cbe7fd9cae2e7bb5224399dbd3861318a2c24a4bb68323a836ff1e1e57,46cd39d0bccb3cecebae5383934a630d9cff6bec6587d06f6bf22556f80dfe90
"0","1","1101","1","20025","0"
"0","1","1102","1","20025","0"
"1","1","1103","0","20025","5042002"
"0","1","1104","1","20025","0"
"1","1","1105","0","20025","5042003"
"0","1","1106","1","20025","0"
"2","1","1107","0","20025","5042005"
"1","2","1201","0","20025","5042007"
"2","2","1202","0","20025","5042007"
"0","2","1203","1","20025","0"
"0","2","1204","1","20025","0"
"0","1","1301","0","20025","0"
