feafb5803a7f1a6a29e2f42af9e54baf9a4a2a5b3afe7cb09dbcf3ee28c9b2c4,fc9e538d2288e53d0898e5d2799be2e81baa6160a67d529b6e01072716d4b47d,4071704bec5534fd468618824d802362c66cf0e185b07acf787c34a856bcf3fb,fa4ee9ba02ce1f2b9ec0c3a5156d49b11273674264e1b763e5ad9e40f1f6a5db,fe17df7903d3b1eb0d6218f2841e1b6f12db023137f36d0c055ae2b5e6552fa1,2866a71343af24e4396f1affa4f8eb29633598ff5395c3c425b2b3cf53350057,c5f7ae177431102bfa127a77692bd1600c02c9c87f9d944885589f4aa4ca94e2,54b444ed8296d3c17974f994c1d3b0e9bc2605dfad552257f0c43d3576bd06f6,0ddf742997b78e724e767332407b8f6ba22695734530e0d2e7b53e7c7d0003f6,8857e08b8854df908981ea8fe7f443738517920af13f1bba8e87e452f640056a,166c488458d04dcb7c183f0168f8a09b53fda1ac96944fa761ec1107c6177645,531655f1eee910ec6fa89e86c2ad779958acaae14edb35aa96431746ee60d2a8,b1cc218165c824ba0886ad4bdeb18d37e8e38c4c7c31451515d35667c22e483b,958f5894545e324269436d3447987adfd95a8cc93939cdd4fdaab72fef81c912,762db9ae601db9387ac74f725820c79b6fdb7bd1f3fb7deeb611b00a874b33ab,88c1b49381c44032ee2a70a62c208be55ee243af461f48ce01afb9ec67e8f194,0360cee284dd9982bc33c2744feae64794234bae9248ca02d56275c9eb7451fb,c79588f665d2ff3bfd96ada83eca2b28fbaae54eacb9c4667dcbaad0e35b6b4f
"5000","94002","0","0","0","0","分數累積獲得 20000 分","0","0","0","20000","0","0","0","0","1","0","12"
"10000","94002","0","0","0","0","分數累積獲得 40000 分","0","0","0","40000","0","0","0","0","2","0","12"
"15000","94002","0","0","0","0","分數累積獲得 60000 分","0","0","0","60000","0","0","0","0","3","0","12"
"20000","94002","0","0","0","0","分數累積獲得 80000 分","0","0","0","80000","0","0","0","0","4","0","12"
"50","91002","5","0","0","0","分數累積獲得 100000 分","0","0","0","100000","0","0","2","0","5","23001","8"
"25000","94002","0","0","0","0","分數累積獲得 120000 分","0","0","0","120000","0","0","0","0","6","0","12"
"30000","94002","0","0","0","0","分數累積獲得 140000 分","0","0","0","140000","0","0","0","0","7","0","12"
"35000","94002","0","0","0","0","分數累積獲得 160000 分","0","0","0","160000","0","0","0","0","8","0","12"
"40000","94002","0","0","0","0","分數累積獲得 180000 分","0","0","0","180000","0","0","0","0","9","0","12"
"50","91002","5","0","0","0","分數累積獲得 200000 分","0","0","0","200000","0","0","2","0","10","23001","8"
"55000","94002","0","0","0","0","分數累積獲得 220000 分","0","0","0","220000","0","0","0","0","11","0","12"
"35000","94002","0","0","0","0","分數累積獲得 240000 分","0","0","0","240000","0","0","0","0","12","0","12"
"40000","94002","0","0","0","0","分數累積獲得 260000 分","0","0","0","260000","0","0","0","0","13","0","12"
"45000","94002","0","0","0","0","分數累積獲得 280000 分","0","0","0","280000","0","0","0","0","14","0","12"
"1","11001039","150","0","23001","10","分數累積獲得 300000 分","0","0","2","300000","0","0","8","0","15","91002","15"
