50c1b43b999c25913f5817871f2d6eec0a3c9a91127b4f0ba3fcb3651421bb87,b2120a0bdc048f33bf0671de95b007d9cedd607af20fad87fbda0837796f2bf8,f873de2b7dee145f2ef729632ae304163e83c31d3f33572b5192a535e8f3cb9f,b99095c92a8120884e7da41f7cf9893a12093a00b7a1d851a51a750b631c0b89,85b804d8da6105c6d591b4daa98fe52de906afeac57da23aba49f5e2a06ebd1a,5890a84c0cf8d01acd78efd0718f0ac8bd0100eec894de4ccb814115a343bd2d,b196638b308ef9d0ecb176cae8407adf09d01c964926616fe01eef72ec1ff18c,39f37c610eb5be44b1df83ef8f3bc58f6ad4b85e3df603e808cd4a3f58ac25f1,da55ba4adbfc15784d1f961b5808c99a49e53e717df67da6796c32c6c19471fb,9d93e3c897fc4e5ab2a51ba0ed8411834bb524ecf289c255a433cf3bb453d032,37d9045dcbe142940bc87546996fd03ed2272e39f92f871046d60fef310d562f
"1","380000","380000","30001","0","2015/04/01 15:00:00","0","1","0","2018/08/08 15:59:59","0"
"1","380000","380000","30002","0","2018/08/08 16:00:00","0","2","0","2018/08/20 15:59:59","0"
"1","380000","380000","30003","0","2018/08/20 16:00:00","0","3","0","2018/08/31 15:59:59","0"
"1","380000","380000","30004","0","2018/08/31 16:00:00","0","4","0","2018/09/14 15:59:59","0"
"1","380000","380000","30005","0","2018/09/14 16:00:00","0","5","0","2018/09/21 15:59:59","0"
"1","380000","380000","30006","0","2018/09/21 16:00:00","0","6","0","2018/10/09 15:59:59","0"
"1","380000","380000","30007","0","2018/10/09 16:00:00","0","7","0","2018/10/22 15:59:59","0"
"1","380000","380000","30008","0","2018/10/22 16:00:00","0","8","0","2018/11/08 15:59:59","0"
"1","380000","380000","30009","0","2018/11/08 16:00:00","0","9","0","2018/11/15 15:59:59","0"
"1","380000","380000","30010","0","2018/11/15 16:00:00","0","10","0","2018/11/30 15:59:59","0"
"1","380000","380000","30011","0","2018/11/30 16:00:00","0","11","0","2018/12/13 15:59:59","0"
"1","380000","380000","30012","0","2018/12/13 16:00:00","0","12","0","2018/12/27 15:59:59","0"
"1","380000","380000","30014","0","2019/01/09 16:00:00","0","14","0","2019/01/22 15:59:59","0"
"1","380000","380000","30015","0","2019/01/22 16:00:00","0","15","0","2019/02/01 11:59:59","0"
"2","0","380000","50018","380000","2019/02/01 12:00:00","0","16","380000","2019/02/04 23:59:59","0"
"1","380000","380000","30016","0","2019/02/13 16:00:00","0","17","0","2019/02/27 15:59:59","0"
"1","380000","380000","30017","0","2019/02/27 16:00:00","0","18","0","2019/03/13 15:59:59","0"
"1","380000","380000","30019","0","2019/03/13 16:00:00","0","20","0","2019/03/27 15:59:59","0"
"1","380000","380000","30020","0","2019/03/27 16:00:00","0","21","0","2019/04/03 15:59:59","0"
"1","380000","380000","30021","0","2019/04/03 16:00:00","0","22","0","2019/04/19 15:59:59","0"
"1","380000","380000","30022","0","2019/04/19 16:00:00","0","23","0","2019/05/07 15:59:59","0"
"2","0","380000","50023","380000","2019/05/07 16:00:00","0","24","380000","2019/05/14 15:59:59","0"
"1","380000","380000","30025","0","2019/06/03 16:00:00","0","25","0","2019/06/17 15:59:59","0"
