3e2b874ce249fab2a1785079873ec87d41c01c0b0db5b169878439ad34a95199,c426627efcce578e35184f67ea3eaaf10b1c2f660e0d4f24b11ec4de78fd6a82,c873ed90af2a9e3c40f4f4e8f1921f1e5920878a98c259c3a17655362f5b1e96,cef2487b69e45a6943e865d5154dcb3ef6a0c79130b325a08b32c78cf187b661,685628bf49717801187c954543a3eb5addc5f9004137da099d78fe2f1b772efe,60f856cf4973b41076cd1d276294b0fdadcff947a505036ad93b177fdc30cb68,c4f0c12e76610bb637115c204637d7be727aa86ad7456af3f26eadf6d13451ea,2e4e89b162ae8031d90490f04039456656145242db0f11ba3e9383607c151864,b32683d6573aaca24614c8c98c35dd99bd3332350b1e7db9d92b29a8a4f20e05
"0","0","1","2018/11/08 16:00:00","2018/11/12 15:59:59","1","0","1","0"
"0","0","2","2018/11/30 16:00:00","2018/12/04 15:59:59","2","0","1","0"
"0","0","3","2019/02/13 16:00:00","2019/02/23 15:59:59","3","0","1","0"
"0","0","4","2019/05/03 16:00:00","2019/05/14 15:59:59","4","0","1","0"
"0","0","5","2019/07/01 16:00:00","2019/07/15 15:59:59","5","0","1","0"
"0","0","6","2019/08/01 16:00:00","2019/08/15 15:59:59","6","0","1","0"
"0","0","7","2019/12/13 16:00:00","2019/12/30 15:59:59","7","0","1","0"
"0","1","8","2020/04/22 16:00:00","2020/05/08 15:59:59","8","0","1","0"
"0","1","9","2020/06/22 16:00:00","2020/07/07 15:59:59","9","0","1","0"
"0","1","10","2020/08/03 16:00:00","2020/08/09 15:59:59","10","0","1","0"
"0","1","11","2020/12/21 05:00:00","2021/01/06 15:59:59","11","0","1","0"
"0","1","12","2021/02/11 16:00:00","2021/02/18 04:59:59","12","0","1","0"
"0","1","13","2021/04/16 16:00:00","2021/04/22 15:59:59","13","0","1","0"
"0","1","14","2021/04/27 16:00:00","2021/05/03 15:59:59","14","0","1","0"
"0","1","15","2021/06/19 05:00:00","2021/07/02 04:59:59","15","0","1","0"
"14","1","16","2021/07/02 05:00:00","2021/08/02 04:59:59","16","15","0","0"
"0","1","17","2021/09/01 05:00:00","2021/09/11 04:59:59","17","0","1","0"
"0","1","18","2021/12/17 05:00:00","2022/01/03 04:59:59","18","0","1","0"
"17","1","19","2022/01/03 05:00:00","2022/01/31 15:59:59","19","18","0","0"
"0","1","20","2022/03/07 05:00:00","2022/03/14 04:59:59","20","0","1","0"
"7","1","21","2022/03/14 05:00:00","2022/04/03 04:59:59","21","20","0","0"
"0","1","22","2022/04/25 05:00:00","2022/05/08 04:59:59","22","0","1","0"
"13","1","23","2022/05/08 05:00:00","2022/06/04 04:59:59","23","22","0","0"
"0","1","24","2022/06/19 05:00:00","2022/07/04 04:59:59","24","0","1","0"
"15","1","25","2022/07/04 05:00:00","2022/08/02 04:59:59","25","24","0","0"
"0","1","26","2022/09/01 05:00:00","2022/09/11 04:59:59","26","0","1","0"
"0","1","27","2022/12/17 05:00:00","2023/01/03 04:59:59","27","0","1","0"
"0","1","28","2023/02/26 05:00:00","2023/03/05 04:59:59","28","0","1","0"
"0","1","29","2023/04/26 05:00:00","2023/05/08 04:59:59","29","0","1","0"
"0","1","30","2023/06/19 05:00:00","2023/07/03 04:59:59","30","0","1","0"
"0","1","31","2023/08/27 05:00:00","2023/09/02 04:59:59","31","0","1","0"
"0","1","32","2023/12/16 05:00:00","2024/01/02 04:59:59","32","0","1","0"
"0","1","33","2024/02/29 05:00:00","2024/03/06 04:59:59","33","0","1","0"
"0","2","34","2024/04/23 05:00:00","2024/05/06 04:59:59","34","0","1","0"
"0","2","35","2024/06/17 05:00:00","2024/07/02 04:59:59","35","0","1","0"
"0","2","36","2024/08/28 05:00:00","2024/09/02 04:59:59","36","0","1","0"
"0","2","37","2024/12/16 05:00:00","2025/01/02 04:59:59","37","0","1","0"
