ed45b4c0a0ca7f5721125b5952a3407f797e982a74b65f03b9987f6c53c44bfd,2729e1ad75de6b4fde52cc4a1b67f3db1ff639ac30311cfd0c90eb77121dbe57,7e63cc77d99f1d9f088e35514710b7b95eb93524694fdca4bb710e1ee7cac35f,3990d9eafaa85c82ef26efb5542d1e22eed6524f61ab1a7fa8c5bf638e1958e6,b0c9d87a23cb89acb79011335489447d4e600949d5badfe2d45f671b50ce8b4e,9cbe09ac429342df7bd6a6db4f9021163e100ae8096f3e9f838a60bb337dda61,2f7cb60832c0f1add8b644ada24f4368410a59a72601eb2c4bc866892e8e4196,5d45ebab4e2bb4b72100ba806b84392fe241f3546121f61b000e3fc07d130249,4329d48c4d920d5f6026c160df86cd2d24671d8b7b974a8d3930bba197c2bb61,e98ca55c3fc4beacf1fbbcae3b6d7e113f2764f9167434f9b457b2fd5b5f81e2,1f676c7751e8c9edba4ede215af2720dfa337f1b859c491de3cca646c493eae4,975cc20404dd9a0ac4d904f595c4c50e1094b82fcb587bef4900dc3da282020f,1f05a8c90076dd3091fcf85484cbf148de8f11d625f4e2ff7f205c2e42e37d63,8deae55a3649eb602845c37fd36284edf327cefb947640c30c14b1304bc974fc,1b4b6606cd2674f17bfa70ab3c5615fbcaad487844f879fdc4973f343cbafe14,2e508459dbdc678c0bdf1c4b67cefe5879aed127db81a66abd38e4598d64a843
"破曉之星","16","2","155","100101","獸人族","8","A","44","助人、打氣加油","最愛幫助別人！　正向思考的格鬥少女","日和","0","東山奈央","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","27"
"破曉之星","17","2","158","100201","人族","4","O","47","料理、觀察人類","擅長支援戰鬥，心地善良的少女","優衣","0","種田梨沙","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","5"
"破曉之星","18","2","163","100301","魔族","1","B","46","讀書、騎馬、茶","冷酷又率直的劍士","怜","0","早見沙織","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","12"
"小小甜心","9","5","128","100401","人族","8","O","27","惡作劇、探險","愛好冒險的搗蛋鬼","禊","0","諸星すみれ","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","10"
"王宮騎士團","12","8","146","100501","獸人族","11","O","40","英雄扮演遊戲","仰慕英雄的見習騎士少女","茉莉","0","下田麻美","？？？","25"
"惡魔偽王國軍","13","7","150","100601","魔族","11","O","42","薩克斯風","愛撒嬌又受大家喜歡","茜里","0","浅倉杏美","茜里不知道的事還有很多……\n所以，\n今後哥哥也要教茜里各種事情喔！","22"
"惡魔偽王國軍","14","7","130","100701","魔族","1","B","32","吃布丁","最愛布丁的幽靈少女","宮子","0","雨宮天","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","23"
"純白之翼 蘭德索爾分部","14","15","150","100801","精靈族","10","AB","40","欣賞鏡中的自己","我比任何人都還要美麗","雪","0","大空直美","我真的好美啊……\n既可愛又美麗真是罪過，\n但這都是天生的，只能原諒我了吧♪","10"
"暮光流星群","17","13","159","100901","魔族","7","A","45","寫小說","相信前世的中二病患「疾風之冥姬」","杏奈","0","髙野麻美","聽好了，千萬不要叫我的本名呦？\n隨時懷疑「機關」耳目的存在\n那就是活下去的方法……！","5"
"哞哞自衛隊","16","10","155","101001","獸人族","9","O","42","幻想、蒐集玩偶","真步真步王國的公主","真步","0","内田真礼","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","22"
"拉比林斯","15","3","156","101101","人族","8","A","44","裁縫","親人又多話的妹系少女","璃乃","0","阿澄佳奈","雖然我想你可能已經不記得了……\n但我是妹妹啊！\n所以可以叫你哥哥嗎？","25"
"森林守衛","17","6","156","101201","精靈族","12","A","46","和妹妹一起玩、回籠覺、午睡、早睡","為了大家使用超能力的睡美人","初音","0","大橋彩香","我是初音！　是遇到麻煩的人的夥伴呦！\n有困擾時，隨時都可以跟我說喔♪\n會用我的超……魔，魔法來幫忙的！","24"
"暮光流星群","18","13","166","101301","魔族","8","O","55","讀書、魔法","宅宅暴走的魔法少女","七七香","0","佳村はるか","","21"
"哞哞自衛隊","15","10","152","101401","獸人族","11","AB","41","讀書、推理","頭腦聰明的美少女名偵探","霞","0","水瀬いのり","test","3"
"森林守衛","21","6","165","101501","精靈族","9","O","54","製作繪本","充滿母性又溫柔，大家的「美里老師」","美里","0","國府田マリ子","test","5"
"月光學院","17","14","167","101601","魔族","4","O","48","時尚","天真浪漫的人氣超級名模","鈴奈","0","上坂すみれ","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","10"
"哞哞自衛隊","17","10","158","101701","獸人族","7","A","53","跳舞、空手道","隨時都「船到橋頭自然直」的天真少女","香織","0","高森奈津美","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","7"
"月光學院","23","14","162","101801","魔族","8","B","52","看戀愛小說、戀愛劇、戀愛漫畫","魅惑眾多男性的純潔女老師","伊緒","0","伊藤静","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","14"
