4d03d214b2193842ef0f9d411e4375e9f258da3fced02e5409bab009b9c8cfe3,67fb90ffc6f4c4d8a88a540b61fe19db87a7527c92e880107c648d6ecda99bbc,b52fb7125be71f21896422bdbde6bedadd68333746a75cea13acfd83a62657d1,ff9b7513726171837656ee6d486081f993c6c56947f4ff215fab014f5726e696,f3e994019e81fbb40181733341420e289c149be44303543d691343fc41aefd31,61f7468457b8f9596d49180b9bb4a111b0a3ee47122430383d19b7d316877ac8
"11101","1","vo_caravan","1","vo_caravan_105801_start_001","1"
"11102","1","vo_caravan","1","vo_caravan_105801_start_002","1"
"12101","1","vo_caravan","1","vo_caravan_105901_start_001","2"
"12102","1","vo_caravan","1","vo_caravan_105901_start_002","2"
"13101","1","vo_caravan","1","vo_caravan_106001_start_001","3"
"13102","1","vo_caravan","1","vo_caravan_106001_start_002","3"
"14101","1","vo_caravan","1","vo_caravan_106401_start_001","4"
"14102","1","vo_caravan","1","vo_caravan_106401_start_002","4"
"21101","2","vo_caravan","1","vo_caravan_105801_dice_001","1"
"21102","2","vo_caravan","1","vo_caravan_105801_dice_002","1"
"22101","2","vo_caravan","1","vo_caravan_105901_dice_001","2"
"22102","2","vo_caravan","1","vo_caravan_105901_dice_002","2"
"23101","2","vo_caravan","1","vo_caravan_106001_dice_001","3"
"23102","2","vo_caravan","1","vo_caravan_106001_dice_002","3"
"24101","2","vo_caravan","1","vo_caravan_106401_dice_001","4"
"24102","2","vo_caravan","1","vo_caravan_106401_dice_002","4"
"31101","3","vo_caravan","1","vo_caravan_105801_slot_001","1"
"32101","3","vo_caravan","1","vo_caravan_105901_slot_001","2"
"33101","3","vo_caravan","1","vo_caravan_106001_slot_001","3"
"34101","3","vo_caravan","1","vo_caravan_106401_slot_001","4"
"41101","4","vo_caravan","1","vo_caravan_105801_dish_001","1"
"41102","4","vo_caravan","1","vo_caravan_105801_dish_002","1"
"42101","4","vo_caravan","1","vo_caravan_105901_dish_001","2"
"42102","4","vo_caravan","1","vo_caravan_105901_dish_002","2"
"42201","4","se_caravan","2","se_caravan_food_peko","1"
"42202","4","se_caravan","2","se_caravan_food_coccoro","2"
"42203","4","se_caravan","2","se_caravan_food_kyaru","3"
"42204","4","se_caravan","2","se_caravan_food_coccoro","4"
"42205","4","se_caravan","2","se_caravan_food_onigiri","100"
"43101","4","vo_caravan","1","vo_caravan_106001_dish_001","3"
"43102","4","vo_caravan","1","vo_caravan_106001_dish_002","3"
"44101","4","vo_caravan","1","vo_caravan_106401_dish_001","4"
"44102","4","vo_caravan","1","vo_caravan_106401_dish_002","4"
"45101","4","vo_caravan","1","vo_caravan_onigiri_dish_001","100"
"61101","6","vo_caravan","1","vo_caravan_105801_goal_001","0"
"61201","61","vo_caravan","1","vo_caravan_105801_win_001","0"
"61301","62","vo_caravan","1","vo_caravan_105801_lose_001","0"
"62101","6","vo_caravan","1","vo_caravan_105901_goal_001","0"
"62201","61","vo_caravan","1","vo_caravan_105901_win_001","0"
"62301","62","vo_caravan","1","vo_caravan_105901_lose_001","0"
"63101","6","vo_caravan","1","vo_caravan_106001_goal_001","0"
"63201","61","vo_caravan","1","vo_caravan_106001_win_001","0"
"63301","62","vo_caravan","1","vo_caravan_106001_lose_001","0"
"64101","6","vo_caravan","1","vo_caravan_118501_goal_001","0"
"65101","6","vo_caravan","1","vo_caravan_106401_goal_001","0"
"65201","61","vo_caravan","1","vo_caravan_106401_win_001","0"
"65301","62","vo_caravan","1","vo_caravan_106401_lose_001","0"
"71101","7","vo_caravan","1","vo_caravan_105801_appraise_001","0"
"72101","7","vo_caravan","1","vo_caravan_105901_appraise_001","0"
"73101","7","vo_caravan","1","vo_caravan_106001_appraise_001","0"
"74101","7","vo_caravan","1","vo_caravan_106401_appraise_001","0"
"81101","8","vo_caravan","1","vo_caravan_105801_result_001","0"
"82101","8","vo_caravan","1","vo_caravan_105901_result_001","0"
"83101","8","vo_caravan","1","vo_caravan_106001_result_001","0"
"84101","8","vo_caravan","1","vo_caravan_106401_result_001","0"
"211101","2","vo_caravan","1","vo_caravan_319700_dice_001","11"
"211102","2","vo_caravan","1","vo_caravan_319700_dice_002","11"
"212101","2","vo_caravan","1","vo_caravan_319800_dice_001","12"
"212102","2","vo_caravan","1","vo_caravan_319800_dice_002","12"
"213101","2","vo_caravan","1","vo_caravan_319900_dice_001","13"
"213102","2","vo_caravan","1","vo_caravan_319900_dice_002","13"
