e45db709e6fbf439c3b544e6353309b6eb7f72e27196851d8538e8a929ff16f1,75a6b58db596d371b470ec74ba8c41fa33a06b0169ed3f91d82368ae4ceb873d,0367654c57a24588261edd1c338155cf8fa4af3df163c0cc290798da3320eb3e,f31d3e5a8af1371040a9d6f393beae310b6ef19f9ed3e4f29ba04044cd6a653c,75a9307a8a9f59bfe441e3cf4c069f537041a5a2bdb61a8cba8fa3c06e0276c8
"3","1","803100201","0","3001"
"3","2","803100202","0","3001"
"3","3","803100203","0","3001"
"3","1","803100204","0","3002"
"3","2","803100205","0","3002"
"3","3","803100206","0","3002"
"3","1","803100207","0","3003"
"3","2","803100208","0","3003"
"3","3","803100209","0","3003"
"3","1","803100210","0","3004"
"3","2","803100211","0","3004"
"3","3","803100212","0","3004"
"3","1","803100213","0","3005"
"3","2","803100214","0","3005"
"3","3","803100215","0","3005"
"3","1","803100216","0","3006"
"3","2","803100217","0","3006"
"3","3","803100218","0","3006"
"3","1","803100219","0","3007"
"3","2","803100220","0","3007"
"3","3","803100221","0","3007"
