1edf467a08368de89b330ea0d9c81a6c763d332ee3418c4a615d0a68df1e185c,500ac344d6d72e24b8f5a2ff5bedb5da3a2291d8f7f5c90555be494a20b81b83,0c7a9de0e54e51f81f6f30c59067f435561a129ee6ec59c61fd1eca38788746f,3946f3cda02c1bcc8fa7387534085b5347b32dfc2d3548755b03d2e0a4bb2ef9,bac56f8ae5ee2ee15e3fa029874ebeb1dce4f995b762c6ef9806b974ba290866,4677a9d7eb5f2a76ab6e891fddb4ae913d9837941e53263883b147e2f06cd9fd
"5035004","0","0","10036","0","5035005"
"5058004","0","0","10059","0","5058005"
"0","1006201","10062","10063","10062115","0"
"0","1008401","10084","10085","10084115","0"
"0","1008601","10086","10087","10086115","0"
"0","1011001","10110","10111","10110115","0"
"0","1011201","10112","10113","10112115","0"
"0","1013601","10136","10137","10136110","0"
"0","1013801","10138","10139","10138115","0"
"0","1016401","10164","10165","10164110","0"
"0","2003301","20033","20034","20033115","0"
"0","2004601","20046","20047","20046115","0"
"0","2005901","20059","20060","20059115","0"
"0","2006701","20067","20068","20067110","0"
