57e17bafe3e00a19688299e527dad5ad635f5d61983dab9bdd6c689198f5db36,a5628bffd06b1ce51fe3f37070e8b598b97aad9fde01be47117f7932b575250f,e6104504d781537b7f0ac1475cdb8aee4421b52693136dba5d061d2a86c87a8b,49b1455445af5346807fb34bc8281feb3c9c6583fe67d23cf7d2e427496c6971,9653e8988fc560589b1d6e8fc04d3fd222e6a0f1e02aa2c6a9954e80980bf4aa
"red","101","90009","單手劍","#D23232"
"red","102","90009","雙手劍","#D23232"
"red","103","90009","短劍","#D23232"
"red","104","90009","槍","#D23232"
"red","105","90009","斧","#D23232"
"red","106","90009","弓","#D23232"
"red","107","90009","拳","#D23232"
"red","108","90009","盾","#D23232"
"red","109","90009","杖","#D23232"
"red","110","90009","書本","#D23232"
"blue","201","90010","衣服","#476FD8"
"blue","202","90010","鎧甲","#476FD8"
"blue","203","90010","白長袍","#476FD8"
"blue","204","90010","黑長袍","#476FD8"
"yellow","301","90011","戒指","#E5681E"
"yellow","302","90011","手鐲","#E5681E"
"yellow","303","90011","項鍊","#E5681E"
"yellow","304","90011","寶珠","#E5681E"
"yellow","305","90011","耳環","#E5681E"
