a71b7a01b60510526f859ab1ab38658cef605e63c3d66dafe9a47213119a1e6c,26bdc7c938a9320e5699f71f2aa27338e7578561d0a00af3a0327bd57877b0c5,4acfa52c9346bed2d3ca8862f8cafe3d370f6e426ff5f185affbf32bec53e938,a4ba494c78d35a7b57e5cf92b10e6f8e59f23ebedca708a7edb9aeb58fef6bea,1a9f742368a51330b02c05a3f40ed21231d2e550ba1af60765eaa60d009ca805,c68261d1aa6c56ecfb0fff4f98185bd259439a1230d690991f73d9414634e7c2,68114e5cded52c314958767d5d85d5a487f2c7f27908b13d74d6cca2bf079321,4ae4b3882dc213b1f9b19750dda0d1108c1fe643862fd0fe99801e0ca72da247,010725fb94cf8b8b25b05dd6095f8b0adb718c38c03997274ecb8078d2a70843,f883be5d7eaba2bf93c43bdf06e3ebf04b7c0f657c78b9ebb88f99b8458b2d61,4873258818605b54b3939c0cbc379be8b3590af272d95d05c6e2a914ab8bd33e,245e8f7c670dd259b52f7570201d178d7eec76353cdc37479f07476afb12b7db
"0","0","0","1","2","101","104","11041","4","0","0","1"
"0","0","0","2","3","201","14","10141","2","0","1","2"
"0","0","0","3","2","301","103","11031","2","0","2","3"
"0","0","0","4","1","401","102","11021","1","0","3","4"
"0","0","0","5","2","501","104","11041","4","0","4","5"
"0","0","0","6","3","601","1","10011","1","0","5","6"
"0","0","0","7","4","701","101","11011","3","0","6","7"
"0","0","0","8","3","801","100","11001","1","0","7","8"
"0","0","0","9","2","901","104","11041","4","0","8","9"
"0","0","0","10","3","1001","1","10011","2","0","9","10"
"0","0","0","11","4","1101","51","10511","1","0","10","11"
"0","0","0","12","3","1201","52","10521","2","0","11","12"
"0","0","0","13","2","1301","104","11041","4","0","12","13"
"0","0","0","14","1","1401","103","11031","1","0","13","14"
"0","0","0","15","2","1501","102","11021","1","0","14","15"
"0","0","0","16","3","1601","1","10011","1","0","15","16"
"0","0","0","17","2","1701","104","11041","4","0","16","17"
"0","0","0","18","3","1801","50","10501","2","0","17","18"
"0","0","0","19","4","1901","101","11011","3","0","18","19"
"0","0","0","20","3","2001","100","11001","2","0","19","20"
"0","0","0","21","2","2101","104","11041","4","0","20","21"
"0","0","0","22","1","2201","1","10011","3","0","21","22"
"0","0","0","23","3","2301","100","11001","2","0","22","23"
"0","0","0","24","2","2401","101","11011","2","0","23","24"
"0","0","0","25","3","2501","104","11041","4","0","24","25"
"0","0","0","26","4","2601","50","10501","3","0","25","26"
"0","0","0","27","3","2701","52","10521","3","0","26","27"
"0","0","0","28","1","2801","50","10501","1","0","27","28"
"0","0","0","29","2","2901","104","11041","4","0","28","29"
"0","0","0","30","1","3001","51","10511","3","0","29","30"
"0","0","0","31","2","3101","100","11001","2","0","30","31"
"0","0","0","32","3","3201","101","11011","1","0","31","32"
"0","0","0","33","4","3301","104","11041","4","0","32","33"
"0","0","0","34","3","3401","100","11001","3","0","33","34"
"0","0","0","35","2","3501","104","11041","4","0","34","35"
"0","0","0","36","3","3601","103","11031","2","0","35","36"
"0","0","0","37","2","3701","102","11021","1","0","36","37"
"0","0","0","38","1","3801","50","10501","2","0","37","38"
"0","0","0","39","3","3901","102","11021","3","0","38","39"
"0","0","0","40","4","4001","104","11041","4","0","39","40"
"0","0","0","41","3","4101","100","11001","1","0","40","41"
"0","0","0","42","2","4201","52","10521","3","0","41","42"
"0","0","0","43","1","4301","104","11041","4","0","42","43"
"0","0","0","44","2","4401","103","11031","1","0","43","44"
"0","0","0","45","1","4501","104","11041","4","0","44","45"
"0","0","0","46","3","4601","101","11011","3","0","45","46"
"0","0","0","47","4","4701","102","11021","1","0","46","47"
"0","0","0","48","2","4801","104","11041","4","0","47","48"
"0","0","0","49","3","4901","103","11031","2","0","48","49"
"0","0","0","50","2","5001","104","11041","4","0","49","50"
"0","0","0","51","1","5101","101","11011","2","0","50","51"
"0","0","0","52","2","5201","102","11021","3","0","51","52"
"0","0","0","53","3","5301","104","11041","4","0","52","53"
"0","0","0","54","4","5401","52","10521","1","0","53","54"
"0","0","0","55","3","5501","103","11031","3","0","54","55"
"0","0","0","56","4","5601","104","11041","4","0","55","56"
"0","0","0","57","2","5701","100","11001","1","0","56","57"
"0","0","0","58","3","5801","101","11011","3","0","57","58"
"0","0","0","59","4","5901","103","11031","2","0","58","59"
"0","0","0","60","3","6001","104","11041","4","0","59","60"
"0","0","0","61","1","6101","102","11021","1","0","60","61"
"0","0","0","62","2","6201","50","10501","3","0","61","62"
"0","0","0","63","1","6301","104","11041","4","0","62","63"
"0","0","0","64","2","6401","103","11031","2","0","63","64"
"0","0","0","65","3","6501","102","11021","1","0","64","65"
"0","0","0","66","2","6601","104","11041","4","0","65","66"
