4dc0de274eee051e2a829b0e4d726226e89d677958166a81e92ebb251be79e69,3b1b2531deb6ccac030bc43ff0ce8a042aaec8cebe668e4774582dd53e3c6357,67433008cd7e2528e909b0354bf6a37b030a4447e51e4eec18603621d80e3cc0,56790cb32afbe13b49233bce54c16b3dc8409b8f26d2518bf55dd052342a5b1e,734f74f7aef3118b6c56e00db2b1201e6027cd7889f6f705834fea96520c5bc8,12ca758a09b501b9bfda2eef2bb5f3410e09f8c52aca06d969acaad621159e7a,47bbbc5ba26a81b7e143f84ff77b1cca4bc24f8b165f0d5d3c4cf965aa53e655,cd33d265d0b5ee86754aa7fae44f190904dec12c14e9e084fc07a3f30bc58b7e,12bec4de497e4cd01db2345d71093ec1d2bc92a7f93f83873f82f21a1c95225b,a2107b035a21f08d147aa311a97b925e31b8aeca9b5c9d77eb7a5951ae7344cf,e19543c6aa00339e6065d5d27ecbf2efb2625a34ef405ea6329088bb02ea0d19
"5","101","1","100","1","0","101001","cgg_idle_normal","160","-420","-230"
"1","101","105811","100","1","1","101002","cgg_idle_def","1.6","375","-230"
"1","101","106011","101","1","1","101003","cgg_idle_def","1.6","490","-230"
"6","101","1","1","1","0","101004","","0.1","1","1"
"6","101","1","1","105811","0","101005","","0.1","1","1"
"6","101","1","1","106011","0","101006","","0.1","1","1"
"93","101","0","","0.2","","101007","","","",""
"21","101","vo_minigame_1007_top_talk_1_001","0","vo_minigame_1007","","101008","","","0",""
"11","101","妳看，小凱留♪\n有好多慈樂之音的\n周邊喔☆","4","105811","0","101009","0","0","0","0"
"3","101","cgg_idle_surprise1","1","1","","101010","","0.2","",""
"3","101","cgg_surprise_kira","0","105811","0","101011","","0.2","cgg_talk_surprise_kira","1"
"93","101","0","","2.1","","101012","","","",""
"3","101","cgg_idle_surprise3","1","1","","101013","","0.2","",""
"3","101","cgg_talk_joy1","1","105811","","101014","","0.2","",""
"91","101","","","101009","","101015","","","",""
"3","101","cgg_idle_def","1","105811","","101016","","0.2","",""
"21","101","vo_minigame_1007_top_talk_1_002","0","vo_minigame_1007","","101017","","","0",""
"11","101","有這麼多啊……\n這種東西會讓人\n不由自主地\n想全部收齊呢。","5","106011","0","101018","0","0","0","0"
"3","101","cgg_idle_reaction1","1","1","","101019","","0.2","",""
"3","101","cgg_talk_surprise1","1","106011","","101020","","0.2","",""
"93","101","0","","2.1","","101021","","","",""
"3","101","cgg_idle_nod","1","1","","101022","","0.2","",""
"3","101","cgg_talk_bitter","1","106011","","101023","","0.2","",""
"91","101","","","101018","","101024","","","",""
