e2979ebf149c02a036606fa45846d7c2bf8144fef9cf2fa82e3f211fb62f213a,62f96e2359e805822581348f5b440182873aca524c15602b1dd79bb97087ac7f,9c6713fc64851ae89d5f714a8cea1810974df5b46a1f25b55c80962aefa1988d,6d8fd67503d7bf651eb784e9ffbfab828a94ab7495e3109d88b79e9e259ac7c6,dd0eb49ff2d7e3e9739a5c41ddf84cfa00f2bb9acf1f069ae627c87c0ec44828,7ce6a7a3a5e072d40a7716ac7e526608e516b531c2b25bbe8f416f6007395e96,434f57e143e733f362795b21abd087af256c5ac7d57b8a674faee73a8b2f0508,667fa7817edf0ded6cb115c95298d08cdca04dcd91a407a9494ee0be7e5e58fa,1bfe6acf253a40938e90a3ded182bd58f3b99d9aa886ff4cdccd0f0b19cf853f,ca86eeaba21092a074f7fd12ab8559ecbdfd9d92b3d7df6c3e8ffd7754e6c087,e2225218181efb17a8ca0db422f2a87ea30b8a5c98ca54d3b73db13673387e0f,8cf188f512c86646e361b3a910b4adef12e85f41ab33dac5e046420ff17217cc,16539af4651aae772c8116968e903e4c9947fc8378ed54587fcb603d7386a8bf,4ebe5cdbe9936c553fe62a3ff261b778240e4458a31c4248d5f0a3513f11f50c,3568280534a975e72389166ec3ff349d5616b88b07cc8bb7ee597c7b5415034c,af27196b6d0e156b73f1cb2310ddee05ade48f49e21157cf4f974da1030ca791,3726f86addb327cf1896970268d4c56bd5dcd142aefb8b110beed12e25077bfd
"完成 10 次主線或活動冒險","0","101","200","11001001","1","10","2026/03/13 04:59:59","0","0","1008","1","0","11001001","0","2015/04/01 15:00:00","0"
"完成 20 次主線或活動冒險","0","101","200","11001002","1","20","2026/03/13 04:59:59","0","0","1008","1","0","11001002","0","2019/03/06 16:00:00","0"
"完成 10 次主線或活動冒險","0","101","200","11001003","1","10","2030/04/01 14:59:59","0","0","1008","1","0","11001001","0","2026/03/13 05:00:00","0"
"完成 20 次主線或活動冒險","0","101","200","11001004","2","20","2030/04/01 14:59:59","0","0","1008","1","0","11001002","0","2026/03/13 05:00:00","0"
"完成 3 次主線(HARD、VERY HARD)或活動冒險(HARD)","0","102","200","11003001","2","3","2026/03/13 04:59:59","0","0","1003","1","0","11003001","0","2015/04/01 15:00:00","0"
"完成 3 次主線(HARD、VERY HARD)或活動冒險(HARD)","0","102","200","11003002","3","3","2030/04/01 14:59:59","0","0","1003","1","0","11003001","0","2026/03/13 05:00:00","0"
"完成４次探索冒險","0","103","202","11004001","7","4","2099/04/01 14:59:59","0","0","1004","1","0","11004001","0","2015/04/01 15:00:00","0"
"完成 1 次地下城的戰鬥","0","104","204","11005001","9","1","2099/04/01 14:59:59","0","0","1005","1","0","11005001","0","2015/04/01 15:00:00","0"
"挑戰1次地下城","0","122","603","11005002","15","1","2026/03/20 04:59:59","0","0","80000","1","0","11005002","0","2026/03/15 05:00:00","0"
"通關1次地下城的戰鬥","0","122","603","11005003","16","1","2026/03/20 04:59:59","0","0","80003","1","0","11005003","0","2026/03/15 05:00:00","0"
"完成 1 次共鬥","0","105","203","11006001","8","1","2019/03/06 15:59:00","0","0","1006","1","0","11006001","0","2018/08/14 16:00:00","0"
"挑戰1次露娜之塔的冒險","0","108","208","11101001","14","1","2025/12/10 15:59:59","0","0","1101","1","0","11101001","0","2025/12/05 16:00:00","0"
"完成1次深淵討伐戰前哨冒險","0","132","1007","11701001","17","1","2030/04/01 14:59:59","0","0","1701","1","0","11701001","0","2024/11/15 16:00:00","0"
"抽 10 次一般轉蛋","0","301","401","13002001","3","10","2026/03/13 04:59:59","0","0","3002","1","0","13002001","0","2015/04/01 15:00:00","0"
"抽 10 次一般轉蛋","0","301","401","13002002","4","10","2030/04/01 14:59:59","0","0","3002","1","0","13002001","0","2026/03/13 05:00:00","0"
"在戰鬥競技場戰鬥 1 次","0","401","205","14001001","11","1","2099/04/01 14:59:59","0","0","4001","1","0","14001001","0","2015/04/01 15:00:00","0"
"在公主競技場戰鬥 1 次","0","402","205","14003001","12","1","2099/04/01 14:59:59","0","0","4003","1","0","14003001","0","2015/04/01 15:00:00","0"
"挑戰 1 次戰隊競賽","0","107","501","15004001","10","1","2026/04/30 23:59:59","0","0","5004","1","0","15004001","0","2026/04/26 05:00:00","0"
"對戰隊成員按「讚」","0","701","501","15005001","13","1","2099/04/01 14:59:59","0","0","5005","1","0","15005001","0","2015/04/01 15:00:00","0"
"強化 1 次角色技能","0","503","301","16006001","5","1","2024/06/14 15:59:59","0","0","6006","1","0","16006001","0","2015/04/01 15:00:00","0"
"使用裝備強化來提升裝備的 1 顆★","0","506","304","16007001","6","1","2024/06/14 15:59:59","0","0","6007","1","0","16007001","0","2015/04/01 15:00:00","0"
"選擇角色技能強化、將裝備的★增加1個的強化、公主騎士強化的其中一項進行1次","0","503","302","16008001","5","1","2026/03/13 04:59:59","0","0","6019","1","0","16008001","0","2024/06/14 16:00:00","0"
"選擇角色技能強化、將裝備的★增加1個的強化、公主騎士強化的其中一項進行1次","0","503","302","16008002","6","1","2030/04/01 14:59:59","0","0","6019","1","0","16008001","0","2026/03/13 05:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001001","1","1","2019/01/30 04:59:59","120000","0","8001","1","45959","18001001","0","2018/09/10 16:00:00","0"
"在 18:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001002","1","1","2019/01/30 04:59:59","180000","0","8001","1","45959","18001002","0","2018/09/10 16:00:00","0"
"在 12:00～隔天早晨 04:59 之間登入遊戲","0","0","106","18001003","1","1","2019/02/14 04:59:59","120000","0","8001","1","45959","18001003","0","2019/01/30 05:00:00","0"
