0028f722b21f2e155da9ad2c841772bab510234910d447a4d87ccf559ca6400c,4130c91bb38c72ffe1398c8560e7f5b8841c90eedef8dfd09a54bacd3332aea5,9500e0bd07591ce77b587295cd19d2a646d419dc840208d01e9ae93f8720ae17,61e19f4f20d3be4810ff13d1b3b930814bcaebd025ea40b45d2dbfa6a934b067,0d281660aab232f0099775c589badc644f061cef7c116cdfe840c04b093ba686,efd40645007ee8f8461388080785994dff49f1a1558421d05f5aa008076e4912
"10009101","0","1","1","10009106","1"
"10009101","0","1","1","10009112","2"
"10010101","0","1","1","10010110","3"
"10019101","0","2","1","1001901","4"
"10021101","0","1","1","10021112","5"
"10025101","0","1","1","10025109","6"
"10025","500810","3","2","5025001","7"
"20009101","0","1","1","20009106","8"
"20009101","0","1","1","20009112","9"
"20010101","0","1","1","20010110","10"
"10042","501001","3","2","5042001","12"
"20015101","0","2","1","2001501","13"
"10044","501031","3","2","5044001","14"
"20016101","0","1","1","20016112","15"
"10046","501103","3","2","5046002","16"
"10049101","0","1","1","10049109","17"
"10066101","0","1","1","10066112","19"
"10066","501291","3","2","5066005","20"
"10069","501001","3","2","5042001","21"
"10071","501031","3","2","5044001","22"
"10068","501341","3","2","5068001","23"
"10070","501353","3","2","5070004","24"
"10070","500016","3","2","5070005","25"
"10072","501364","3","2","5072004","26"
"10072","501365","3","2","5072006","27"
"10073","501103","3","2","5046002","28"
"10074","501383","3","2","5074001","29"
"10076101","0","1","1","10076112","30"
"10076","505036","3","2","5076005","31"
"10078","501451","3","2","5078004","32"
"10080","501463","3","2","5080005","33"
"10082101","0","1","1","10082105","34"
"10082102","0","1","1","10082108","35"
"10082103","0","1","1","10082111","36"
"10082","501160","3","2","5082002","37"
"10082","501031","3","2","5082004","38"
"10082","501483","3","2","5082005","39"
"10084","500368","3","2","5084001","40"
"10084","510306","3","2","5084002","41"
"10084","500039","3","2","5084003","42"
"10085","500368","3","2","5085002","43"
"10085","510203","3","2","5085003","44"
"10085","500272","3","2","5085004","45"
"10085","501501","3","2","5085005","46"
"10088","501810","3","2","5088005","47"
"20025","501001","3","2","5042001","50"
"10090","501541","3","2","5090002","51"
"20026","501031","3","2","5044001","55"
"10093101","0","1","1","10093112","56"
"10093","501291","3","2","5066005","57"
"20027","501103","3","2","5046002","58"
"10092","501031","3","2","5092001","59"
"10092","501551","3","2","5092004","60"
"10094","501593","3","2","5094001","61"
"10095","501341","3","2","5068001","62"
"20018","500810","3","2","5025001","67"
"10096","501613","3","2","5096002","68"
"10097","501353","3","2","5070004","73"
"10097","500016","3","2","5070005","74"
"10098","501031","3","2","5098000","75"
"10098101","0","1","1","10098104","76"
"10098102","0","1","1","10098111","77"
"10099","501364","3","2","5072004","78"
"10099","501365","3","2","5072006","79"
"10100","500837","3","2","5100003","80"
