b594011afc34f4d284379e0fa11942f4fe44df795c3169c0d8ecbc6fa9e42432,a40f9cdc9036b40efbaba366bb8feaa97eeac93a4b7c13fb119cd9062ca72d3b,c375542c09c386c5a59173a628d8adcdcf20900ea927770ba36eb82222e8c118,920902c3bc77af46daed841edf4e3cf4df644fa0e4c0360ba1e98c4a57daee0e,c366ef6a9d5b2d2f95112c3e24e48a10deee7f04ab9f86f032afb61f796f237a,16158fac62a10438be9f66c52288fca1c93a21d2047b7921243790f7077a1915,4918e7617d7eb5b27b47b9e5947264aca67db5b304e8a82972aba5732125e9eb,88ec417d9b28fa64ae429299c1b194df9cdfecdac5806f496af6a415a7a0d986
"1","48","5","2","4","1","3","111"
"1","96","5","2","4","1","3","121"
"1","144","5","2","4","1","3","131"
"1","192","5","2","4","1","3","141"
"1","240","5","2","4","1","3","151"
"2","84","0","0","0","1","0","211"
"2","168","0","0","0","1","0","221"
"2","252","0","0","0","1","0","231"
"2","336","0","0","0","1","0","241"
"2","420","0","0","0","1","0","251"
"5","36","0","0","0","3","0","311"
"5","72","0","0","0","3","0","321"
"5","108","0","0","0","3","0","331"
"5","144","0","0","0","3","0","341"
"5","180","0","0","0","3","0","351"
"4","84","0","0","0","4","0","411"
"4","168","0","0","0","4","0","421"
"4","252","0","0","0","4","0","431"
"4","336","0","0","0","4","0","441"
"4","420","0","0","0","4","0","451"
"4","84","0","0","0","2","0","511"
"4","168","0","0","0","2","0","521"
"4","252","0","0","0","2","0","531"
"4","336","0","0","0","2","0","541"
"4","420","0","0","0","2","0","551"
"2","84","0","0","0","4","0","611"
"2","168","0","0","0","4","0","621"
"2","252","0","0","0","4","0","631"
"2","336","0","0","0","4","0","641"
"2","420","0","0","0","4","0","651"
"1","56","0","0","0","5","0","711"
"1","112","0","0","0","5","0","721"
"1","168","0","0","0","5","0","731"
"1","224","0","0","0","5","0","741"
"1","280","0","0","0","5","0","751"
"101","1","0","0","0","2","0","811"
"2","84","0","0","0","3","0","911"
"2","168","0","0","0","3","0","921"
"2","252","0","0","0","3","0","931"
"2","336","0","0","0","3","0","941"
"2","420","0","0","0","3","0","951"
"101","1","0","0","0","1","0","1011"
"5","36","0","0","0","2","0","1111"
"5","72","0","0","0","2","0","1121"
"5","108","0","0","0","2","0","1131"
"5","144","0","0","0","2","0","1141"
"5","180","0","0","0","2","0","1151"
"4","84","0","0","0","5","0","1211"
"4","168","0","0","0","5","0","1221"
"4","252","0","0","0","5","0","1231"
"4","336","0","0","0","5","0","1241"
"4","420","0","0","0","5","0","1251"
"2","86","0","0","0","1","0","1311"
"2","172","0","0","0","1","0","1321"
"2","258","0","0","0","1","0","1331"
"2","344","0","0","0","1","0","1341"
"2","430","0","0","0","1","0","1351"
"1","44","0","0","0","3","0","1411"
"1","88","0","0","0","3","0","1421"
"1","132","0","0","0","3","0","1431"
"1","176","0","0","0","3","0","1441"
"1","220","0","0","0","3","0","1451"
"5","36","0","0","0","4","0","1511"
"5","72","0","0","0","4","0","1521"
"5","108","0","0","0","4","0","1531"
"5","144","0","0","0","4","0","1541"
"5","180","0","0","0","4","0","1551"
"101","1","0","0","0","5","0","1611"
"100","1","0","0","0","2","0","1711"
"4","84","0","0","0","3","0","1811"
"4","168","0","0","0","3","0","1821"
"4","252","0","0","0","3","0","1831"
"4","336","0","0","0","3","0","1841"
"4","420","0","0","0","3","0","1851"
"3","36","0","0","0","4","0","1911"
