26a3d2e067e01367c0c89ddcaeed9de6b4b5c64b7fe63125fc3c50d4e46d6f3b,0c1d8fcce53946c9a631e5491236c84f0c3e7cac7b6026a865939ac997c607df,6b380b852ea116da0ba2d8c3c0d9703ed22327faf934370b1c09eacaf1215c75,dff5272ae25f0b9fee8d9add2e42ac94000d075142607f5b6a7e230491fe1bb1,02fc43a581c3661e730d74b18eb164642ce7c5a5a7f69b3fccf62fe50cba00b9,7b7f63490e2e1406755c339eb0450b915785692c8d7d6fc419d997e66bb68906,1c0d14d4514da60c2a8bf3f68756017fdee8cafe09a79a9778d8c7caf7b8f690,220445d37031b8e7ea8a03be614e6c252fa155650997de9ac1d2927996c37e51,7cef9a3e9483760ea9b7737c00bdc2a5c4f3111698a080d87a43215e1d6e2c68,f92ae3dd608f94daf5ad1598b962ee3988136cfcb6258e771c2515b5cc82c610,f3867ab6f87b636553b16a1b29315d659f30f8bfb65adb4c36fa39e248066f85,a8c9fd96b162b2c0d8d8cd817add0ac96807e249e105ebf7f9c84044ee4f5b95
"0","0.8","1011611501","0","1","10116115","1","0","0","0","4","0"
"vo_won","0","1011611502","0","0","10116115","2","0","0","0","2","vo_won_10116115_01"
"0","0","1011611503","0","0","10116115","3","2.68","1","230","1","0"
"0","3.17","1011611504","0","1","10116115","4","0","0","0","4","0"
"0","0","1011611505","230","0","10116115","5","2","1","420","1","0"
"0","2.03","1011611506","0","1","10116115","6","0","0","0","4","0"
"0","0","1011611507","0","0","10116115","7","1.51","2","140","1","0"
"0","2","1011611508","0","1","10116115","8","0","0","0","4","0"
"0","0","1011611509","140","0","10116115","9","1.92","2","275","1","0"
"0","2.42","1011611510","0","1","10116115","10","0","0","0","4","0"
"0","0","1011611511","275","0","10116115","11","1.09","2","430","1","0"
"0","1.09","1011611512","0","1","10116115","12","0","0","0","4","0"
"0","0","1011611513","0","0","10116115","13","1.88","3","230","1","0"
"0","2.47","1011611514","0","1","10116115","14","0","0","0","4","0"
"0","0","1011611515","230","0","10116115","15","1.88","3","430","1","0"
"0","1.88","1011611516","0","1","10116115","16","0","0","0","4","0"
"0","0","1011611517","0","0","10116115","17","0.588999999999999","4","52","1","0"
"0","0.965999999999999","1011611518","0","1","10116115","18","0","0","0","4","0"
"0","0","1011611519","52","0","10116115","19","1.423","4","400","1","0"
"0","2.673","1011611520","0","1","10116115","20","0","0","0","4","0"
"vo_won","0","1011611521","0","0","10116115","21","0","0","0","2","vo_won_10116115_02"
"0","0","1011611522","0","0","10116115","22","1.699","5","340","1","0"
"0","2.495","1011611523","0","1","10116115","23","0","0","0","4","0"
"0","0","1011611524","340","0","10116115","24","0.236","5","450","1","0"
"0","0.4","1011611525","0","1","10116115","25","0","0","0","4","0"
"0","0","1011611526","0","0","10116115","26","1.4","6","120","1","0"
"0","2","1011611527","0","1","10116115","27","0","0","0","4","0"
"0","0","1011611528","120","0","10116115","28","2.853","6","400","1","0"
"0","4.428","1011611529","0","1","10116115","29","0","0","0","4","0"
"vo_won","0","1011611530","0","0","10116115","30","0","0","0","2","vo_won_10116115_03"
"0","0","1011611531","0","0","10116115","31","1.261","7","140","1","0"
"0","1.715","1011611532","0","1","10116115","32","0","0","0","4","0"
"0","0","1011611533","140","0","10116115","33","2.245","7","430","1","0"
"0","2.759","1011611534","0","1","10116115","34","0","0","0","4","0"
"0","0","1011611535","0","0","10116115","35","3.212","8","450","1","0"
"0","3.212","1011611536","0","1","10116115","36","0","0","0","4","0"
"0","0","1011611537","450","0","10116115","37","0.499","8","450","1","0"
"0","2.042","1011611538","0","1","10116115","38","0","0","0","4","0"
"vo_won","0","1011611539","0","0","10116115","39","0","0","0","2","vo_won_10116115_04"
"0","0","1011611540","0","0","10116115","40","0.717","9","77","1","0"
"0","1.491","1011611541","0","1","10116115","41","0","0","0","4","0"
"0","0","1011611542","77","0","10116115","42","2.868","9","363","1","0"
"0","3.897","1011611543","0","1","10116115","43","0","0","0","4","0"
"vo_won","0","1011611544","0","0","10116115","44","0","0","0","2","vo_won_10116115_05"
"0","0","1011611545","363","0","10116115","45","0.179","9","423","1","0"
"0","0.179","1011611546","0","1","10116115","46","0","0","0","4","0"
"0","0","1011611547","0","0","10116115","47","1.979","10","450","1","0"
"0","2.727","1011611548","0","1","10116115","48","0","0","0","4","0"
"0","0","1011611549","450","0","10116115","49","2.432","10","450","1","0"
"0","2.432","1011611550","0","1","10116115","50","0","0","0","4","0"
"0","0","1011611551","0","0","10116115","51","1.321","11","55","1","0"
"0","2.245","1011611552","0","1","10116115","52","0","0","0","4","0"
"vo_won","0","1011611553","0","0","10116115","53","0","0","0","2","vo_won_10116115_06"
"0","0","1011611554","55","0","10116115","54","2.161","11","360","1","0"
"0","3.392","1011611555","0","1","10116115","55","0","0","0","4","0"
"vo_won","0","1011611556","0","0","10116115","56","0","0","0","2","vo_won_10116115_07"
"0","0","1011611557","0","0","10116115","57","0.982","12","235","1","0"
"0","1.563","1011611558","0","1","10116115","58","0","0","0","4","0"
"0","0","1011611559","235","0","10116115","59","1.916","12","450","1","0"
"0","0.8","1011612501","0","1","10116125","1","0","0","0","4","0"
"vo_won","0","1011612502","0","0","10116125","2","0","0","0","2","vo_won_10116125_01"
"0","0","1011612503","0","0","10116125","3","2.458","1","262","1","0"
"0","3.21","1011612504","0","1","10116125","4","0","0","0","4","0"
"0","0","1011612505","262","0","10116125","5","1.255","1","450","1","0"
"0","1.255","1011612506","0","1","10116125","6","0","0","0","4","0"
"0","0","1011612507","0","0","10116125","7","1.63","2","155","1","0"
"0","2.759","1011612508","0","1","10116125","8","0","0","0","4","0"
"vo_won","0","1011612509","0","0","10116125","9","0","0","0","2","vo_won_10116125_02"
"0","0","1011612510","155","0","10116125","10","0.753","2","220","1","0"
"0","1.229","1011612511","0","1","10116125","11","0","0","0","4","0"
"0","0","1011612512","220","0","10116125","12","1.255","2","450","1","0"
"0","1.255","1011612513","0","1","10116125","13","0","0","0","4","0"
"0","0","1011612514","0","0","10116125","14","2.138","3","430","1","0"
"0","2.985","1011612515","0","1","10116125","15","0","0","0","4","0"
"0","0","1011612516","430","0","10116125","16","0.501","3","430","1","0"
"0","0.501","1011612517","0","1","10116125","17","0","0","0","4","0"
"0","0","1011612518","0","0","10116125","18","1.807","4","0","1","0"
"0","2.584","1011612519","0","1","10116125","19","0","0","0","4","0"
"0","0","1011612520","0","0","10116125","20","0.703","4","72","1","0"
"0","1.405","1011612521","0","1","10116125","21","0","0","0","4","0"
"0","0","1011612522","72","0","10116125","22","0.553","4","175","1","0"
"0","0.553","1011612523","0","1","10116125","23","0","0","0","4","0"
"0","0","1011612524","175","0","10116125","24","0.878","4","175","1","0"
"0","1.279","1011612525","0","1","10116125","25","0","0","0","4","0"
"0","0","1011612526","175","0","10116125","26","2.233","4","450","1","0"
"0","3.38","1011612527","0","1","10116125","27","0","0","0","4","0"
"vo_won","0","1011612528","0","0","10116125","28","0","0","0","2","vo_won_10116125_03"
"0","0","1011612529","0","0","10116125","29","2.307","5","255","1","0"
"0","2.859","1011612530","0","1","10116125","30","0","0","0","4","0"
"0","0","1011612531","255","0","10116125","31","1.405","5","450","1","0"
"0","1.832","1011612532","0","1","10116125","32","0","0","0","4","0"
"0","0","1011612533","0","0","10116125","33","3.426","6","400","1","0"
"0","3.912","1011612534","0","1","10116125","34","0","0","0","4","0"
"vo_won","0","1011612535","0","0","10116125","35","0","0","0","2","vo_won_10116125_04"
"0","0","1011612536","0","0","10116125","36","2.534","7","305","1","0"
"0","3.311","1011612537","0","1","10116125","37","0","0","0","4","0"
"0","0","1011612538","305","0","10116125","38","0.979","7","450","1","0"
"0","1.394","1011612539","0","1","10116125","39","0","0","0","4","0"
"0","0","1011612540","0","0","10116125","40","3.346","8","450","1","0"
"0","3.346","1011612541","0","1","10116125","41","0","0","0","4","0"
"0","0","1011612542","0","0","10116125","42","0.828","9","0","1","0"
"0","2.361","1011612543","0","1","10116125","43","0","0","0","4","0"
"vo_won","0","1011612544","0","0","10116125","44","0","0","0","2","vo_won_10116125_05"
