cfa92755aed45d719c44efb00fcec9efdea095e555e76fc22c702ee6b4c8abaa,08165eee8424baaea4ce4a6f4c21ba863f9bf56facd4147b4a550dd46a9e453f,7ae7fa8b8000afd4fd1028069ce2ad527a54ea38dc1130f43193de945585e6a0,d46be016d89d64275d4f6d983fb27eb70375d366b2cebf53a8395b18b3c9f28e,1143d6aefb01271ea500cdbb349d7154e9407ed491dfcac54fb55dd283c01909,74d21f1d01cb372fa366ac80be04c0682754de17e4cc6e802ef0e694b2e70101,d460a15931ce094e5164b80d119df1199fd87b74df60038ba405ab5b3e87ed8d,ae919cf3ba01bf94efd3fe5b331d3bc0b5629755aec4520601efa25ea0bb9d14,9e37d2170f042d62fa0ca4858e415727206c81329b75c9d53cdc0ada71e6b562,326547427f7c19cad49051fb0f2704b960ac545e2953cb5a4161db3faedae543,a2439c0ed7270beceb96883826649882adf6cea6311b905dde8736e6fddcc9ea,ab8412fe64905be21f826448df104d0b47f6e37b79e9423c8881b60b1623ece9
"1009801","1","0","100980101","0.8","0","0","4","0","0","0","1"
"1009801","0","0","100980102","0","vo_lsv_0101","vo_lsv","2","0","0","0","2"
"1009801","0","1","100980103","0","0","0","1","0","300","2","3"
"1009801","1","0","100980104","2.3","0","0","4","0","0","0","4"
"1009801","0","2","100980105","0","0","0","1","0","280","2","5"
"1009801","1","0","100980106","3","0","0","4","0","0","0","6"
"1009801","0","0","100980107","0","vo_lsv_0102","vo_lsv","2","0","0","0","7"
"1009801","0","3","100980108","0","0","0","1","0","300","2.05","8"
"1009801","1","0","100980109","2.05","0","0","4","0","0","0","9"
"1009801","0","4","100980110","0","0","0","1","0","327","1.8","10"
"1009801","1","0","100980111","2.8","0","0","4","0","0","0","11"
"1009801","0","0","100980112","0","vo_lsv_0103","vo_lsv","2","0","0","0","12"
"1009801","0","5","100980113","0","0","0","1","0","300","2.3","13"
"1009801","1","0","100980114","2.5","0","0","4","0","0","0","14"
"1009801","0","6","100980115","0","0","0","1","0","275","1.9","15"
"1009801","1","0","100980116","2.9","0","0","4","0","0","0","16"
"1009801","0","0","100980117","0","vo_lsv_0104","vo_lsv","2","0","0","0","17"
"1009801","0","7","100980118","0","0","0","1","0","300","2.7","18"
"1009801","1","0","100980119","2.9","0","0","4","0","0","0","19"
"1009801","0","8","100980120","0","0","0","1","0","310","2.3","20"
"1009801","1","0","100980121","2.3","0","0","4","0","0","0","21"
"1009801","0","9","100980122","0","0","0","1","0","250","1.8","22"
"1009801","1","0","100980123","2.8","0","0","4","0","0","0","23"
"1009801","0","0","100980124","0","vo_lsv_0105","vo_lsv","2","0","0","0","24"
"1009801","0","10","100980125","0","0","0","1","0","320","2.5","25"
"1009801","1","0","100980126","2.5","0","0","4","0","0","0","26"
"1009801","0","11","100980127","0","0","0","1","15","165","0.7","27"
"1009802","1","0","100980201","0.8","0","0","4","0","0","0","1"
"1009802","0","0","100980202","0","vo_lsv_0201","vo_lsv","2","0","0","0","2"
"1009802","0","1","100980203","0","0","0","1","0","300","1.51","3"
"1009802","1","0","100980204","1.51","0","0","4","0","0","0","4"
"1009802","0","1","100980205","0","0","0","1","300","300","1.5","5"
"1009802","1","0","100980206","2.5","0","0","4","0","0","0","6"
"1009802","0","0","100980207","0","vo_lsv_0202","vo_lsv","2","0","0","0","7"
"1009802","0","2","100980208","0","0","0","1","0","300","1.8","8"
"1009802","1","0","100980209","1.8","0","0","4","0","0","0","9"
"1009802","0","3","100980210","0","0","0","1","0","300","1.1","10"
"1009802","1","0","100980211","2.1","0","0","4","0","0","0","11"
"1009802","0","0","100980212","0","vo_lsv_0203","vo_lsv","2","0","0","0","12"
"1009802","0","4","100980213","0","0","0","1","0","300","1.95","13"
"1009802","1","0","100980214","1.95","0","0","4","0","0","0","14"
"1009802","0","5","100980215","0","0","0","1","0","310","2.05","15"
"1009802","1","0","100980216","2.05","0","0","4","0","0","0","16"
"1009802","0","5","100980217","0","0","0","1","310","310","0.8","17"
"1009802","1","0","100980218","1.8","0","0","4","0","0","0","18"
"1009802","0","0","100980219","0","vo_lsv_0204","vo_lsv","2","0","0","0","19"
"1009802","0","6","100980220","0","0","0","1","0","300","1.7","20"
"1009802","1","0","100980221","2.1","0","0","4","0","0","0","21"
"1009802","0","7","100980222","0","0","0","1","0","327","2.3","22"
"1009802","1","0","100980223","3.3","0","0","4","0","0","0","23"
"1009802","0","0","100980224","0","vo_lsv_0205","vo_lsv","2","0","0","0","24"
