b8981616eb3588c119415bb80bfe0de649de9a24f963cd73cad4ae685f81dd65,e4a1ae8caf39f2997f9434a0213858e6ba5cc98fe937606822d41b01e6544081,54f5929f71f546fa9f2abce533b48065260105f27f40b1dd2d7fbb4117705602,2f4a1b47ada0179c299d1f7f03137b3267d5c508639a0174f4890e2beb6b8b4c,c55974a314c9634f8efd77596c1d9770abd03b5de3d58d1daeaf4b276819846d,575fe110fcebd94024312bcbef775147109b75b071833cc3a3be348f30a692ea,1cc723c849efe6897503914d91687b53b052618d91c8e26270cb3b15a71bba52,16252f5c44235d16b9d58756c8611dadef30b3c92b1e01c8544cab35b82fd482,d0e9ee09ecf13ccc631e2b452f2d93bf41d54bd4433624b2567e1f4e2b523f9a,f8ee17ecf11a09630be9fc7c46c5a63d1110146a6d39e242ed73cf0051f15024,ddad54fd1d98d0ab2ea1a21542dd4a25e70e11876c4bbdba3fbb9ff5ee3a3f59,85eb6eac11694df05eb24aa129b3c49932465e684a8e58cb6a1f77c42ecc306c,13c113ad8347c966257435a86d85ee386b1d2624be5d50c5c80cd84caf9b26cb,f76544af9c720a9a5283c41569b231cedeb81d1d9c0c7229320fe22ba4d7e0cc,cbb325c5fc0e01bed0cb47a641499c0a5a2a9d8e545601b7a4cc7379a1e2079d
"打倒 1 隻惡代官（NORMAL限定）","660014101","9001","1","1","601","99001001","1004110","20014","2019/09/03 16:00:00","99001001","0","2030/04/01 14:59:59","8006","0"
"打倒 1 隻惡代官（HARD限定）","660014201","9001","1","1","601","99001002","1004111","20014","2019/09/03 16:00:00","99001002","0","2030/04/01 14:59:59","8007","0"
"打倒 1 隻惡代官（VERY HARD限定）","660014301","9001","1","1","601","99001003","1004112","20014","2019/09/03 16:00:00","99001003","0","2030/04/01 14:59:59","8010","0"
"打倒 1 隻惡代官（SPECIAL限定）","610041401","9001","1","1","601","99001004","1004113","10041","2019/09/03 16:00:00","99001004","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻貝特魯吉烏斯（NORMAL限定）","610153101","9001","1","1","601","99001005","1005310","10153","2019/10/01 16:00:00","99001005","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻貝特魯吉烏斯（HARD限定）","610153201","9001","1","1","601","99001006","1005311","10153","2019/10/01 16:00:00","99001006","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻貝特魯吉烏斯（VERY HARD限定）","610153301","9001","1","1","601","99001007","1005312","10153","2019/10/01 16:00:00","99001007","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻貝特魯吉烏斯（SPECIAL限定）","610153401","9001","1","1","601","99001008","1005313","10153","2019/10/01 16:00:00","99001008","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻雨神大人（NORMAL限定）","660015101","9001","1","1","601","99001009","1004310","20015","2019/11/01 16:00:00","99001009","0","2030/04/01 14:59:59","8006","0"
"打倒 1 隻雨神大人（HARD限定）","660015201","9001","1","1","601","99001010","1004311","20015","2019/11/01 16:00:00","99001010","0","2030/04/01 14:59:59","8007","0"
"打倒 1 隻雨神大人（VERY HARD限定）","660015301","9001","1","1","601","99001011","1004312","20015","2019/11/01 16:00:00","99001011","0","2030/04/01 14:59:59","8010","0"
"打倒 1 隻雨神大人（SPECIAL限定）","610043401","9001","1","1","601","99001012","1004313","10043","2019/11/01 16:00:00","99001012","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻奄美魔物（NORMAL限定）","660016101","9001","1","1","601","99001017","1004510","20016","2019/12/02 16:00:00","99001017","0","2030/04/01 14:59:59","8006","0"
"打倒 1 隻奄美魔物（HARD限定）","660016201","9001","1","1","601","99001018","1004511","20016","2019/12/02 16:00:00","99001018","0","2030/04/01 14:59:59","8007","0"
"打倒 1 隻奄美魔物（VERY HARD限定）","660016301","9001","1","1","601","99001019","1004512","20016","2019/12/02 16:00:00","99001019","0","2030/04/01 14:59:59","8010","0"
"打倒 1 隻奄美魔物（SPECIAL限定）","610045401","9001","1","1","601","99001020","1004513","10045","2019/12/02 16:00:00","99001020","0","2030/04/01 14:59:59","6011","0"
"在香織的靈魂式空手道場累計獲得 300000 分","0","0","1","1","601","99001021","14","10021","2029/12/02 16:00:00","99001021","0","2030/04/01 14:59:59","6001","0"
"在香織的靈魂式空手道場EXTRA一次獲得 70000 分","0","0","1","1","601","99001022","15","10021","2029/12/02 16:00:00","99001022","0","2030/04/01 14:59:59","6001","0"
"打倒 1 隻劇毒曼德拉草（NORMAL限定）","660017101","9001","1","1","601","99001023","1004710","20017","2020/01/02 16:00:00","99001023","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻劇毒曼德拉草（HARD限定）","660017201","9001","1","1","601","99001024","1004711","20017","2020/01/02 16:00:00","99001024","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻劇毒曼德拉草（VERY HARD限定）","660017301","9001","1","1","601","99001025","1004712","20017","2020/01/02 16:00:00","99001025","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻劇毒曼德拉草（SPECIAL限定）","610047401","9001","1","1","601","99001026","1004713","10047","2020/01/02 16:00:00","99001026","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻幻影男爵（NORMAL限定）","660018101","9001","1","1","601","99001027","1004910","20018","2020/02/04 16:00:00","99001027","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻幻影男爵（HARD限定）","660018201","9001","1","1","601","99001028","1004911","20018","2020/02/04 16:00:00","99001028","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻幻影男爵（VERY HARD限定）","660018301","9001","1","1","601","99001029","1004912","20018","2020/02/04 16:00:00","99001029","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻幻影男爵（SPECIAL限定）","610049401","9001","1","1","601","99001030","1004913","10049","2020/02/04 16:00:00","99001030","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻似龍生物（NORMAL限定）","660019101","9001","1","1","601","99001031","1005110","20019","2020/03/02 16:00:00","99001031","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻似龍生物（HARD限定）","660019201","9001","1","1","601","99001032","1005111","20019","2020/03/02 16:00:00","99001032","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻似龍生物（VERY HARD限定）","660019301","9001","1","1","601","99001033","1005112","20019","2020/03/02 16:00:00","99001033","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻似龍生物（SPECIAL限定）","610051401","9001","1","1","601","99001034","1005113","10051","2020/03/02 16:00:00","99001034","0","2030/04/01 14:59:59","6011","0"
"龍人們的接龍競賽累計分數超過300000分","0","0","1","1","601","99001039","14","10021","2029/04/01 15:00:00","99001039","0","2030/04/01 14:59:59","6001","0"
"龍人們的接龍競賽的字彙圖鑑收集240個字彙","0","0","1","1","601","99001040","15","10021","2029/04/01 15:00:00","99001040","0","2030/04/01 14:59:59","6001","0"
"龍人們的接龍競賽的字彙圖鑑收集480個字彙","0","0","1","1","601","99001041","15","10021","2029/04/01 15:00:00","99001041","0","2030/04/01 14:59:59","6001","0"
"打倒 1 隻復仇者馴鹿（NORMAL限定）","660020101","9001","1","1","601","99001042","1005510","20020","2020/04/01 16:00:00","99001042","0","2030/04/01 14:59:59","6006","0"
"打倒 1 隻復仇者馴鹿（HARD限定）","660020201","9001","1","1","601","99001043","1005511","20020","2020/04/01 16:00:00","99001043","0","2030/04/01 14:59:59","6007","0"
"打倒 1 隻復仇者馴鹿（VERY HARD限定）","660020301","9001","1","1","601","99001044","1005512","20020","2020/04/01 16:00:00","99001044","0","2030/04/01 14:59:59","6010","0"
"打倒 1 隻復仇者馴鹿（SPECIAL限定）","610055401","9001","1","1","601","99001045","1005513","10055","2020/04/01 16:00:00","99001045","0","2030/04/01 14:59:59","6011","0"
"打倒 1 隻山神大人（NORMAL限定）","660021101","9001","1","1","601","99001046","1005710","20021","2020/05/05 16:00:00","99001046","0","2030/04/01 14:59:59","6006","0"
