a7f50810d0d5174ca17324597e11dfadf87b7a16968d4218eeaa634cf86435f8,eb10dd2b90eeebc75032f765a2e200c37827d0dadec9feff11ae99848ad1bf62,31c169219bb5c4f1ce129517cb9f2270d51bd9cc949316cb5b70c6b5937a0720,3d3143fd30be2b08f91f5717a337fc5fea5df9d92e97a86759c09874f9aad111,2e24c6faa8198af0931e431a43ccc3d739edeb7912477d78e8c9964692ef4d1a,06dc69754340129d9909ae83351346edd3efff24fcef885b99dcfc84f351c9b6,afe9f2976e83013af6833e6c7cc65fd2a15d6b5d2e48c1be5bc91c6da1cd492e,32718fd860f2b46de45473d4ce5dd6d082f8aadd3c9df14bca0b26a766e8ff02,51b7ba63d6129246d0c77b905e2546b1ea5e7fbec422be154ef94a8e621ce617,55b38e8bc638c95a2265a953b8a15a9ba22d662b39c15c4d8bdac48eda7aaa07,365959ffffa009d1d943e9f0149dd19ff2123a5d7d9355217d9d454220646ec3
"1","omp_talk_worry","-190","1010001","1","1500","1.8","-140","0","1","112511"
"1","omp_idle_normal","-190","1010002","1","1500","1.8","140","1","1","112411"
"1","","1","1010003","1","0","1","0","","31","1"
"1","","","1010004","1","","","","","93",""
"vo_omp_7001","","","1010005","1","0","","0","","21","vo_omp_7001_000"
"112511","","1","1010006","1","10","","1","","11","卯月，還好嗎？\n連日在外露營會不會累？"
"0","","","1010007","1","","","","","91",""
"112511","","","1010008","1","1","0","","","3","omp_idle_worry"
"112411","","","1010009","1","1","0","","","3","omp_talk_joy1"
"vo_omp_7001","","","1010010","1","0","","0","","21","vo_omp_7001_001"
"112411","","1","1010011","1","10","","1","","11","嗯，我沒事！\n而且我也非常開心\n能夠和大家一起旅行。"
"0","","","1010012","1","","","","","91",""
"112411","","","1010013","1","1","0","","","3","omp_psn_20"
"112511","","","1010014","1","1","0","","","3","omp_talk_normal"
"vo_omp_7001","","","1010015","1","0","","0","","21","vo_omp_7001_002"
"112511","","1","1010016","1","10","","1","","11","這樣啊，\n卯月妳好像無論何時都很開心呢。"
"0","","","1010017","1","","","","","91",""
"112511","","","1010018","1","1","0","","","3","omp_idle_normal"
"112411","","","1010019","1","1","0","","","3","omp_talk_sad"
"vo_omp_7001","","","1010020","1","0","","0","","21","vo_omp_7001_003"
"112411","","1","1010021","1","10","","1","","11","難道說……\n小凜妳不開心嗎？"
"0","","","1010022","1","","","","","91",""
"112411","","","1010023","1","1","0","","","3","omp_idle_sad"
"112511","","1","1010024","1","0","0","omp_idle_surprise1","0.1","3","omp_surprise"
"vo_omp_7001","","","1010025","1","0","","0","","21","vo_omp_7001_004"
"112511","","1","1010026","1","10","","1","","11","咦？為什麼這麼說？\n沒那回事喔。\n我也……非常開心。"
"2.5","","","1010027","1","","","","","93","1"
"112511","","","1010028","1","1","0.2","","","3","omp_talk_normal"
"1010026","","","1010029","1","","","","","91",""
"112511","","","1010030","1","1","0","","","3","omp_idle_normal"
"112411","","","1010031","1","1","0","","","3","omp_talk_joy2"
"vo_omp_7001","","","1010032","1","0","","0","","21","vo_omp_7001_005"
"112411","","1","1010033","1","10","","1","","11","欸嘿嘿♪\n那麼妳就放心吧！\n小凜很開心的話，\n我也會很開心的！"
"0","","","1010034","1","","","","","91",""
"112511","","","1010035","1","1","","","","4","0"
"112411","","","1010036","1","1","0","","","3","omp_psn_20"
"112511","","","1010037","1","1","0","","","3","omp_idle_normal"
"vo_omp_7001","","","1010038","1","0","","0","","21","vo_omp_7001_006"
"112511","","1","1010039","1","10","","1","","11","明明是我在擔心妳……\n卻是我被妳所鼓勵，\n卯月妳果然很厲害呢……"
"0","","","1010040","1","","","","","91",""
"0.4","","","1010041","1","","","","","93",""
"1","omp_idle_normal","-195","1020001","2","1600","1.8","-180","0","1","112511"
"1","omp_talk_normal","-190","1020002","2","1500","1.8","20","1","1","112411"
"1","omp_idle_normal","-205","1020003","2","1600","1.8","220","1","1","112611"
"1","","1","1020004","2","0","1","0","","31","1"
"1","","","1020005","2","","","","","93",""
"vo_omp_7002","","","1020006","2","0","","0","","21","vo_omp_7002_000"
"112411","","1","1020007","2","10","","1","","11","貪吃佩可的魔物料理，\n真的很美味呢♪"
"0","","","1020008","2","","","","","91",""
"112411","","","1020009","2","","","","","4","0"
"112411","","","1020010","2","1","0","","","3","omp_idle_normal"
"112611","","","1020011","2","1","0","","","3","omp_talk_joy1"
"vo_omp_7002","","","1020012","2","0","","0","","21","vo_omp_7002_001"
"112611","","1","1020013","2","10","","1","","11","嗯！不但很美味，\n還有種冒險的醍醐味……\n讓人覺得是很棒的經驗呢！"
"0","","","1020014","2","","","","","91",""
"112611","","","1020015","2","1","0","","","3","omp_idle_joy1"
"112411","","","1020016","2","1","0","","","3","omp_talk_surprise1"
"vo_omp_7002","","","1020017","2","0","","0","","21","vo_omp_7002_002"
"112411","","1","1020018","2","10","","1","","11","可是很不可思議呢！\n外表長成那樣子的魔物，\n竟然能夠變身成一道道美食！"
"0","","","1020019","2","","","","","91",""
"112411","","","1020020","2","","","","","4","1"
"112411","","","1020021","2","1","0","","","3","omp_idle_surprise1"
"112511","","","1020022","2","1","0","","","3","omp_talk_normal"
"vo_omp_7002","","","1020023","2","0","","0","","21","vo_omp_7002_003"
"112511","","1","1020024","2","10","","1","","11","味道超乎想像呢，\n我是指好的方面。"
"0","","","1020025","2","","","","","91",""
"112511","","","1020026","2","1","0","","","3","omp_talk_sad"
"vo_omp_7002","","","1020027","2","0","","0","","21","vo_omp_7002_004"
"112511","","1","1020028","2","10","","1","","11","可是在料理魔物的時候，\n嗯，該怎麼說……"
"0","","","1020029","2","","","","","91",""
"112511","","","1020030","2","1","0","","","3","omp_idle_sad"
"112411","","","1020031","2","1","0","","","3","omp_talk_bitter"
"vo_omp_7002","","","1020032","2","0","","0","","21","vo_omp_7002_005"
"112411","","1","1020033","2","10","","1","","11","……很、很不得了呢！"
"0","","","1020034","2","","","","","91",""
"112411","","","1020035","2","1","0","","","3","omp_idle_bitter"
"112611","","","1020036","2","1","0","","","3","omp_talk_joy1"
"vo_omp_7002","","","1020037","2","0","","0","","21","vo_omp_7002_006"
"112611","","1","1020038","2","10","","1","","11","魔物料理就全權\n交給佩可小姐處理或許\n比較好呢。啊哈哈～"
"0","","","1020039","2","","","","","91",""
"112611","","","1020040","2","1","0","","","3","omp_idle_joy1"
"112511","","","1020041","2","1","0","","","3","omp_talk_bitter"
"vo_omp_7002","","","1020042","2","0","","0","","21","vo_omp_7002_007"
"112511","","1","1020043","2","10","","1","","11","冒險真是深奧呢……"
"0","","","1020044","2","","","","","91",""
"0.4","","","1020045","2","","","","","93",""
"1","omp_talk_joy1","-190","1030001","3","1500","1.8","-140","0","1","112411"
"1","omp_idle_normal","-190","1030002","3","1500","1.8","140","1","1","112611"
"1","","1","1030003","3","0","1","0","","31","1"
"1","","","1030004","3","","","","","93",""
"vo_omp_7003","","","1030005","3","0","","0","","21","vo_omp_7003_000"
"112411","","1","1030006","3","10","","1","","11","未央！\n這附近有各式各樣的魔物，\n好有趣呢！"
"0","","","1030007","3","","","","","91",""
"112411","","","1030008","3","1","0","","","3","omp_psn_20"
"112611","","","1030009","3","1","0","","","3","omp_psn_19"
"vo_omp_7003","","","1030010","3","0","","0","","21","vo_omp_7003_001"
"112611","","1","1030011","3","10","","1","","11","有、有趣嗎～？"
"0","","","1030012","3","","","","","91",""
"112611","","","1030013","3","1","0","","","3","omp_psn_18"
"112411","","","1030014","3","1","0","","","3","omp_talk_joy1"
"vo_omp_7003","","","1030015","3","0","","0","","21","vo_omp_7003_002"
"112411","","1","1030016","3","10","","1","","11","雖然有很多可怕的魔物，\n但是仔細去找，我想也會有像\n皮喵太或小小格里芬先生\n這樣可愛的魔物哦！"
"0","","","1030017","3","","","","","91",""
"112411","","","1030018","3","1","0","","","3","omp_psn_20"
"112611","","","1030019","3","1","0","","","3","omp_talk_joy1"
"vo_omp_7003","","","1030020","3","0","","0","","21","vo_omp_7003_003"
"112611","","1","1030021","3","10","","1","","11","原來是那樣啊。\n不對，慢著島村村，\n小小格里芬或許還稱得上可愛，\n可是皮喵……算可愛嗎～？"
"1.5","","","1030022","3","","","","","93","1"
"112611","","","1030023","3","1","0.2","","","3","omp_psn_19"
"1030021","","","1030024","3","","","","","91",""
"112611","","","1030025","3","1","0","","","3","omp_psn_18"
"112411","","","1030026","3","1","0","","","3","omp_talk_joy1"
"vo_omp_7003","","","1030027","3","0","","0","","21","vo_omp_7003_004"
"112411","","1","1030028","3","10","","1","","11","很可愛啊～\n不知道能不能用我們的歌聲\n吸引很多的\n皮喵太過來呢？"
"0","","","1030029","3","","","","","91",""
"112411","","","1030030","3","1","0","","","3","omp_psn_20"
"112611","","","1030031","3","1","0","","","3","omp_psn_19"
"vo_omp_7003","","","1030032","3","0","","0","","21","vo_omp_7003_005"
"112611","","1","1030033","3","10","","1","","11","哎呀～不好說呢，\n皮喵感覺是\n世上唯一一個……\n不如說是希望只有牠一個……"
"0","","","1030034","3","","","","","91",""
"112611","","","1030035","3","1","0","","","3","omp_psn_18"
"112411","","","1030036","3","1","0","","","3","omp_talk_joy2"
"vo_omp_7003","","","1030037","3","0","","0","","21","vo_omp_7003_006"
"112411","","1","1030038","3","10","","1","","11","啊，確實是呢！\n首先得讓陪著我們的皮喵太\n認可我們才行呢♪"
"0","","","1030039","3","","","","","91",""
"112411","","","1030040","3","1","0","","","3","omp_psn_20"
"112611","","","1030041","3","1","0","","","3","omp_talk_sad"
"vo_omp_7003","","","1030042","3","0","","0","","21","vo_omp_7003_007"
"112611","","1","1030043","3","10","","1","","11","我不是那個意思……\n不過妳放棄吸引牠們的話，\n那就這樣吧！\n照這股氣勢加油吧，島村村！"
"6","","","1030044","3","","","","","93","1"
"112611","","","1030045","3","1","0.2","","","3","omp_talk_joy2"
"1030043","","","1030046","3","","","","","91",""
"112611","","","1030047","3","1","0","","","3","omp_idle_joy2"
"112411","","","1030048","3","1","0","","","3","omp_talk_joy2"
"vo_omp_7003","","","1030049","3","0","","0","","21","vo_omp_7003_008"
"112411","","1","1030050","3","10","","1","","11","好的！\n一起加油吧！"
"0","","","1030051","3","","","","","91",""
"0.4","","","1030052","3","","","","","93",""
"1","omp_talk_normal","-195","1040001","4","1600","1.8","-180","0","1","105831"
"1","omp_idle_normal","-190","1040002","4","1500","1.8","20","1","1","105931"
"1","omp_idle_normal","-205","1040003","4","1600","1.8","220","1","1","106031"
"1","","1","1040004","4","0","1","0","","31","1"
"1","","","1040005","4","","","","","93",""
"vo_omp_7004","","","1040006","4","0","","0","","21","vo_omp_7004_000"
"105831","","1","1040007","4","10","","1","","11","機會難得，\n我們要不要也來\n當當看偶像啊？"
"0","","","1040008","4","","","","","91",""
"105831","","","1040009","4","1","0","","","3","omp_idle_normal"
"105931","","","1040010","4","1","0","","","3","omp_talk_normal"
"vo_omp_7004","","","1040011","4","0","","0","","21","vo_omp_7004_001"
"105931","","1","1040012","4","10","","1","","11","偶像團體\n【美食殿堂】嗎？\n感覺很有趣呢。"
"0","","","1040013","4","","","","","91",""
"105931","","","1040014","4","","","","","4","0"
"105931","","","1040015","4","1","0","","","3","omp_idle_normal"
"106031","","1","1040016","4","0","0","omp_idle_surprise1","","3","omp_surprise"
"vo_omp_7004","","","1040017","4","0","","0","","21","vo_omp_7004_002"
"106031","","1","1040018","4","10","","1","","11","咦！？真的嗎…！？\n不、不對，\n妳們是笨蛋嗎！？"
"2","","","1040019","4","","","","","93","1"
"106031","","","1040020","4","1","0.1","","","3","omp_talk_tsun"
"1040018","","","1040021","4","","","","","91",""
"106031","","","1040022","4","1","0","","","3","omp_talk_tsun"
"vo_omp_7004","","","1040023","4","0","","0","","21","vo_omp_7004_003"
"106031","","1","1040024","4","10","","1","","11","看著她們三個人，\n妳們還不懂偶像\n有多辛苦嗎？"
"0","","","1040025","4","","","","","91",""
"106031","","","1040026","4","1","0","","","3","omp_idle_tsun"
"105931","","","1040027","4","1","0","","","3","omp_talk_worry"
"vo_omp_7004","","","1040028","4","0","","0","","21","vo_omp_7004_004"
"105931","","1","1040029","4","10","","1","","11","話是那麼說沒錯……\n不過實在是太叫人好奇了呢。"
"0","","","1040030","4","","","","","91",""
"105931","","","1040031","4","","","","","4","1"
"105931","","","1040032","4","1","0","","","3","omp_idle_worry"
"105831","","","1040033","4","1","0","","","3","omp_talk_joy1"
"vo_omp_7004","","","1040034","4","0","","0","","21","vo_omp_7004_005"
"105831","","1","1040035","4","10","","1","","11","就如小可蘿所說的！\n好，那來練習招牌姿勢吧！\n耶～！"
"5.5","","","1040036","4","","","","","93","1"
"105831","","","1040037","4","0","0.2","","","3","omp_psn_11"
"1040035","","","1040038","4","","","","","91",""
"105931","","","1040039","4","1","0","","","3","omp_talk_normal"
"vo_omp_7004","","","1040040","4","0","","0","","21","vo_omp_7004_006"
"105931","","1","1040041","4","10","","1","","11","好的♪\n如此這般，耶……！"
"1.5","","","1040042","4","","","","","93","1"
"105931","","1","1040043","4","0","0.2","","","3","omp_psn_11"
"1040041","","","1040044","4","","","","","91",""
"105931","","","1040045","4","","","","","4","0"
"105931","","","1040046","4","1","0","","","3","omp_idle_normal"
"105831","","","1040047","4","1","0.2","","","3","omp_idle_joy1"
"106031","","","1040048","4","1","0","","","3","omp_idle_tsun"
