d0526832ce12bf33c897c65ad14e180c6c5b0cd350ba7f30f45971e8122f759e,2ea7fc6afe8aeb28482a27d56087bb4add7e3cb64761a82c5c75e92148f7545a,33e53c59d364c1f40c520d0545748aafff69b8b28ed582d4477c48965321f482,c6c9c4db0b24eb3262beca8902440996261b771282537bd876fe1dc5af0ce85e,688f78339799d47fefd742c2ebd12a4eab3ac67f6ec068eeeb109b1d6cc269f7,ca5d8e1f7a6f2fe6408e407ba8c52a9c140edc66f2de07877255831594e93e42,3d7058c135cc3e964c0396d854ad5eef90b89c04b745174c26e7dc104bd32379,00ddac583f0585e11b3177db33a503f2acf0557e1013e6b8c9e01e09ec710f94,63679609f053aeefd2d89b8b88fc1a32bdb63df0a8eb5ae1f0d461497a3ae581
"2","1","","23001","2","1","1","21600",""
"2","2","","23001","3","1","1","19800",""
"2","3","","23001","3","1","1","18000",""
"2","4","","23001","3","1","1","16200",""
"2","5","","23001","4","1","1","14400",""
"2","6","","23001","4","1","1","12960",""
"2","7","","23001","5","1","1","11520",""
"2","8","","23001","6","1","1","10080",""
"2","9","","23001","7","1","1","8640",""
"2","10","","23001","8","1","1","7200",""
"2","11","","23001","10","1","1","5760",""
"2","12","","23001","12","1","1","5040",""
"2","13","","23001","14","1","1","4320",""
"2","14","","23001","16","2","1","7200",""
"2","15","","23001","18","2","1","5400",""
"2","16","","23001","18","2","1","5040",""
"2","17","","23001","18","2","1","4800",""
"2","18","","23001","20","2","1","4500",""
"2","19","","23001","20","2","1","4320",""
"2","20","","23001","24","3","1","6000",""
"2","21","","23001","48","3","1","5700",""
"2","22","","23001","48","3","1","5400",""
"2","23","","23001","51","3","1","5220",""
"2","24","","23001","54","3","1","4980",""
"2","25","","23001","54","3","1","4800",""
"2","26","","23001","60","3","1","4500",""
"2","27","","23001","60","3","1","4320",""
"2","28","","23001","63","3","1","4200",""
"2","29","","23001","64","4","1","5400",""
"2","30","","23001","68","4","1","5220",""
"2","31","","23001","72","4","1","5040",""
"2","32","","23001","72","4","1","4920",""
"2","33","","23001","72","4","1","4800",""
"2","34","","23001","76","4","1","4680",""
"2","35","","23001","80","4","1","4500",""
"2","36","","23001","80","4","1","4320",""
"6","1","","93001","80","20","2","21600",""
"6","2","","93001","96","24","2","21600",""
"6","3","","93001","112","28","2","21600",""
"6","4","","93001","120","30","2","21600",""
"6","5","","93001","128","32","2","21600",""
"6","6","","93001","136","34","2","21600",""
"6","7","","93001","144","36","2","21600",""
"6","8","","93001","152","38","2","21600",""
"6","9","","93001","160","40","2","21600",""
"6","10","","93001","168","42","2","21600",""
"6","11","","93001","176","44","2","21600",""
"6","12","","93001","184","46","2","21600",""
"6","13","","93001","192","48","2","21600",""
"6","14","","93001","200","50","2","21600",""
"6","15","","93001","208","52","2","21600",""
"6","16","","93001","216","54","2","21600",""
"6","17","","93001","224","56","2","21600",""
"6","18","","93001","232","58","2","21600",""
"6","19","","93001","240","60","2","21600",""
"6","20","","93001","248","62","2","21600",""
"6","21","","93001","256","64","2","21600",""
"6","22","","93001","264","66","2","21600",""
"6","23","","93001","272","68","2","21600",""
"6","24","","93001","280","70","2","21600",""
"6","25","","93001","288","72","2","21600",""
"6","26","","93001","296","74","2","21600",""
"6","27","","93001","304","76","2","21600",""
"6","28","","93001","312","78","2","21600",""
"6","29","","93001","320","80","2","21600",""
"6","30","","93001","328","82","2","21600",""
"6","31","","93001","336","84","2","21600",""
"6","32","","93001","340","85","2","21600",""
"6","33","","93001","344","86","2","21600",""
"6","34","","93001","348","87","2","21600",""
"6","35","","93001","352","88","2","21600",""
"6","36","","93001","356","89","2","21600",""
"2","1","","20001","3","1","3","14400",""
"2","2","","20001","5","1","3","9600",""
"2","3","","20001","7","1","3","7200",""
"2","4","","20001","10","1","3","5400",""
"2","5","","20001","15","1","3","3600",""
"2","6","","20002","6","1","3","9600",""
"2","7","","20002","8","1","3","7200",""
