fbb80d375f1d1e40fc8da6d3a538da8647e66c51a07803ceb68db70f6f0e9788,9b12e4ae3594befed97abb6065c62209e7b985f143338a3ccf8dd61017cfc0a1,a8c1d78f67fa19a7f9edf71e6a1a977b9fce4101dec12bd2f91f040e95464c2e,7233472d8952580818c6dfce87c8bf9f8d5b746ac54c58dd11abda622be950dc,db0b1aed8d05d97db5a27df57f00e5e7d36737c3ca6ada1ed6beb1590116fc82,049eeb48c421cbacfc274d6b4a5b0d2f36a563a4281de215fa5d5c079640b331,27f4e8006077370d7df8f685a25781cd7137c07ac60e3de458316ec2b070d0ee,5e7162a8b576905ca1c26e0fbba1e72c661006838362db10c4cade57859910ff,c5d358cd740a5f780d79d25f9592a1f18dcc584f6cb330d2ff6585136670d9a1,7976e3fdada38f1a54ac23c8d4c102d160f0e717ed49a553876289f970ed9e4c,23e726d0575f95ee65a31b4cf40e894764c39bf0f098a2cfb2dab0e91dc33236,d0f35cdd0788ce0e980faf5ac68704dd4e8a055801eb9b4887e260a8b8cc06c6,5d7c9374127b55c80b28c277511219b300a6949304c402a90e546c86fb9b44bb,50724471eab660b9cafd08c9788fa03e31d3457b820f63a01b8720e06807fc11,7cf19d61a759191d463fec820fa9f0c1d250c363fffad6b8e67dfd68275af8be,ff74ee617e33157245e3d9340f7a3d70a893f06bf74a225f719f874ff5d41c64,89f0d1527a6f7de44df15d5915a5f63e9a915f5fa607b339066888d12172f486,28dc53c15b5018d37fd90bca154fb79927a00b9c877e10067d7324851974b0dd
"94002","0","91002","150","2","150000","22003","5","0","12","1","2","5","8","1","0","20","20003"
"94002","0","91002","145","2","100000","22003","9","0","12","6","2","2","8","2","0","15","20003"
"94002","0","91002","140","2","80000","22002","19","0","12","10","2","5","8","3","0","11","20003"
"94002","0","91002","130","2","80000","22002","29","0","12","20","2","5","8","4","0","10","20003"
"94002","0","91002","120","2","70000","22002","39","0","12","30","2","4","8","5","0","9","20003"
"94002","0","91002","110","2","70000","22002","49","0","12","40","2","4","8","6","0","8","20003"
"94002","0","91002","100","2","60000","22002","99","0","12","50","2","3","8","7","0","7","20003"
"94002","0","91002","80","2","40000","22002","499","0","12","100","2","2","8","8","0","2","20003"
"94002","0","91002","50","2","20000","22002","999","0","12","500","2","1","8","9","0","7","20002"
"94002","0","91002","20","2","16000","22001","4999","0","12","1000","2","3","8","10","0","4","20002"
"94002","0","91002","15","2","9000","22001","9999","0","12","5000","2","2","8","11","0","3","20002"
"94002","0","91002","10","2","4000","22001","11999","0","12","10000","2","1","8","12","0","8","20001"
"94002","0","91002","5","2","3000","22001","13999","0","12","12000","2","1","8","13","0","7","20001"
"94002","0","91002","4","2","2000","22001","14999","0","12","14000","2","1","8","14","0","6","20001"
"94002","0","91002","3","2","1800","22001","30000","0","12","15000","2","1","8","15","0","5","20001"
