60b08602c535e6a6ab6e0b0a88cc53032964942dec1cbdcbffb45ea68f7f6db1,e2fecad82fa4bbe14ba61befe8a52e4d530c2d32bf63a28b7344840dfd35e253,0f186ababdea32e156a82f85455b00f3a8fb33919cdb575fddeb0623ecea233f,6d25e45151bab227c43dff0627ac5cfdf0d1de0ed97869db05cd68244433ff5c,d8d261bd7ef6caf545084f888172a2aacd563f327e73d6f3dc8023f8a49880f5,e4fe48f9a01631f0a7c34dc9433bc138cdcd8aeff287967d65d562fe077fc581,2fb2865fc74c6dc9ff32e0515893af3667f02dda12cba78fbf216a5fa2190efb,2c411f522d1ebb2e9589529e693827fd6bbf052944182ad1a57a8e9ab268ba21,b997b60e353487e965b79e871fa2dced282e88263bca7fe39af3cc88b759245d,51889032933f9e993ee1a43bf6862a93ac68e7fb226723d80c215021f01bf1c6,0d9d96dae81914a43d72feddca6e8feb77ae9f72f358a4693557cda2432136f5,ddba239e7af5378b2b30175bf92bb00851dad2bae74d8effdb24a00212e642fb,cd8ce25ad2a6499c4f9f4f73cc239df4d9445ed75c16b80a9fb2f38b8244913d,73a4a23452ae9b6cb76173184cf17b120cc326bf0137f7737c4cde6a2c520a40
"1","1","7","1","1","-1","1001","30","6","4","1","1","1","30"
"1","1","11","1","1","-1","1002","60","6","31","1","1","1","60"
"1","1","15","1","1","-1","1003","90","6","61","1","1","1","90"
"1","1","19","1","1","-1","1004","120","6","91","1","1","1","120"
"1","1","23","1","1","-1","1005","150","6","121","1","1","1","150"
"1","1","27","1","1","-1","1006","180","6","151","1","1","1","180"
"1","1","29","1","1","-1","1007","210","6","181","1","1","1","210"
"1","1","31","1","1","-1","1008","240","6","211","1","1","1","240"
"1","1","31","1","1","-1","1009","270","6","241","1","1","1","270"
"1","1","31","1","1","-1","1010","300","6","271","1","1","1","300"
"1","1","31","1","1","-1","1011","-1","6","301","1","1","1","310"
"1","1","7","2","1","-1","1101","30","5","4","1","1","1","30"
"1","1","11","2","1","-1","1102","60","5","31","1","1","1","60"
"1","1","15","2","1","-1","1103","90","5","61","1","1","1","90"
"1","1","19","2","1","-1","1104","120","5","91","1","1","1","120"
"1","1","23","2","1","-1","1105","150","5","121","1","1","1","150"
"1","1","27","2","1","-1","1106","180","5","151","1","1","1","180"
"1","1","29","2","1","-1","1107","210","5","181","1","1","1","210"
