a177721149de62c103d21d35043936ba71d5ba6791d6381e6d2d239d746c6928,f523330c614d942683db0391736ddc7d8906391b6cddb02e4025f9bc89e1b5d6,ff433f2dd2358813eb236d6f3844f7064d35e3322fec6f8501b05e29eaac537a,d7c61bdc07d7b28e99b8d682138f63ce0b59b73e57853be902558e1c36db3d75,426bd661a39d0c6551645c3ea0ee1b9ebc6467ef5bafb6b79cfedcedf2075800,1736cd728cb63f821e803621069375abc1daf771bb6e6b288d22bc3cb1f62fd0,2a75f0d2265f58e68024702ca9fe9f14c839725a416e6c040b43edbfe94e4870,f016410917a598aac65f7dee2064eb05e707de037085493b732af66afedf9207,c6f6bfdb8e1bba2d7997b27d33a433b4fece74ca0c5464097f0baf38112673e8,5b7184949e88cbe5beb2b80e319b420f86b2b0511ea718771a16f2637a3bb1a4,46966e6e52d760cfd0a607d389f3fbdf4993d0b24e546f246fbedbb632b43888,7b5e9f4e847a49abd92855e5c667f95af6470760ad1b0d5d64ee0ac3e941b57d,5e789598731bd00526151c3808786ede99b2665d7f9ac0ccec2458f5472aa674,e6febd97eb38f36b83a606c7ce5f757c23968377c67b6dae0de3e0771401c22b
"1","126401","1.47","2002","2","0","1","歡迎光臨♪\n可以利用巡遊幣\n來購物喔！","10001","1","-470","2024/01/16 15:59:59","2023/11/01 16:00:00","克蘿茜"
"2","126401","2.15","2002","1","0","2","這邊有許多很棒的商品\n還請在這裡\n盡情購買喔♪","10002","1","-470","2024/01/16 15:59:59","2023/11/01 16:00:00","克蘿茜"
"1","126501","0","2002","2","0","2","歡迎來到商店\n在這裡可以使用巡遊幣\n來進行購物喔","10003","1","-470","2024/01/16 15:59:59","2023/11/01 16:00:00","萊拉耶爾"
"2","126501","0","2002","1","0","1","還請在此商店\n購買東西，\n享受愉快的旅途吧","10004","1","-470","2024/01/16 15:59:59","2023/11/01 16:00:00","萊拉耶爾"
"1","127702","0","2002","2","0","2","歡迎光臨\n可以利用巡遊幣\n來買東西喔","10005","2","-470","2024/04/23 15:59:59","2024/01/16 16:00:00","琳德"
"2","127702","0","2002","2","0","2","商店內都打掃乾淨了\n作為公主殿下直屬的商店\n這點小事也是理所當然的","10006","2","-470","2024/04/23 15:59:59","2024/01/16 16:00:00","琳德"
"1","127802","0","2002","1","0","1","歡迎來到商店\n可以利用巡遊幣交換物品\n如果可以的話，還請蒞臨使用","10007","2","-470","2024/04/23 15:59:59","2024/01/16 16:00:00","烏爾姆"
"2","127802","6.5","2002","1","0","2","為什麼要來看店…\n算了，我做就是了\n請選擇喜歡的東西吧","10008","2","-470","2024/04/23 15:59:59","2024/01/16 16:00:00","烏爾姆"
"1","129602","0","2002","1","0","2","──歡迎光臨\n要買東西也可以\n只要有足夠的巡遊幣","10009","3","-470","2024/07/23 15:59:59","2024/04/16 16:00:00","安涅默涅"
"2","129602","0","2002","1","0","2","──想看我多笑一點？\n這世上可是有花多少錢也買不到的東西","10010","3","-470","2024/07/23 15:59:59","2024/04/16 16:00:00","安涅默涅"
