39949407b12b7df15fb45ad004367f2dce64efc2a434de33b5097ee5b10a8aaf,b114126fa2538c422f910b3ffbea0c057098d541c451d8d9f8e9e598e48c9ab4,07be2b66fc77f8faffbdc5d43b756e62d8dfe54e5eff5d59c2e11a3faece7bfb
"6101321","1","118001"
"6101322","2","105801"
"6101323","3","107501"
"6101324","4","111801"
"6101325","5","121001"
"6101326","6","180401"
"6101327","7","127901"
"6101341","8","106601"
"6101341","9","116501"
"6101341","10","121601"
"6101341","11","128301"
"6101341","12","180701"
"6101342","13","101401"
"6101342","14","101201"
"6101342","15","112201"
"6101342","16","115701"
"6101342","17","113401"
"6101342","18","128401"
"6101343","19","106601"
"6101343","20","116501"
"6101343","21","121601"
"6101343","22","128301"
"6101344","23","101401"
"6101344","24","101201"
"6101344","25","112201"
"6101344","26","115701"
"6101344","27","113401"
"6101344","28","128401"
"6101345","29","180701"
"6101361","30","100101"
"6101361","31","100301"
"6101361","32","108701"
"6101362","33","122401"
"6101362","34","180101"
"6101362","35","128701"
"6101361","36","108901"
"6101362","37","114001"
"6101362","38","122501"
"6101362","39","180301"
"6101362","40","128801"
"6101363","41","100201"
"6101363","42","108801"
"6101363","43","115601"
"6101363","44","122601"
"6101363","45","180201"
"6101363","46","128901"
"6101364","47","100101"
"6101364","48","100301"
"6101364","49","100201"
"6101364","50","108701"
"6101364","51","108901"
"6101364","52","108801"
"6101365","53","100101"
"6101365","54","108701"
"6101365","55","122401"
"6101365","56","180101"
"6101365","57","128701"
"6101366","58","100201"
"6101366","59","100301"
"6101366","60","108801"
"6101366","61","115601"
"6101366","62","122601"
"6101366","63","180201"
"6101366","64","128901"
"6101366","65","108901"
"6101366","66","114001"
"6101366","67","122501"
"6101366","68","180301"
"6101366","69","128801"
"6101367","70","108901"
"6101368","71","100201"
"6101368","72","108801"
"6101402","73","110801"
"6101401","74","110901"
"6101401","75","116301"
"6101402","76","110801"
"6101402","77","116201"
"6101403","78","111001"
"6101403","79","116401"
"6101403","80","129301"
"6101404","81","110901"
"6101405","82","116301"
"6101421","83","102701"
"6101421","84","104301"
"6101421","85","109001"
"6101421","86","117001"
"6101421","87","110401"
"6101421","88","115901"
"6101421","89","129801"
"6101422","90","102701"
"6101423","91","104301"
"6101424","92","109001"
"6101441","93","103601"
"6101441","94","130701"
"6101442","95","111101"
"6101442","96","122701"
"6101443","97","102501"
"6101443","98","107701"
"6101443","99","112101"
"6101444","100","180801"
"6101461","101","101001"
"6101461","102","110601"
"6101461","103","123101"
"6101461","104","131001"
"6101462","105","101001"
"6101462","106","110601"
"6101462","107","116001"
"6101463","108","123101"
"6101464","109","110601"
"6101464","110","131001"
"6101465","111","102301"
"6101465","112","106601"
"6101465","113","102101"
"6101465","114","126401"
"6101466","115","126101"
"6101467","116","110601"
"6101468","117","116001"
"6101469","118","131001"
"6101481","119","123301"
"6101481","120","125801"
"6101481","121","131101"
"6101482","122","118201"
"6101482","123","118101"
"6101482","124","131201"
"6101482","125","126901"
"6101483","126","123301"
"6101483","127","131101"
"6101484","128","118101"
"6101484","129","125801"
"6101485","130","118201"
"6101485","131","126901"
"6101501","132","123001"
"6101501","133","106701"
"6101501","134","131701"
"6101502","135","127001"
"6101502","136","113601"
"6101502","137","107501"
"6101502","138","122801"
"6101502","139","122501"
"6101503","140","106701"
"6101503","141","131701"
"6101504","142","123001"
"6101504","143","106701"
"6101504","144","131701"
"6101504","145","113601"
"6101504","146","107501"
"6101504","147","124501"
"6101504","148","122801"
"6101504","149","122501"
"6101505","150","123001"
"6101505","151","106701"
"6101505","152","131701"
"6101505","153","127001"
"6101505","154","113601"
"6101505","155","107501"
"6101505","156","124501"
"6101505","157","122801"
"6101505","158","122501"
