0325dff868d464d9d522c8311f93d0f61a8df488ec699ad48d06c973f0645a5d,60ff6a88744d772f61f0c0b10b88e316da04000ff370b7d44f8b34418b3da78e,b022c544363a0f7249c68ec9656fb48dbfcfd35d28db52ed6289ab76675b4973,480261937a06c83ba09225a6bcb090ec8d1f4c84faa86b3fecea5251fc167744
"界雷","137","小幅度提升魔法攻擊的傷害，並造成進行物理攻擊的角色每次行動時最高HP的傷害，最大為99999。","2017"
"百花繚亂","146","經過一定的時間後，中幅度回復我方及敵人全體ＴＰ。","2017"
"炎天烈日","147","經過一定的時間後，依照其最大ＨＰ，對敵人、我方全體造成最大20萬的比例傷害。同時被施加的持續傷害將會上升。","2017"
"秋高馬肥","148","經過一定的時間後，提升敵人、我方全體的物理攻擊力、魔法攻擊力、物理防禦力、魔法防禦力。此效果的效果量會隨著敵人、我方的數量總和而增加。","2017"
"寒氣凜冽","149","小幅度降低敵人、我方全體的行動速度。此技能的效果可與其他行動速度變化技能疊加，同時在經過一定時間後，對行動速度低於初期數值的角色施加凍結狀態。","2017"
"妨魔塵","162","小幅度降低魔法攻擊的傷害。","2017"
"雷雲","164","每當經過一定時間，對敵方全體依照最大ＨＰ造成魔法比例傷害。同時，當角色的ＨＰ低於50％時，賦予麻痺狀態。此效果造成的傷害，將不會恢復TP。此效果所造成的狀態異常，即使傷害無效也會賦予狀態。","2017"
"暴風","169","經過一定的時間後，擊退全體敵人。","2017"
"豪雨","170","每當經過一定時間，小幅度降低敵方全體的行動速度直到戰鬥結束。同時，小幅度降低物理攻擊力與魔法攻擊力直到戰鬥結束。","2017"
"絕冰","175","小幅度提升物理攻擊暴擊時的傷害。","2017"
"雷雲","186","每當經過一定時間，對敵方全體依照最大ＨＰ造成魔法比例傷害。此效果造成的傷害，將不會恢復TP。","2017"
"忌火","207","延長造成持續傷害的狀態異常的傷害發生間隔與效果時間","2017"
"瑪那的脈流","228","經過一定的時間後，提升敵人、我方全體的物理攻擊力、魔法攻擊力。此效果的效果量會隨著當前目標的物理攻擊力、魔法攻擊力而增加。","2017"
