3f24385b9b8913376a22ed16bd4dff18248deea7506edf679b4a89bcfdf09e79,eb41515f30507a44fef67c0ea65a2e2e1a2c27a4dd916b52c653f589050a45cd,76e770fa34e00d37505dc70dafe52403d2e0d1d7f116a8b3df2a15d25a674da8,e0412c67f3dea8248ccaec27969e75daeaa808ee220a7682356704711778a07c,bfb718c90f1c8259c9c2d9fab02470f93b095454e828f81db3b640604c0f3204,2d8024c87099eaecf588baa1eb094358e862cce037fa4e8b916685de53828785,dd9646b5df8748a6fc65fe1ebc328c9abb47bbe90d88d450110163e5f10785d6,a418b78a752af515a6aa68de60b4f1412fd4e3bf4d9175a11d7b5bf53cd262d8,a8ce07a3521436af3929de2891bb6f217d9f84efe220aac594b0b33012ed083a,8033b378493735014a41af201d72bc8b6bedbe7ca3cbec9db5b8721af498bfad,0b912739068d8f914b08dadbc36aecd549d38ab95363d60cbd952f1c331ec2db,caefd4ee06d9e6d39fbafdc07f4b77529c4c70a5b1966bd822d0522022fb4086,cad8494481fbfea45bc012259e9ebd8391c96d66504dcf2a5e8c4bcbb3e06445
"","","1","","","","29","3100101","","","","","31001_01"
"","","30","","","","59","3100101","","","","","31001_03"
"","","60","","","","-1","3100101","","","","","31001_05"
"","","1","","","","29","3100102","31001_01","","","","31001_01"
"","","30","","","","59","3100102","31001_03","","","","31001_03"
"","","60","","","","-1","3100102","31001_05","","","","31001_05"
"","","1","","","","29","3100103","31001_01","","31001_01","","31001_01"
"","","30","","","","59","3100103","31001_03","","31001_03","","31001_03"
"","","60","","","","-1","3100103","31001_05","","31001_05","","31001_05"
"","","1","","","31001_01","29","3100104","31001_01","","31001_01","","31001_01"
"","","30","","","31001_03","59","3100104","31001_03","","31001_03","","31001_03"
"","","60","","","31001_05","-1","3100104","31001_05","","31001_05","","31001_05"
"","","1","","","","29","3100201","61003_02","","","","61003_01"
"","","30","","","","49","3100201","61003_04","","","","61003_03"
"","","50","","","","79","3100201","61003_06","","","","61003_05"
"","","80","","","","99","3100201","61003_08","","","","61003_07"
"","","100","","","","109","3100201","61003_10","","","","61003_09"
"","","110","","","","119","3100201","61003_12","","","","61003_11"
"","","120","","","","129","3100201","61003_14","","","","61003_13"
"","","130","","","","139","3100201","61003_16","","","","61003_15"
"","","140","","","","149","3100201","61003_18","","","","61003_17"
"","","150","","","","159","3100201","61003_20","","","","61003_19"
"","","160","","","","169","3100201","61003_22","","","","61003_21"
"","","170","","","","179","3100201","61003_24","","","","61003_23"
"","","180","","","","189","3100201","61003_26","","","","61003_25"
"","","190","","","","199","3100201","61003_28","","","","61003_27"
"","","200","","","","209","3100201","61003_30","","","","61003_29"
"","","210","","","","219","3100201","61003_32","","","","61003_31"
"","","220","","","","229","3100201","61003_34","","","","61003_33"
"","","230","","","","239","3100201","61003_36","","","","61003_35"
"","","240","","","","249","3100201","61003_38","","","","61003_37"
"","","250","","","","259","3100201","61003_40","","","","61003_39"
"","","260","","","","269","3100201","61003_42","","","","61003_41"
"","","270","","","","279","3100201","61003_44","","","","61003_43"
"","","280","","","","289","3100201","61003_46","","","","61003_45"
"","","290","","","","299","3100201","61003_48","","","","61003_47"
"","","300","","","","309","3100201","61003_50","","","","61003_49"
"","","310","","","","319","3100201","61003_52","","","","61003_51"
"","","320","","","","329","3100201","61003_54","","","","61003_53"
"","","330","","","","339","3100201","61003_56","","","","61003_55"
"","","340","","","","-1","3100201","61003_58","","","","61003_57"
