38e08e6020adbf2be118be0c508c92515c0814dad5a41a3ac21eefd0fe784921,6f35cd019edba889c1bf4ae4d05ad3afbc245ae868df08d273d3312d39f2c7fc,1b66efbcca3f408d7a47430a5cbd4fed209993652e761973b7c00b04a7f9758e,d4a4139bce5dcd2b99b094c8fd771564ce1699a4166391485b95f48593722fce,3e4c50b06b45b1a5b90598fdd00e3931185df1e218280118147934ef41bde863
"100101","5000000","94002","12","1"
"100102","2000","90008","2","2"
"100103","20","25001","2","3"
"100104","2500","90008","2","4"
"100105","30","25001","2","5"
"100106","300","91002","8","6"
"100107","1","41000","2","7"
"100108","5000000","94002","12","8"
"100109","1000000","94002","12","9"
"100110","1000000","94002","12","10"
"100111","1000000","94002","12","11"
"100112","400","20004","2","12"
"100113","300","20004","2","13"
"100114","200","20004","2","14"
"100115","1000000","94002","12","15"
"100116","1000000","94002","12","16"
"100117","1000000","94002","12","17"
"100118","400","20004","2","18"
"100119","300","20004","2","19"
"100120","200","20004","2","20"
"100121","1000000","94002","12","21"
"100122","1000000","94002","12","22"
"100123","1000000","94002","12","23"
"100124","400","20004","2","24"
"100125","300","20004","2","25"
"100126","200","20004","2","26"
"100201","5000000","94002","12","27"
"100202","2000","90008","2","28"
"100203","20","25001","2","29"
"100204","2500","90008","2","30"
"100205","30","25001","2","31"
"100206","300","91002","8","32"
"100207","1","41000","2","33"
"100208","5000000","94002","12","34"
"100209","1000000","94002","12","35"
"100210","1000000","94002","12","36"
"100211","1000000","94002","12","37"
"100212","400","20004","2","38"
"100213","300","20004","2","39"
"100214","200","20004","2","40"
"100215","1000000","94002","12","41"
"100216","1000000","94002","12","42"
"100217","1000000","94002","12","43"
"100218","400","20004","2","44"
"100219","300","20004","2","45"
"100220","200","20004","2","46"
"100221","1000000","94002","12","47"
"100222","1000000","94002","12","48"
"100223","1000000","94002","12","49"
"100224","400","20004","2","50"
"100225","300","20004","2","51"
"100226","200","20004","2","52"
"100301","5000000","94002","12","53"
"100302","2000","90008","2","54"
"100303","20","25001","2","55"
"100304","2500","90008","2","56"
