c4f2913d57b5ed85e4854abf968853a100a8d94e71bc82f0d96ab6e7b7ce64ac,7bc769456858871954565ea17ced46d1fb301b57b531f28c576ee9d89429de52,a27d9722877c253664f8e3d40b3c58e3a3a665359b47a54d1fdc2d5d7ea9bc6a,6c681565196112dc911c5bf7fefa9bc8ff00d69faa5735531386502daceb2753,a89de4f4d96866a79c3360249a59e48901eab8c7ebfb442901e51a5c0b21ac2b,ca222f57a8e7c3e3b3a7eb6ef685bd3316958fa215f58c567548971094a7fe3b,215ace5445ceaf228ae956ec05e4421fb3218281db3559777108066b4e084dde,5eeda554c3985c22ee5a38f6f25a4cc8939400de98b857dd8d4ab1e21bdb968f,aae4042359f77f1798d4458121ae5ff4d96f990ee6f8ce388189b58828381936,a15428ad6dd2998d387778e25139d47d9c77a353b38e5760dd1671d7a9abc957,011f2ce513e72fbf5d3e68127ec75f4b66ad3ddac28dd7d556306e8442325e93,8da1046870b7959bd9341f6577762c73d90adbe9a878cb7536f1d619f4d2dd90,f132aae2abe7b0848ab835b338d230c8662cbb1abd1e0476611b5917341601e1,df54b183c4bbf41bf5c9045af01a8f9d787a0a7c62c7ccd5146dfe5e47b1a2bd,d324397c9c864be9742bef8d097367c5809760443f8069849bede1594c4c69be,df5e1bda64576538fd3a9aa2b0d4971e01e12901e220075e96e804fe92236df4,21c6b1927e54f6a85bcb6a608a62f0b020d94682eb8c1bd0b9aca574f2e59433
"1","0","500","貪吃佩可的\n吃飽飽雙倍飯糰","52001","0","獲得500里程。","貪吃佩可用心捏製的特大飯糰。\n米飯似乎體現了生命的能量。\n在一般人能吃飽的兩倍量的米飯裡，包進了最高級的內餡，\n是一道很有【美食殿堂】風格的料理。","貪吃佩可的吃飽飽雙倍飯糰","10","1","2","2","1","1","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","51001"
"2","0","500","可可蘿的\n好好休息沙拉","52002","0","獲得500里程。","可可蘿為大家用心製作的沙拉。\n營養均衡且飽足感十足，\n除了味道外也很注重外觀。\n能夠提供冒險所需活力，一道充滿愛的料理。","可可蘿的好好休息沙拉","10","1","30001","2","1","3","下次投擲的骰子一定會丟出「1」。並且跳過下次的回合數計算。","51002"
"1","0","500","凱留的\n絕妙五星漢堡","52003","0","獲得1個未鑑定的平凡寶物。","夾入凱留自己想吃的食材的漢堡。\n麵包與肉類的香氣令人食指大動。\n由非魔物的素材製作，凱留相信這是一道\n在冒險途中吃會有點太豪華的料理。","凱留的絕妙五星漢堡","10","1","20004","1","1","2","下次投擲的骰子一定會丟出「5」。","51003"
"3","0","500","莉莉的踏實\n邁進柏餅","52004","0","獲得800里程。","在莉莉製作的柏餅中……做成功的、\n經過新挑選的柏餅。除了使用最高級的素材，\n還因為做失敗的柏餅被莉莉自己吃掉了，\n所以光看單價變成了非常貴的高級品。","莉莉的踏實邁進柏餅","10","3","20001","4","1","2","在投擲3次骰子之前，投擲的骰子一定會丟出「4」。","51004"
"3","0","500","可璃亞的\n多彩多姿便當","52005","0","下次擲骰的時候，多前進1格。","可璃亞一大早就起床準備好的冒險用的便當。\n雖然裡面的配菜都非常好吃，但是因為\n她不告訴大家裡面裝了什麼，所以那變成\n打開蓋子時的驚喜了。","可璃亞的多彩多姿便當","11","0","1","1","3","4","讓隨機活動出現。","51005"
"1","0","500","普蕾西亞的貪吃鬼\n噗噗肉包","52006","0","獲得800里程。","塞滿了普蕾西亞精心挑選的內餡的肉包。\n根據她的希望，這肉包的尺寸變成\n一般肉包的數倍大。味道跟量都滿分，一定會讓人\n很幸福喔♪以上是負責料理的可璃亞說的話。","普蕾西亞的貪吃鬼噗噗肉包","10","1","20002","4","1","2","下次投擲的骰子只會丟出「4、5、6」。","51006"
"1","0","500","嘉夜與祈梨的\n食慾加倍沙威瑪","52007","0","獲得1張抽獎券。","嘉夜跟祈梨讓人拿來當便當的沙威瑪。\n有著祈梨常去的店的強悍風味，可以讓\n身為幫派成員的幹勁變成三倍，組成搭檔會變成六倍，\n似乎會湧現出可以實現下剋上的力量……的樣子。","嘉夜與祈梨的食慾加倍沙威瑪","10","2","1","3","1","7","下次投擲的骰子一定會丟出「3」，再下一次投擲的骰子一定會丟出「6」。","51007"
"2","1","500","珠希的彩虹\n招財鯛魚燒","52008","0","獲得500里程。","珠希他們帶進「吉歐‧提格尼亞」的鯛魚燒得概念，\n跟當地的文化融合之後誕生的經過大幅度改造的甜點。\n它那發出彩虹光輝的甜味，\n據說比蘭德索爾的鯛魚燒還甜好幾倍。","珠希的彩虹招財鯛魚燒","10","0","200","2","2","5","下次於里程格停下來之際，\n所獲得的里程將提升200%。","51008"
"2","0","500","克蘿茜的\n全力馬鈴薯沙拉","52009","1","獲得1個未鑑定的平凡寶物。","克蘿茜用全力製作的馬鈴薯沙拉。\n她本來是要做鹹味薄餅，但是因為不小心\n把材料捏扁了，經過修正軌道後完成的料理。\n先不論製作的經緯，它吃起來非常美味。","克蘿茜的全力馬鈴薯沙拉","10","2","1","1","1","7","[FF7C4E,D62146]【不可被覆蓋】[-]下次投擲的骰子一定會丟出「8」，再下一次投擲的骰子一定會丟出「1」。","51009"
"3","2","500","綾音與胡桃的\n戶外野餐組","52010","0","獲得500里程。","綾音跟胡桃準備的特別的野餐籃。\n裡面的塞滿了跟夥伴們一起冒險的希望的美味料理們，\n能讓人覺得路上發生的各種事情，\n都像是高了1個Rank的活動一樣。","綾音與胡桃的戶外野餐組","10","0","1","2","2","6","地圖上的「里程格」、「寶物格」、「商店格」的\nRANK提升1。\n效果將持續到停在對象格上2次之後為止。","51010"
