78ee9a1229ef107a9e350cf07a283a86d8ff693b881c77879e00513572b26bb1,de777aa4d570c1cef411978db1d46024ad91ddd7e8e4395f8840a00c5ff5aa77,fdd1719ccde234ceeba8dc68a3ce7aa37f96b0d7a47d60faa42bac0dcee3a985,ec736ab2cd86a979b1f5c1d01376101090dacb06ac082d66f066cc6d4fb12ca8,8b9dffbfae28bed280e0a26788cd629c25c62c4bf2c90960088bfe0c2dfad78a,909f2457f6bb96eee4d2ee15494760c32e02780261b6b2ab34ca3a91c19b9db4,1791a1e559d1a7c06b19c94f053387246d7803924ed1a0b068c89f3359f7c170,284f06d61dc5b28db7cda7fbd9afbe5ce7b9bb81f38c6f2565098d64d3452c48,9670616ab0683cea061395d42201445f8e75b6a0e05d6837b7c8dc8d1fe5d110,93c39617a04c8a13e618af55d35d0d7f85c43724985439bfe77c9651422adc90
"2","vo_minigame_1013_icon_1_002_001","狀態逐漸\n變好了呢。","2","3000","1","2","vo_minigame_1013_icon_2_002_001","訓練現在\n才要開始。","1000"
"2","vo_minigame_1013_icon_1_003_001","喂喂，\n還能繼續的吧？","2","3000","2","2","vo_minigame_1013_icon_2_003_001","嘻嘻，局勢\n發展得不錯。","5000"
"2","vo_minigame_1013_icon_1_004_001","嘿嘿，你們\n挺行的嘛！","2","3000","3","3","vo_minigame_1013_icon_2_004_001","這是出色的\n紀錄。","10000"
"2","vo_minigame_1013_icon_1_005_001","我們還不能\n止步於此！","3","3000","4","3","vo_minigame_1013_icon_2_005_001","現在狀態\n絕佳呢。","10000"
"2","vo_minigame_1013_icon_1_005_002","看著吧！\n真琴班過關斬將！","3","3000","5","3","vo_minigame_1013_icon_2_005_002","還能繼續前進。\n給我跟上。","10000"
"2","vo_minigame_1013_icon_1_005_003","唔哦哦哦！\n狀態絕佳！","3","3000","6","3","vo_minigame_1013_icon_2_005_003","惠理子班\n發揮真本事！","10000"
"2","vo_minigame_1013_icon_1_006_001","能前進到什麼地方\n真讓人期待！","4","3000","7","3","vo_minigame_1013_icon_2_006_001","接下來是\n前無古人的領域！","0"
"3","vo_minigame_1013_icon_1_007_001","還不能放棄。","5","1000","8","4","vo_minigame_1013_icon_2_007_001","真是棘手……","1"
"3","vo_minigame_1013_icon_1_007_002","捏了把冷汗啊……！","5","1000","9","4","vo_minigame_1013_icon_2_007_002","不可輕敵。","1"
"3","vo_minigame_1013_icon_1_007_003","不准說喪氣話。","5","1000","10","4","vo_minigame_1013_icon_2_007_003","真是可恨……","1"
"4","vo_minigame_1013_icon_1_008_001","真琴班集合！","6","1500","11","3","vo_minigame_1013_icon_2_008_001","人多勢眾呢。","99"
"4","vo_minigame_1013_icon_1_008_002","齊心協力上吧！","6","1500","12","3","vo_minigame_1013_icon_2_008_002","歡迎來到惠理子班。","99"
"1","vo_minigame_1013_icon_1_020_001","賦予大家力量！","8","3000","13","6","vo_minigame_1013_icon_2_020_001","儘管包在\n小七七香身上。","0"
"1","vo_minigame_1013_icon_1_022_001","包在我身上。","9","3000","14","7","vo_minigame_1013_icon_2_022_001","哈哈哈！\n交給我吧！","0"
"1","vo_minigame_1013_icon_1_023_001","好哪，繼續前進吧。","10","3000","15","8","vo_minigame_1013_icon_2_023_001","繼續前進囉。","0"
