c349d5c8b24d7653cc1b4654a59ad6d992cea13d67391a0bde4853d826de0d66,2f47b494f7927dfc7be9aaf02f26e4c0857ba925bff07b9ee65d426052a75682,2cb9efd492fae9eb66c74c385a761db86eaf2d89172e88a594c42e5e36602d76,bd87f3408d7a9fee135330c72cbd2135f3d2a63c73f7072875d3cc6f4ef8cafc,e2857f5d847e7b498fc9223341f25ede383c58c47ec8ca07ff8e14083da85567,f821240a4c6ea609d8932929515dc685143f8abaddfd1eba84e1b0a359ed23d7,9582fb46285d99c82ecaead73bfebdbe3c3c403b82a119a70d8de98b4b41152f
"10101","0","1","2","0","300","0"
"10101","0","1","2","1","360","0"
"10101","0","1","2","2","420","0"
"10101","0","1","2","3","480","0"
"10101","0","1","2","4","540","0"
"10101","0","1","2","5","600","0"
"10101","0","2","2","0","900","0"
"10101","0","2","2","1","960","0"
"10101","0","2","2","2","1020","0"
"10101","0","2","2","3","1080","0"
"10101","0","2","2","4","1140","0"
"10101","0","2","2","5","1200","0"
"10101","0","3","2","0","1500","0"
"10101","0","3","2","1","1560","0"
"10101","0","3","2","2","1620","0"
"10101","0","3","2","3","1680","0"
"10101","0","3","2","4","1740","0"
"10101","0","3","2","5","1800","0"
"10101","0","4","2","0","2100","0"
"10101","0","4","2","1","2160","0"
"10101","0","4","2","2","2220","0"
"10101","0","4","2","3","2280","0"
"10101","0","4","2","4","2340","0"
"10101","0","4","2","5","2400","0"
"10101","0","5","2","0","2700","0"
"10101","0","5","2","1","2760","0"
"10101","0","5","2","2","2820","0"
"10101","0","5","2","3","2880","0"
"10101","0","5","2","4","2940","0"
"10101","0","5","2","5","3000","0"
"10102","0","1","5","0","150","0"
"10102","0","1","5","1","180","0"
"10102","0","1","5","2","210","0"
"10102","0","1","5","3","240","0"
"10102","0","1","5","4","270","0"
"10102","0","1","5","5","300","0"
"10102","0","2","5","0","450","0"
"10102","0","2","5","1","480","0"
"10102","0","2","5","2","510","0"
"10102","0","2","5","3","540","0"
"10102","0","2","5","4","570","0"
"10102","0","2","5","5","600","0"
"10102","0","3","5","0","750","0"
"10102","0","3","5","1","780","0"
"10102","0","3","5","2","810","0"
"10102","0","3","5","3","840","0"
"10102","0","3","5","4","870","0"
"10102","0","3","5","5","900","0"
"10102","0","4","5","0","1050","0"
"10102","0","4","5","1","1080","0"
"10102","0","4","5","2","1110","0"
"10102","0","4","5","3","1140","0"
"10102","0","4","5","4","1170","0"
"10102","0","4","5","5","1200","0"
"10102","0","5","5","0","1350","0"
"10102","0","5","5","1","1380","0"
"10102","0","5","5","2","1410","0"
