c3234fafef2126ad42a9c2a4cb5dba9217bb04c4154387ebf8230ce2615adf04,551283f5fd3f03cebd54b440339c8fd8a038c52b1a37ab140c8f000701b175e4,e9fe6fa22d4a3a2487373d14a392bd9fb08908963cd630a8edd10a6c73f66bdf
"118501","1","1"
"105801","1","2"
"105901","1","3"
"106001","1","4"
"106401","1","5"
"105801","2","6"
"105901","3","7"
"106001","4","8"
"106401","5","9"
"104401","6","10"
"102201","7","11"
"100601","8","12"
"103101","9","13"
"100701","10","14"
"105301","11","15"
"100801","12","16"
"104501","13","17"
"103001","14","18"
"102901","15","19"
"104201","16","20"
"105401","17","21"
"107101","18","22"
"104701","19","23"
"103701","20","24"
"100501","21","25"
"103201","22","26"
"104801","23","27"
"103401","24","28"
"104601","25","29"
"104001","26","30"
"101201","27","31"
"101501","28","32"
"102801","29","33"
"102501","30","34"
"102301","31","35"
"102101","32","36"
"101001","33","37"
"104301","34","38"
"101701","35","39"
"101401","36","40"
"106101","37","41"
"107001","38","42"
"106501","39","43"
"106601","40","44"
"103301","41","45"
"105201","42","46"
"103801","43","47"
"102601","44","48"
"105801","45","49"
"105901","45","50"
"106001","45","51"
"106401","45","52"
"100401","46","53"
"103601","47","54"
"102001","48","55"
"100401","48","56"
"103601","48","57"
"100101","49","58"
"100101","50","59"
"100201","50","60"
"100301","50","61"
"100301","51","62"
"105501","52","63"
"105301","52","64"
"104501","52","65"
"100801","52","66"
"103001","52","67"
"105001","53","68"
"101801","54","69"
"101601","55","70"
"105001","55","71"
"101801","55","72"
"105301","56","73"
"100801","57","74"
"104501","58","75"
"103001","59","76"
"106501","60","77"
"106601","61","78"
"106701","62","79"
"106501","62","80"
"106601","62","81"
"106001","63","82"
"105901","64","83"
"106401","65","84"
"100401","66","85"
"103601","67","86"
"101801","68","87"
"105001","69","88"
"105301","70","89"
"100801","71","90"
"104501","72","91"
"103001","73","92"
"100101","74","93"
"100301","75","94"
"105801","76","95"
"106001","77","96"
"106401","78","97"
"100701","79","98"
"104401","80","99"
"103101","80","100"
"100701","80","101"
"102201","80","102"
"100601","80","103"
"103101","81","104"
"102801","82","105"
"102501","83","106"
"102101","84","107"
"102301","85","108"
"102101","85","109"
"102801","85","110"
"102501","85","111"
"105901","86","112"
"106401","86","113"
"106001","86","114"
"105801","86","115"
"106401","87","116"
"106001","88","117"
"105801","89","118"
"103101","90","119"
"100701","91","120"
"104401","92","121"
"102801","93","122"
"102501","94","123"
"102101","95","124"
"102301","96","125"
"106401","97","126"
"106001","98","127"
"105901","99","128"
"105801","100","129"
"104401","101","130"
"103101","102","131"
"100701","103","132"
"102801","104","133"
"102101","105","134"
"102301","106","135"
"105401","107","136"
"102901","108","137"
"104201","109","138"
"105401","109","139"
"102901","109","140"
"101201","110","141"
"101501","111","142"
"104001","112","143"
"101201","112","144"
"101501","112","145"
"102501","113","146"
"102301","114","147"
"102101","115","148"
"102301","115","149"
"102501","115","150"
"102801","115","151"
"102801","116","152"
"105801","117","153"
"105901","118","154"
"106001","119","155"
"106401","120","156"
"106601","121","157"
"106701","122","158"
"106301","123","159"
"118501","123","160"
"102901","124","161"
"104201","125","162"
"105401","126","163"
"102801","127","164"
"102501","128","165"
"102301","129","166"
"102101","130","167"
"106501","131","168"
"106601","131","169"
"106701","131","170"
"106601","132","171"
