066d365a27488a51b6d14358497acd9aef38dce17606875811c61e43d2470d69,3dc4721a6d4b4e4c2c2d69099f3a51f30f09a4cac1da8151f0e9709dc1354c28,c50d7e2f68a80a1761d8391fc1207be267ec937213dd9bb57a16beec2ac6e62d,ff35ec30a7e50a4668a43e435e6582d52f9673e84a287e67eec98305ac54b98a,f2fe0e1658dc0bd0b9326800335188f158d14097149ddd03ecd9407e522a2aa0,95f9df115b9771c1dabe4a396198f0e9d40944ba04eccc49d30c89ad3a98d6e3,f7f87db83d72f6879788afab50d888c879201a47c59d172d3ade6ba3b695e98e,139cf14f0e4b56deff38adaa7307ea224fc6d1425cf55aa8952b941d7aabda09,0dac6e201ec63f855406227ac610fd63639b477c1100d6bc9281bd95299ec845,ea782b42c5af91c95ecbb00f39401fd7e36c0dde26a521a1ec0f2fa1c5af1d27,bd6320ec92bb05871b8f745c6e9322b80b0736223b277857da38acb338c4ae64
"","","","23","101","","","se_10053800","","11010001","se_fpc_water_random"
"-180","-850","1.75","1","101","0","23","1","cmn_swm_tread","11010002","<unit_id>"
"-180","-850","1.75","5","101","0","22","1","cmn_swm_tread_pink","11010003","1"
"1","-180","1","31","101","","-850","3","","11010004","3"
"","","","91","101","","","0","","11010005","0"
"","10","","2","101","","-180","<unit_id>","","11010006","850"
"","10","","2","101","","-180","1","","11010007","850"
"","10","","33","101","","-180","3","","11010008","850"
"","","","23","102","","","se_10053800","","11020001","se_fpc_water_random"
"-180","-850","1.75","1","102","0","23","1","cmn_swm_tread","11020002","<unit_id>"
"-180","-850","1.75","5","102","0","22","1","cmn_swm_tread_blue","11020003","1"
"1","-180","1","31","102","","-850","3","","11020004","3"
"","","","91","102","","","0","","11020005","0"
"","10","","2","102","","-180","<unit_id>","","11020006","850"
"","10","","2","102","","-180","1","","11020007","850"
"","10","","33","102","","-180","3","","11020008","850"
"","","","23","103","","","se_10053800","","11030001","se_fpc_water_random"
"-180","-850","1.75","1","103","0","23","1","cmn_swm_tread","11030002","<unit_id>"
"-180","-850","1.75","5","103","0","22","1","cmn_swm_tread","11030003","1"
"1","-180","1","31","103","","-850","3","","11030004","3"
"","","","91","103","","","0","","11030005","0"
"","10","","2","103","","-180","<unit_id>","","11030006","850"
"","10","","2","103","","-180","1","","11030007","850"
"","10","","33","103","","-180","3","","11030008","850"
"","","","23","151","","","se_10053800","","11510001","se_fpc_water_random"
"-180","-850","1.75","1","151","0","22","1","cmn_swm_flutterKick","11510002","<unit_id>"
"1","-180","1","31","151","","-850","1","","11510003","1"
"","","","91","151","","","0","","11510004","0"
"","10","","2","151","","-180","<unit_id>","","11510005","1050"
"","10","","33","151","","-180","1","","11510006","1050"
"","","","23","201","","","se_10053800","","12010001","se_fpc_water_random"
"-180","-850","1.75","1","201","0","22","1","cmn_swm_breastStroke","12010002","<unit_id>"
"1","-180","1","31","201","","-850","2","","12010003","2"
"","","","91","201","","","0","","12010004","0"
"","10","","2","201","","-180","<unit_id>","","12010005","850"
"","10","","33","201","","-180","2","","12010006","850"
"","","","23","251","","","se_10053800","","12510001","se_fpc_water_random"
"-180","-850","1.75","1","251","0","22","1","cmn_swm_diving","12510002","<unit_id>"
"1","-180","1","31","251","","-850","9","","12510003","9"
"","","","91","251","","","0","","12510004","0"
"","10","","2","251","","-180","<unit_id>","","12510005","850"
"","10","","33","251","","-180","9","","12510006","850"
"","","","23","301","","","se_10053800","","13010001","se_fpc_water_random"
"-180","-850","1.75","1","301","0","23","1","cmn_swm_flutterKick_floatRing","13010002","<unit_id>"
"-180","-850","1.75","5","301","0","22","1","cmn_swm_flutterKick_floatRing_pink","13010003","1"
"1","-180","1","31","301","","-850","1","","13010004","1"
"","","","91","301","","","0","","13010005","0"
"","10","","2","301","","-180","<unit_id>","","13010006","1050"
"","10","","2","301","","-180","1","","13010007","1050"
"","10","","33","301","","-180","1","","13010008","1050"
"","","","23","302","","","se_10053800","","13020001","se_fpc_water_random"
"-180","-850","1.75","1","302","0","23","1","cmn_swm_flutterKick_floatRing","13020002","<unit_id>"
"-180","-850","1.75","5","302","0","22","1","cmn_swm_flutterKick_floatRing_blue","13020003","1"
"1","-180","1","31","302","","-850","1","","13020004","1"
"","","","91","302","","","0","","13020005","0"
"","10","","2","302","","-180","<unit_id>","","13020006","1050"
"","10","","2","302","","-180","1","","13020007","1050"
"","10","","33","302","","-180","1","","13020008","1050"
"","","","23","303","","","se_10053800","","13030001","se_fpc_water_random"
"-180","-850","1.75","1","303","0","23","1","cmn_swm_flutterKick_floatRing","13030002","<unit_id>"
"-180","-850","1.75","5","303","0","22","1","cmn_swm_flutterKick_floatRing","13030003","1"
"1","-180","1","31","303","","-850","1","","13030004","1"
"","","","91","303","","","0","","13030005","0"
"","10","","2","303","","-180","<unit_id>","","13030006","1050"
"","10","","2","303","","-180","1","","13030007","1050"
"","10","","33","303","","-180","1","","13030008","1050"
"","","","23","351","","","se_10053800","","13510001","se_fpc_water_random"
"-180","-850","1.75","1","351","0","23","1","cmn_swm_flutterKick_floatRing","13510002","<unit_id>"
"-180","-850","1.75","5","351","0","22","1","cmn_swm_flutterKick_floatBoad","13510003","1"
"1","-180","1","31","351","","-850","1","","13510004","1"
"","","","91","351","","","0","","13510005","0"
"","10","","2","351","","-180","<unit_id>","","13510006","1050"
"","10","","2","351","","-180","1","","13510007","1050"
"","10","","33","351","","-180","1","","13510008","1050"
"","","","23","352","","","se_10053800","","13520001","se_fpc_water_random"
"-180","-850","1.75","1","352","0","23","1","cmn_swm_flutterKick_floatRing","13520002","<unit_id>"
"-180","-850","1.75","5","352","0","22","1","cmn_swm_flutterKick_floatBoad_blue","13520003","1"
"1","-180","1","31","352","","-850","1","","13520004","1"
"","","","91","352","","","0","","13520005","0"
"","10","","2","352","","-180","<unit_id>","","13520006","1050"
"","10","","2","352","","-180","1","","13520007","1050"
"","10","","33","352","","-180","1","","13520008","1050"
"","","","23","401","","","se_10053800","","14010001","se_fpc_water_random"
"-180","-850","1.75","1","401","0","22","1","cmn_float","14010002","<unit_id>"
"1","-180","1","31","401","","-850","6","","14010003","6"
"","","","91","401","","","0","","14010004","0"
"","10","","2","401","","-180","<unit_id>","","14010005","1050"
"","10","","33","401","","-180","6","","14010006","1050"
"","","","23","402","","","se_10053800","","14020001","se_fpc_water_random"
"-180","-850","1.75","1","402","0","22","1","cmn_float_4","14020002","<unit_id>"
"1","-180","1","31","402","","-850","6","","14020003","6"
"","","","91","402","","","0","","14020004","0"
"","10","","2","402","","-180","<unit_id>","","14020005","1050"
"","10","","33","402","","-180","6","","14020006","1050"
"","","","23","451","","","se_10053800","","14510001","se_fpc_water_random"
"-180","-850","1.75","1","451","0","22","1","cmn_crawl","14510002","<unit_id>"
"1","-180","1","31","451","","-850","1","","14510003","1"
"","","","91","451","","","0","","14510004","0"
"","10","","2","451","","-180","<unit_id>","","14510005","1050"
"","10","","33","451","","-180","1","","14510006","1050"
"","","","23","501","","","se_10053800","","15010001","se_fpc_water_random"
"-250","-850","1.75","1","501","0","45","1","cmn_surfing","15010002","<unit_id>"
"-250","-850","1.75","5","501","0","44","6","cmn_surfing","15010003","6"
"1","-250","1","31","501","","-850","11","","15010004","11"
"","","","91","501","","","0","","15010005","0"
"","6","","2","501","","-250","<unit_id>","","15010006","1800"
"","6","","2","501","","-250","6","","15010007","1800"
"","6","","33","501","","-250","11","","15010008","1800"
"","","","23","501","","","se_10053800","","15010009","se_10053800_surfing_wave"
"","","","23","851","","","se_10053800","","18510001","se_fpc_water_random"
"-125","-850","1.75","1","851","0","45","1","cmn_surfing","18510002","107511"
"-250","-1100","1.75","1","851","0","45","1","cmn_surfing","18510003","107611"
"-125","-1350","1.75","1","851","0","45","1","cmn_surfing","18510004","107811"
"-125","-850","1.75","5","851","0","44","6","cmn_surfing","18510005","1"
"-250","-1100","1.75","5","851","0","44","6","cmn_surfing","18510006","2"
"-125","-1350","1.75","5","851","0","44","6","cmn_surfing","18510007","3"
"1","-125","1","31","851","","-850","11","","18510008","1"
"1","-250","1","31","851","","-1100","11","","18510009","2"
"1","-125","1","31","851","","-1350","11","","18510010","3"
"","6","","2","851","","-125","107511","","18510011","2350"
"","6","","2","851","","-250","107611","","18510012","2100"
"","6","","2","851","","-125","107811","","18510013","1850"
"","6","","2","851","","-125","1","","18510014","2350"
"","6","","2","851","","-250","2","","18510015","2100"
"","6","","2","851","","-125","3","","18510016","1850"
"","6","","33","851","","-125","1","","18510017","2350"
"","6","","33","851","","-250","2","","18510018","2100"
"","6","","33","851","","-125","3","","18510019","1850"
"","","","23","851","","","se_10053800","","18510020","se_10053800_surfing_wave"
"","","","93","851","","","0.3","","18510021",""
"","0","","21","851","","","vo_fpc","","18510022","vo_fpc_85101"
"","","","23","852","","","se_10053800","","18520001","se_fpc_water_random"
"-125","-850","1.75","1","852","0","13","1","cmn_swm_flutterKick_floatRing","18520002","122411"
"-250","-1100","1.75","1","852","0","33","1","cmn_swm_flutterKick_floatRing","18520003","122511"
"-125","-1350","1.75","1","852","0","13","1","cmn_swm_flutterKick_floatRing","18520004","122611"
"-125","-850","1.75","5","852","0","12","1","cmn_swm_flutterKick_floatRing","18520005","1"
"-250","-1100","1.75","5","852","0","32","1","cmn_swm_flutterKick_floatRing_blue","18520006","2"
"-125","-1350","1.75","5","852","0","12","1","cmn_swm_flutterKick_floatRing_pink","18520007","3"
"1","-125","1","31","852","","-850","7","","18520008","1"
"1","-250","1","31","852","","-1100","1","","18520009","2"
"1","-125","1","31","852","","-1350","7","","18520010","3"
"","10","","2","852","","-125","122411","","18520011","1750"
"","10","","2","852","","-250","122511","","18520012","1500"
"","10","","2","852","","-125","122611","","18520013","1250"
"","10","","2","852","","-125","1","","18520014","1750"
"","10","","2","852","","-250","2","","18520015","1500"
"","10","","2","852","","-125","3","","18520016","1250"
"","10","","33","852","","-125","1","","18520017","1750"
