0f49fb8eb3d45db31dd9083bc3e3c1029a11309261f84c722cccede1dce03092,846e357aad60e7abc4403272daf9d554d554eb21cbb8715a64c6f825d5ba8fb9,caacbae056741be6b226124bdb5370fb50c1f79c178095cd529a8910610784f6,16965c970c406738e02752e28d6bd73acc5750ec18a10aaa383244e2ccb97724,e93d13ab81bfd0c94f87ad3b99b814515801c0f411aff42a30972ce601a69576
"200","30","8500","1","1"
"5","30","1500","1","2"
"220","60","8500","2","3"
"5","60","1500","2","4"
"200","60","8500","3","5"
"200","15","1500","3","6"
"200","60","8500","4","7"
"200","10","1500","4","8"
"150","40","8500","5","9"
"5","40","1500","5","10"
"150","60","8500","6","11"
"200","10","1500","6","12"
"150","40","8500","7","13"
"5","40","1500","7","14"
"150","50","8500","8","15"
"200","15","1500","8","16"
"150","45","8500","9","17"
"200","10","1500","9","18"
"145","40","8500","10","19"
"5","10","1500","10","20"
"300","40","8500","11","21"
"5","10","1500","11","22"
"200","65","8500","12","23"
"200","10","1500","12","24"
"150","40","8500","13","25"
"5","10","1500","13","26"
"100","40","8500","14","27"
"5","10","1500","14","28"
"200","50","8500","15","29"
"5","10","1500","15","30"
"250","60","8500","16","31"
"200","30","1500","16","32"
"120","45","8500","17","33"
"300","90","1500","17","34"
"120","90","8500","18","35"
"200","30","1500","18","36"
"190","50","8500","19","37"
"350","60","1500","19","38"
"95","90","8500","20","39"
"95","90","1500","20","40"
"200","20","8500","21","41"
"5","5","1500","21","42"
"450","30","8500","22","43"
"5","5","1500","22","44"
"200","20","8500","23","45"
"5","5","1500","23","46"
"130","30","8500","1001","47"
"5","5","1500","1001","48"
"140","30","8500","1002","49"
"5","5","1500","1002","50"
"150","40","8500","1003","51"
"5","5","1500","1003","52"
"155","45","8500","1004","53"
"200","5","1500","1004","54"
"155","60","8500","1005","55"
"200","10","1500","1005","56"
"150","60","8500","1006","57"
"200","15","1500","1006","58"
"150","60","8500","1007","59"
"200","15","1500","1007","60"
"160","50","8500","1008","61"
"200","15","1500","1008","62"
"140","70","8500","1009","63"
"200","30","1500","1009","64"
"180","35","8500","1010","65"
"200","120","1500","1010","66"
"140","65","8500","1011","67"
"200","30","1500","1011","68"
"200","35","8500","1012","69"
"5","5","1500","1012","70"
"150","70","8500","1013","71"
"200","15","1500","1013","72"
"150","60","8500","1014","73"
"200","15","1500","1014","74"
"150","60","8500","1015","75"
"200","15","1500","1015","76"
"150","60","8500","1016","77"
"200","15","1500","1016","78"
"150","60","8500","1017","79"
"200","15","1500","1017","80"
"120","50","8500","1018","81"
"200","60","1500","1018","82"
"102","67","8500","1019","83"
"200","60","1500","1019","84"
"120","35","8500","1020","85"
"250","60","1500","1020","86"
"200","30","7000","10001","87"
"5","30","3000","10001","88"
"220","60","7000","10002","89"
"5","60","3000","10002","90"
"200","60","7000","10003","91"
"200","15","3000","10003","92"
"200","60","7000","10004","93"
"200","10","3000","10004","94"
"150","40","7000","10005","95"
"5","40","3000","10005","96"
"150","60","7000","10006","97"
"200","10","3000","10006","98"
"150","40","7000","10007","99"
"5","40","3000","10007","100"
"150","50","7000","10008","101"
"200","15","3000","10008","102"
"150","45","7000","10009","103"
"200","10","3000","10009","104"
"145","40","7000","10010","105"
"5","10","3000","10010","106"
"300","40","7000","10011","107"
"5","10","3000","10011","108"
"200","65","7000","10012","109"
"200","10","3000","10012","110"
"150","40","7000","10013","111"
"5","10","3000","10013","112"
"100","40","7000","10014","113"
"5","10","3000","10014","114"
"200","50","7000","10015","115"
"5","10","3000","10015","116"
"250","60","7000","10016","117"
"200","30","3000","10016","118"
"120","45","7000","10017","119"
"300","90","3000","10017","120"
"120","90","7000","10018","121"
"200","30","3000","10018","122"
"190","50","7000","10019","123"
"350","60","3000","10019","124"
"95","90","7000","10020","125"
"95","90","3000","10020","126"
"200","60","7000","10021","127"
"200","60","3000","10021","128"
"200","60","7000","10022","129"
"200","60","3000","10022","130"
"200","60","7000","10023","131"
"200","60","3000","10023","132"
"130","30","7000","11001","133"
"5","5","3000","11001","134"
"140","30","7000","11002","135"
"5","5","3000","11002","136"
"150","40","7000","11003","137"
"5","5","3000","11003","138"
"155","45","7000","11004","139"
"200","5","3000","11004","140"
"155","60","7000","11005","141"
