41747ac3b9327c744f425e9d92b264e610c415a7b0a4f3ec38b461ebae9404cf,940075e488150a49d7ed8a7822b1732c0b02d9ade11bd0745097fe92d2be4ea8,2033dbcbbf047626202bfe97863fd3b36217f393be0fc1f054a3b9d456f01965,6268968c063bd013909ff548b5a19fd3b416e873d67722b6ec91e75b0fff40a9,7c49604cb72d70e3c873ae1ea0da6147af00232df84664deabc9e3d557fe4dad,a7a3c8a560bae74cf4379cbf4eb4d813fa538f1b31345814cf28c7dec690fb52,a42f622b2144ac16231d0ebd9676406f5fe3b7ccd2de799df5fd286b0d4d9d9b,9b7f6f2f2f6e36737ca4f13565b93f6219662f22cc67d0588a48c1563757fa7d,b7f12eaf92ca9745cdf56ed4eed8ae825206851f382b22f5e252e32b29b70689,cdc9b275ccd3d9a083aabd3b1d89427954c2846803849e5b85a73665e0ebaeb2,b77d07abd821ba64f1b253cad1d27c6b7e6f431b54aa509031f8f32e15b66c67
"111831","-100","115","1.5","-150","1","101001","0","1","101","nop_idle_joy1"
"120731","100","114","1.5","-150","1","101002","1","1","101","nop_idle_normal_joy"
"120831","-215","111","1.5","-127","1","101003","0","1","101","nop_idle_arm_crossed"
"111931","215","110","1.5","-127","1","101004","1","1","101","nop_idle_normal"
"120931","-330","113","1.5","-150","1","101005","0","1","101","nop_idle_thinking"
"112031","330","112","1.5","-150","1","101006","1","1","101","nop_idle_normal"
"108731","-100","115","1.5","-150","1","102001","0","1","102","nop_idle_joy1"
"108831","100","114","1.5","-150","1","102002","1","1","102","nop_idle_joy_normal"
"108931","-215","111","1.5","-127","1","102003","0","1","102","nop_idle_normal"
"102011","-100","113","1.5","-135","1","103001","0","1","103","nop_idle_joy1"
"100411","-215","115","1.5","-150","1","103002","0","1","103","nop_idle_normal"
"103631","100","114","1.5","-143","1","103003","1","1","103","nop_idle_wish"
"101231","-100","115","1.5","-150","1","104001","0","1","104","nop_idle_normal"
"104011","100","114","1.5","-150","1","104002","1","1","104","nop_idle_normal"
"101511","-215","111","1.5","-127","1","104003","0","1","104","nop_idle_normal"
"103111","-100","113","1.5","-135","1","105001","0","1","105","nop_idle_normal"
"102211","100","111","1.5","-135","1","105002","1","1","105","nop_idle_sad"
"100711","-215","115","1.5","-150","1","105003","0","1","105","nop_05_miyako_idle_normal"
"100611","215","112","1.5","-150","1","105004","1","1","105","nop_idle_joy1"
"2051","-25","114","1.5","-135","1","105005","1","5","105","nop_skull_idle"
"104731","-215","115","1.5","-150","1","106001","0","1","106","nop_idle_arm_crossed"
"107131","215","114","1.5","-150","1","106002","1","1","106","nop_idle_arm_crossed"
"103731","-100","111","1.5","-135","1","106003","0","1","106","nop_idle_normal"
"100511","100","110","1.5","-135","1","106004","1","1","106","nop_idle_joy1"
"102831","-100","115","1.5","-150","1","107001","0","1","107","nop_idle_normal"
