084c53641487dd67a6fef04ef824c02615185671376e8b7b3650f607423f038a,fe9be7fb130e2650262bb49d5d39c2bd9de0b437fa783de16242970807701810,816d3a1adb4b4492a1a03d4d864221f90c2e0e9b06628be8a44775c574c9b73a,789be1fd324d5f8a72a9ab9d14d9f28588cca1cd008739c68b74639ebbd1a27e,eb41e2121c22015dd39e56ad478c4b9cab7816d62c40dc23dcefd56db6ab4c27,c32993d106ae9cf1bea1b820bfced08646990da2bee6ece3a2546930a4ae33a7,5b01eeea4c70eedc6fa588ff715408a73c343852aeaccb48dd911d5140216a87,3d3dc48cb80239801c2a3f92eb75215a77597f0adabcf4cc0ee569688a4259c1,8c785ef0382d3642fefb994c879e273d2be1bd47c3147ac276f81c708ff5493a,e26c6040a65c44d4e436d323a228ee0e4249bb3e3909d6f370e21054a5a772ee,fd357ac5039030d3203cba909e25d41efbcca9fc13fb904b7988956a09c8eb13,3b5a9252e15a3a60b9d0f440158a7482fc25ed9851488df7d502e00ce5518175
"-1","1","1","100","3","13","1","-1","1","1","100101","1"
"-1","1","1","130","4","15","1","-1","1","1","100201","1"
"-1","1","1","160","4","17","1","-1","1","1","100301","1"
"-1","1","1","180","4","19","1","120","1","1","100401","1"
"-1","1","1","180","4","19","1","-1","1","1","100402","1"
"-1","1","1","200","4","21","1","150","1","1","100501","1"
"-1","1","1","200","4","21","1","-1","1","1","100502","1"
"-1","1","1","220","5","23","1","180","1","1","100601","1"
"-1","1","1","220","5","23","1","-1","1","1","100602","1"
"-1","1","1","240","5","25","1","210","1","1","100701","1"
"-1","1","1","240","5","25","1","-1","1","1","100702","1"
"-1","1","1","260","5","27","1","240","1","1","100801","1"
"-1","1","1","260","5","27","1","-1","1","1","100802","1"
"-1","1","1","280","5","29","1","270","1","1","100901","1"
"-1","1","1","280","5","29","1","-1","1","1","100902","1"
"1","1","1","300","6","32","1","300","1","1","101001","1"
"-1","1","1","300","6","32","1","300","1","1","101002","1"
"-1","1","1","300","6","32","1","-1","1","1","101003","1"
"1","1","1","300","5","32","1","300","1","1","101004","1"
"-1","1","1","300","5","32","1","300","1","1","101005","1"
"-1","1","1","300","5","32","1","-1","1","1","101006","1"
"1","1","1","310","6","32","1","300","1","1","101101","1"
"-1","1","1","310","6","32","1","300","1","1","101102","1"
"-1","1","1","310","6","32","1","-1","1","1","101103","1"
"1","1","1","310","5","32","1","300","1","1","101104","1"
"-1","1","1","310","5","32","1","300","1","1","101105","1"
"-1","1","1","310","5","32","1","-1","1","1","101106","1"
"1","1","1","320","6","32","1","300","1","1","101201","1"
"-1","1","1","320","6","32","1","300","1","1","101202","1"
"-1","1","1","320","6","32","1","-1","1","1","101203","1"
"1","1","1","320","5","32","1","300","1","1","101204","1"
"-1","1","1","320","5","32","1","300","1","1","101205","1"
"-1","1","1","320","5","32","1","-1","1","1","101206","1"
"3","1","1","330","6","32","1","300","1","1","101301","1"
"-1","1","1","330","6","32","1","300","1","1","101302","1"
"-1","1","1","330","6","32","1","-1","1","1","101303","1"
"3","1","1","330","5","32","1","300","1","1","101304","1"
"-1","1","1","330","5","32","1","300","1","1","101305","1"
"-1","1","1","330","5","32","1","-1","1","1","101306","1"
"3","1","1","340","6","32","1","300","1","1","101401","1"
"-1","1","1","340","6","32","1","300","1","1","101402","1"
"-1","1","1","340","6","32","1","-1","1","1","101403","1"
"3","1","1","340","5","32","1","300","1","1","101404","1"
"-1","1","1","340","5","32","1","300","1","1","101405","1"
"-1","1","1","340","5","32","1","-1","1","1","101406","1"
"3","1","1","350","6","32","1","300","1","1","101501","1"
"-1","1","1","350","6","32","1","300","1","1","101502","1"
"-1","1","1","350","6","32","1","-1","1","1","101503","1"
"3","1","1","350","5","32","1","300","1","1","101504","1"
"-1","1","1","350","5","32","1","300","1","1","101505","1"
"-1","1","1","350","5","32","1","-1","1","1","101506","1"
"5","1","1","360","6","32","1","310","1","1","101601","1"
"-1","1","1","360","6","32","1","310","1","1","101602","1"
"-1","1","1","360","6","32","1","-1","1","1","101603","1"
"5","1","1","360","5","32","1","310","1","1","101604","1"
"-1","1","1","360","5","32","1","310","1","1","101605","1"
"-1","1","1","360","5","32","1","-1","1","1","101606","1"
"5","1","1","380","6","32","1","310","1","1","101701","1"
"-1","1","1","380","6","32","1","310","1","1","101702","1"
"-1","1","1","380","6","32","1","-1","1","1","101703","1"
"5","1","1","380","5","32","1","310","1","1","101704","1"
"-1","1","1","380","5","32","1","310","1","1","101705","1"
"-1","1","1","380","5","32","1","-1","1","1","101706","1"
"5","1","1","400","6","32","1","310","1","1","101801","1"
"-1","1","1","400","6","32","1","310","1","1","101802","1"
"-1","1","1","400","6","32","1","-1","1","1","101803","1"
"5","1","1","400","5","32","1","310","1","1","101804","1"
"-1","1","1","400","5","32","1","310","1","1","101805","1"
"-1","1","1","400","5","32","1","-1","1","1","101806","1"
"5","1","1","400","6","33","1","310","1","1","111601","1"
"-1","1","1","400","6","33","1","310","1","1","111602","1"
"-1","1","1","400","6","33","1","-1","1","1","111603","1"
"5","1","1","400","5","33","1","310","1","1","111604","1"
"-1","1","1","400","5","33","1","310","1","1","111605","1"
"-1","1","1","400","5","33","1","-1","1","1","111606","1"
"5","1","1","450","6","33","1","310","1","1","111701","1"
"-1","1","1","450","6","33","1","310","1","1","111702","1"
"-1","1","1","450","6","33","1","-1","1","1","111703","1"
"5","1","1","450","5","33","1","310","1","1","111704","1"
"-1","1","1","450","5","33","1","310","1","1","111705","1"
"-1","1","1","450","5","33","1","-1","1","1","111706","1"
"5","1","1","500","6","33","1","310","1","1","111801","1"
"-1","1","1","500","6","33","1","310","1","1","111802","1"
"-1","1","1","500","6","33","1","-1","1","1","111803","1"
"5","1","1","500","5","33","1","310","1","1","111804","1"
"-1","1","1","500","5","33","1","310","1","1","111805","1"
"-1","1","1","500","5","33","1","-1","1","1","111806","1"
