fe1702cf947caba63afdc7ed47fda009412293a933de22cdf15b8102bc7044ea,42e4ab4369fcf3172eef7416b1bddfb1c05d81eebd65e00e7fe6fcf99dbc5786,4555b9785ef492999688d848dd26b045fb341fb8c2280498929e180384a0e67c,863ea5b836414c9aa7549aa4cbec8897fd18a5b8aa54361a55ce58ac346c8133,72218073089c4fe88e0880cb925507d25225760bc85b618573e3d841d4935f80
"1","1","41","26","1"
"2","2","41","101","1"
"3","3","61","61","1"
"4","4","50","82","1"
"5","5","41","21","1"
"6","6","41","108","1"
"7","7","55","79","1"
"8","8","68","57","1"
"9","9","44","28","1"
"10","10","44","97","1"
"11","11","55","47","1"
"12","12","67","68","1"
"13","13","38","10","1"
"14","14","38","119","1"
"15","15","52","90","1"
"16","16","65","28","1"
"17","17","40","25","1"
"18","18","40","101","1"
"19","19","58","65","1"
"20","20","64","36","1"
"21","21","41","25","1"
"22","22","41","86","1"
"23","23","60","40","1"
"24","24","40","16","1"
"25","25","40","115","1"
"26","26","63","28","1"
"27","27","41","28","1"
"28","28","41","96","1"
"29","29","55","70","1"
"30","30","41","33","1"
"31","31","41","83","1"
"32","32","68","57","1"
"33","33","37","36","1"
"34","34","37","82","1"
"35","35","58","82","1"
"36","36","38","27","1"
"37","37","38","102","1"
"38","38","52","39","1"
"39","39","65","62","1"
"40","40","38","28","1"
"41","41","38","93","1"
"42","42","56","54","1"
"43","43","63","28","1"
"44","44","40","39","1"
"45","45","40","115","1"
"46","46","55","21","1"
"47","47","66","60","1"
"48","48","38","15","1"
"49","49","38","76","1"
"50","50","53","58","1"
"51","51","61","36","1"
"52","52","38","28","1"
"53","53","38","89","1"
"54","54","56","23","1"
"55","55","66","67","1"
"56","56","40","31","2"
"57","57","40","89","2"
"58","58","67","42","2"
"59","59","55","61","2"
"60","60","40","21","2"
"61","61","40","93","2"
"62","62","57","61","2"
"63","63","68","44","2"
"64","64","43","21","2"
"65","65","43","101","2"
"66","66","57","56","2"
"67","67","75","108","2"
"68","68","37","30","2"
"69","69","37","83","2"
"70","70","53","39","2"
"71","71","67","24","2"
"72","72","38","25","2"
"73","73","38","91","2"
"74","74","65","83","2"
"75","75","55","65","2"
"76","76","39","21","2"
"77","77","39","93","2"
"78","78","62","26","2"
"79","79","72","107","2"
"80","80","38","36","2"
"81","81","38","86","2"
"82","82","55","50","2"
"83","83","62","25","2"
"84","84","40","24","2"
"85","85","40","86","2"
"86","86","65","46","2"
"87","87","58","69","2"
"88","88","43","24","2"
"89","89","43","99","2"
"90","90","62","24","2"
"91","91","72","107","2"
"92","92","43","21","2"
"93","93","43","104","2"
"94","94","67","46","2"
"95","95","55","69","2"
"96","96","40","28","2"
"97","97","40","86","2"
"98","98","65","43","2"
"99","99","44","21","2"
"100","100","44","98","2"
"101","101","65","54","2"
"102","102","38","36","2"
"103","103","38","83","2"
"104","104","58","93","2"
"105","105","43","17","2"
"106","106","43","98","2"
"107","107","61","28","2"
"108","108","37","36","2"
"109","109","37","86","2"
"110","110","65","72","2"
"111","111","44","26","3"
"112","112","44","102","3"
