56124bb2dd7cc40f5a862886e65c90c4d05be0715d74f84d9bf90d63e4827405,b19f70665518a29a7debe56d269af5e1a849f0a3bc7afe0422ce508798ed44ea,b66c4cd6a2a8f64d970daf3a345d10cc8751c76c18924db022551112f78069e1,03dd04b5141018e60c59e1ae4ee0551b4e4c1652c323f5813d81b2248c8464b8,d17161b68ff3d4fb2eaafed30b871fae8583c0ddb285962d1aa34a589b46a658
"red","90009","單手劍","#D23232","101"
"red","90009","雙手劍","#D23232","102"
"red","90009","短劍","#D23232","103"
"red","90009","槍","#D23232","104"
"red","90009","斧","#D23232","105"
"red","90009","弓","#D23232","106"
"red","90009","拳","#D23232","107"
"red","90009","盾","#D23232","108"
"red","90009","杖","#D23232","109"
"red","90009","書本","#D23232","110"
"blue","90010","衣服","#476FD8","201"
"blue","90010","鎧甲","#476FD8","202"
"blue","90010","白長袍","#476FD8","203"
"blue","90010","黑長袍","#476FD8","204"
"yellow","90011","戒指","#E5681E","301"
"yellow","90011","手鐲","#E5681E","302"
"yellow","90011","項鍊","#E5681E","303"
"yellow","90011","寶珠","#E5681E","304"
"yellow","90011","耳環","#E5681E","305"
