10f28aac2cf884c1553f2287b1195ed63494c70588d7d89e1f0d8b193e185995,fc475327134b605741616aa289fbe1ab138cd0fc02f1548f6544a98026b95e53,a9f66c8619d5df483e68574b7062ba3020ecd515730e26060a8d9cdf48e5b483,e6e72111dce420bbd097f131b9c16ce90dd9cccb4b3e692b526a488fdd95078a,af7c9dc93334bf1a30727df0e4a96a75db41a94c36387d2e8e56efc31d1d9bc8,bbb1fec810c063829bfab9b5d0d379be272feb29fae71185aa7ddd094c9c9549,d446435c9356c61bdc4ece806d4255953943f2ed504997e6beeaaa20d3ac1d8d,25b53862fa6cabadcb81c2e92eb5d5273bddd60df8fbfbf291b69988c0493954,3be68fbd7a5b057958fb05e472774391ccf7fb637c1e7c2169a11defd6d6bc3c,9a83001a0fcde4c7d5a795a559d4ed731250d725d1229574708e4a331348544f,b4aa905035b327ee736d1f8edf89faef13491eec2840e8deb992987537eef49e,b6de204641f8be44d2af43efad2d6bfba978c5bc6f1f87538cf870f45f323dc7,99f31f3e7ed7c6e5d1708fe69c262b2d5970310f27594cf0300984b172515ccd,ae63b33a915eae53d487b13b01c832bb6ffaa5b2b8a27cfac360f2a3cca992f4,407160c9a46f94546459d042a88a1d276e6375408452e9108c88b59b771de09b,dd5718b5557c30e2d6f2e053d447f457a4c8aae77421a6a08e5ac53c6093a035,0ad3286952910de14b9489819e2fd7385207bbc0e2284423c6092331463a715e,a600c471378db333d645cb5936217ef140d618db6bedf636349518e125191c56,81ac90cd49976afed47cc29b0625cfca4610cdf89eb9d73f9547813bd6f76076,a3f459f6eccc9ad79be5ae5f86407193115a8602c4524fc9cbeff853eb112f2a,bf2f27166e54b99bfd7416b48895f88eb03386cd37bd3a5a2ce3c98f11575a75
"2.4","-1","1","30","0","0","0","1","0","對敵方單體造成{0}的物理傷害","100100101","0","1","0","1","0","3","1","30","單體物理傷害+{0}","1"
"500","-1","3","50","0","0","0","1","0","","100100102","0","1","0","3","0","3","99","0","","1"
"1.08","400","1","13.5","0","0","0","2","0","對範圍內的敵人造成{0}的物理傷害","100100103","0","1","0","1","0","3","99","13.5","範圍物理傷害+{0}","1"
"1.6","-1","1","20","0","0","0","1","0","對敵方單體造成{0}的物理傷害","100100201","0","1","0","1","0","3","1","20","物理傷害+{0}","1"
"0.6","0","1","8","0","0","0","1","0","對敵方單體造成{0}的物理傷害","100100301","0","1","0","1","0","1","1","8","物理傷害+{0}","1"
"11","0","10","1","0","1","0","1","1","提升自身{0}的物理攻擊力","100100302","0","2","0","10","12","7","1","11","物理攻擊力提升+{0}","1"
"4.8","-1","1","60","0","0","0","1","0","對敵方單體造成{0}的物理傷害","100101101","0","1","0","1","0","3","1","60","單體物理傷害+{0}","1"
"3.6","600","1","45","0","0","0","2","0","對範圍內的敵人造成{0}的物理傷害","100101102","0","1","0","1","0","3","99","45","範圍物理傷害+{0}","1"
"1.6","-1","1","20","0","0","0","1","0","對敵方單體造成{0}的物理傷害","100101201","0","1","0","1","0","3","1","20","單體物理傷害+{0}","1"
"0.72","400","1","9","0","0","0","2","0","對範圍內的敵人造成{0}的物理傷害","100101202","0","1","0","1","0","3","99","9","範圍物理傷害+{0}","1"
"15","0","90","1","0","0","0","0","0","提升自身{0}的物理攻擊力","100150101","0","0","0","2","1","0","0","15","物理攻擊力提升+{0}","1"
"15","0","90","1","0","0","0","0","0","提升自身{0}的物理攻擊力","100151101","0","0","0","2","1","0","0","240","物理攻擊力提升+{0}","1"
"6","2160","4","1","0","0","0","3","0","回復我方全體{0}的HP","100200101","0","2","0","2","0.45","3","99","6","HP回復量+{0}","1"
"1.2","-1","1","15","0","0","0","1","0","對敵方單體造成{0}的魔法傷害","100200201","0","1","0","2","0","3","1","15","魔法傷害+{0}","1"
"0.23","2160","10","1","0","1","0","3","1","提升我方全體{0}的物理防禦力","100200301","0","2","0","20","12","3","99","0.23","物理防禦力提升+{0}","1"
"8","2160","4","1","0","0","0","3","0","回復我方全體{0}的HP","100201101","0","2","0","2","0.6","3","99","8","HP回復量+{0}","1"
"1.2","2160","10","1","0","1","0","3","1","提升我方全體{0}的物理防禦力","100201102","0","2","0","20","18","3","99","1.2","物理防禦力提升+{0}","1"
"18","2160","6","45","0","0","0","3","0","展開{0}傷害量的物理無效護盾","100201103","0","2","0","1","0","3","99","45","無效傷害量+{0}","1"
"18","2160","8","2","0","0","0","3","1","提升我方全體的行動速度","100201104","0","2","0","2","0","3","99","0","","1"
"1.6","-1","1","20","0","0","0","1","0","對敵方單體造成{0}的魔法傷害","100201201","0","1","0","2","0","3","1","20","魔法傷害+{0}","1"
"7.5","-1","10","1","0","1","0","1","1","降低敵方單體{0}的物理攻擊力","100201202","0","1","0","11","12","3","1","7.5","物理攻擊力降低+{0}","1"
"15","0","90","1","0","0","0","0","0","提升自身{0}的魔法攻擊力","100250101","0","0","0","4","1","0","0","15","魔法攻擊力提升+{0}","1"
"15","0","90","1","0","0","0","0","0","提升自身{0}的魔法攻擊力","100251101","0","0","0","4","1","0","0","15","魔法攻擊力提升+{0}","1"
"0","0","90","1","0","0","0","0","0","提升自身{0}的魔法防禦力","100251102","0","0","0","5","1","0","0","30","","1"
"4.8","-1","1","60","0","0","0","1","0","對敵方單體造成{0}的物理傷害","100300101","0","1","0","1","0","3","1","60","物理傷害+{0}","1"
"1.6","-1","1","20","0","0","0","1","0","對敵方單體造成{0}的物理傷害","100300201","0","1","0","1","0","3","1","20","物理傷害+{0}","1"
"0","0","28","0","0","100300303","0","1","0","","100300301","100300302","2","0","677","0","7","1","0","","1"
"1.8","4320","18","0.5","0","100300305","0","1","0","","100300302","0","1","0","1","0","3","1","0","","1"
"1.8","4320","18","1","0","100300306","0","1","0","","100300303","0","1","0","1","0","3","1","0","","1"
"0","0","28","0","0","100300306","0","1","0","","100300304","100300305","2","0","677","0","7","1","0","","1"
"1.6","-1","1","20","0","0","0","1","0","對敵方單體造成{0}的物理傷害","100300305","0","1","0","1","0","3","1","20","物理傷害+{0}","1"
"3.2","-1","1","40","0","0","0","1","0","","100300306","0","1","0","1","0","3","1","40","","1"
"9.6","-1","1","120","0","0","0","1","0","對敵方單體造成{0}的物理傷害","100301101","0","1","0","1","0","3","1","120","物理傷害+{0}","1"
"18","0","35","1","0","0","0","1","0","將風之刃暫時纏繞於身","100301102","0","2","0","0","1","7","1","77","","1"
"1","0","28","1","0","100301203","0","1","0","","100301201","100301202","2","0","677","0","7","1","2","","1"
"1.6","-1","1","20","0","0","0","1","0","對敵方單體造成{0}的物理傷害","100301202","0","1","0","1","0","3","1","20","物理傷害+{0}","1"
"3.2","-1","1","40","0","0","0","1","0","","100301203","0","1","0","1","0","3","1","40","","1"
"0.6","-1","10","1","0","1","0","1","1","降低敵方單體{0}的物理防禦力","100301204","0","1","0","21","12","3","1","0.6","物理防禦力降低+{0}","1"
"1.2","-1","10","1","0","1","0","1","1","","100301205","0","1","0","21","24","3","1","1.2","","1"
"15","0","90","1","0","0","0","0","0","提升自身{0}的物理攻擊力","100350101","0","0","0","2","1","0","0","15","物理攻擊力提升+{0}","1"
"15","0","90","1","0","0","0","0","0","提升自身{0}的物理攻擊力","100351101","0","0","0","2","1","0","0","15","物理攻擊力提升+{0}","1"
"0","0","90","1","0","0","0","0","0","提升自身{0}的最大HP","100351102","0","0","0","1","1","0","0","1125","","1"
